gene,sgRNA,B1,B2,B3,A1,A2,A3
POLR2A,TRCN0000021285,20622,12800,20694,7409,11454,14967
RPS19,TRCN0000074913,8328,6209,10682,147,0,0
RPS13,TRCN0000007173,16522,9583,14349,0,16,0
COPS4,TRCN0000118346,20005,11258,17697,2,140,247
POLR2F,TRCN0000021834,440,638,1075,0,0,1
RPS3A,TRCN0000074709,11480,8438,11845,1189,1031,1907
PSMC4,TRCN0000052040,18783,13805,19056,2119,1556,2634
PSMD11,TRCN0000003946,62074,41144,54570,272,1001,307
PSMD6,TRCN0000144555,12050,6358,10030,299,752,1101
NUP93,TRCN0000059959,4827,3239,4090,0,132,41
RPS9,TRCN0000074797,17398,10070,13452,137,33,0
NUP98,TRCN0000046913,7274,4058,6945,209,619,255
PSMD6,TRCN0000142957,3296,2118,2208,0,0,0
COPZ1,TRCN0000065002,18039,10223,15821,378,320,732
POLA1,TRCN0000052954,12021,8587,11571,646,952,434
PSMD7,TRCN0000058066,17285,12260,17565,2,0,160
TPH2,TRCN0000056673,18494,11910,14650,335,478,557
RPS8,TRCN0000074780,638,935,1687,0,1,4
RPL3,TRCN0000117509,6486,5e3,10123,88,102,172
COPA,TRCN0000065272,12115,7430,9819,0,0,0
RPL30,TRCN0000117570,12260,6989,12817,269,350,434
RPL35A,TRCN0000117659,11458,7860,12426,26,0,1
RPL5,TRCN0000074996,15908,9360,13898,848,1222,1437
PSMB3,TRCN0000003911,3915,3869,7154,0,136,34
RPL6,TRCN0000004998,4990,4164,5944,21,54,0
RPS3A,TRCN0000074711,10914,5534,9314,883,2044,3379
COPS6,TRCN0000072558,11165,6884,9436,44,6,807
RPS9,TRCN0000074795,14941,8348,16690,157,295,414
NUP133,TRCN0000144112,15735,11035,15140,326,428,296
RPL6,TRCN0000005001,14345,9829,14648,0,1,150
RPS24,TRCN0000117549,13670,9300,14326,0,354,335
RPL5,TRCN0000074997,18894,12856,17408,18,154,524
POLR2A,TRCN0000021288,43532,27062,40521,12515,16283,20854
COPB1,TRCN0000151483,25811,11976,23494,58,147,292
POLR2D,TRCN0000021366,15598,10990,16638,91,458,607
NUP93,TRCN0000059958,7768,6025,9164,11,169,253
NUP133,TRCN0000143014,7514,5752,8705,92,94,73
NUP205,TRCN0000060023,10279,6898,11279,205,0,27
RPS11,TRCN0000074979,16269,9644,15924,97,256,140
COPS6,TRCN0000072562,47677,29278,42977,1425,2328,3842
COPB1,TRCN0000150921,14156,9173,15203,53,367,441
COPZ1,TRCN0000064998,2996,2361,3966,1017,1562,2922
PSMA3,TRCN0000003880,12919,8337,14211,0,0,30
PSMD1,TRCN0000058105,30850,21061,32125,596,1045,1368
POLR2A,TRCN0000021286,23434,14740,24028,11570,21291,21742
RPL18A,TRCN0000117614,18498,10966,16732,59,285,1129
RPS8,TRCN0000074779,21464,11226,18121,4129,4119,6950
NUP98,TRCN0000046914,17980,10879,17650,2179,2911,3532
PSMD7,TRCN0000058063,9424,7114,10363,141,0,61
PSMD6,TRCN0000145517,23402,13466,22208,2792,5267,5006
PSMD11,TRCN0000003948,17866,11036,15282,298,272,611
NUP205,TRCN0000060024,4244,2853,4760,77,0,30
PSMC1,TRCN0000050505,19741,10677,17379,3,295,608
RPTN,TRCN0000053864,2043,1483,2149,1905,1804,2461
POLR2D,TRCN0000021367,28361,14167,22467,1336,1364,3724
RPS27,TRCN0000117596,28750,16880,28885,9032,16057,10958
RPL18A,TRCN0000117615,16800,10437,14759,501,1147,1432
NUP93,TRCN0000059962,11433,6074,10236,584,1138,1017
RPL30,TRCN0000117568,4993,2722,4341,782,1402,2132
COPS6,TRCN0000072561,17161,11326,14557,881,2534,1989
COPA,TRCN0000065268,10589,7156,10463,255,1671,615
RPL3,TRCN0000117510,14115,7822,9956,431,2686,1749
RPS24,TRCN0000117551,15574,10681,16720,374,1117,1031
PSMD7,TRCN0000058064,10307,7714,13722,0,1038,325
RPL9,TRCN0000117566,15664,8785,15360,120,56,120
RPL11,TRCN0000117716,11312,9707,15935,247,538,252
RPS24,TRCN0000117548,8130,7018,8992,2,136,360
CABP5,TRCN0000056334,8614,5803,9901,1113,1676,2405
RPS9,TRCN0000074796,11235,7604,13101,880,203,653
PSMB3,TRCN0000010829,2036,2877,4973,0,20,269
NLRP5,TRCN0000152865,6257,3759,7492,5108,5383,6072
RPL27,TRCN0000117773,9336,5908,11966,136,536,763
COPA,TRCN0000065271,17595,10762,15239,4761,6681,8794
POLR2A,TRCN0000021284,26804,16632,21246,9537,23373,23973
NUP98,TRCN0000046916,16518,8893,14402,3226,3848,5480
PSMB3,TRCN0000003910,6306,6866,9588,806,203,511
RPS13,TRCN0000007170,2724,2354,2989,6,14,57
RPL5,TRCN0000074995,16175,10998,15741,3284,4994,8162
RPL35A,TRCN0000117661,4358,3890,5745,18,2,66
COPS2,TRCN0000116054,17103,10318,17106,39,462,32
POLA1,TRCN0000052953,13624,8753,13396,1288,847,2771
RXFP2,TRCN0000009005,12109,9059,14398,338,391,1086
COPS4,TRCN0000118344,14996,9186,13266,3997,5207,4173
PSMB3,TRCN0000003908,20329,11776,17825,153,855,425
DMRTC2,TRCN0000019587,528,330,676,0,0,0
NLRP5,TRCN0000155113,9573,6562,9658,1888,3494,4238
RPL18A,TRCN0000117613,3746,3124,6212,105,783,604
PSMD11,TRCN0000003950,12263,8024,12057,374,1155,18
PSMC1,TRCN0000050504,6914,4588,7075,1226,1702,2346
RPS27,TRCN0000117592,9180,5320,9336,3862,5705,5462
RPL36,TRCN0000117675,12180,7125,10853,169,164,52
POLA1,TRCN0000052957,44708,29094,47747,1908,2726,4073
IL1F10,TRCN0000058440,1099,1306,2084,18,30,13
RPS24,TRCN0000117550,18589,10642,15130,2566,3616,3682
RPL35A,TRCN0000117660,1586,1731,2976,0,45,8
PSMC4,TRCN0000052041,6830,2963,4381,265,888,248
NUP54,TRCN0000059905,17856,9518,13975,2333,2561,4158
PSMC4,TRCN0000052038,7344,5462,8300,3031,4062,3290
RPS27,TRCN0000117595,17142,11021,17744,4831,5239,6962
RPL6,TRCN0000005000,20562,11129,17670,1472,4086,5413
KRT77,TRCN0000116783,11724,7004,10689,4732,7512,5630
COPS2,TRCN0000116052,12899,7835,11948,1292,114,449
RPL34,TRCN0000077924,41039,21564,35147,40064,46439,72008
RPS11,TRCN0000074982,9353,7083,11706,736,371,721
RPL6,TRCN0000004999,8857,7474,11081,193,476,639
POLR2A,TRCN0000021287,13665,6654,11873,12532,22690,20192
POLR2F,TRCN0000021836,116,110,55,0,0,0
TRIM42,TRCN0000073249,11709,7349,11891,524,1908,1582
PSMC1,TRCN0000050506,19797,13325,21824,789,1221,1630
POLR2D,TRCN0000021364,8383,5098,8499,945,1707,1655
PSMA3,TRCN0000010827,9499,6045,11398,1572,1884,1703
COPS4,TRCN0000118345,10261,6359,10642,1202,1358,2442
NPHS2,TRCN0000118888,10755,6744,11216,4438,4089,5562
NUP205,TRCN0000060025,17021,8949,13568,1222,3612,3081
IL22,TRCN0000058954,10195,5954,10650,2832,4221,3807
POLR2F,TRCN0000021835,6907,4994,8771,4437,7979,7327
NUP54,TRCN0000059906,12786,5648,10480,1197,1510,2146
CRYGB,TRCN0000148941,12733,7107,12586,5363,6522,9204
FCRL4,TRCN0000063030,4332,3439,6270,966,3119,2676
PSMD11,TRCN0000003947,43636,24748,36618,1244,2750,2635
IL1F10,TRCN0000058441,13686,7016,11171,819,1324,1777
COPS8,TRCN0000007623,48895,32207,48543,807,2138,2705
PSMC4,TRCN0000052042,12891,7845,11136,1002,2242,1671
TAS2R9,TRCN0000014163,7972,5876,10014,3941,6028,5826
RPS27,TRCN0000117593,22028,15857,21271,4111,10002,9027
NUP54,TRCN0000059907,15561,8812,14850,1381,2195,2941
NUP98,TRCN0000046915,17794,9609,13014,16521,25579,38297
COPB1,TRCN0000151067,15441,9074,13662,835,1526,917
NUP133,TRCN0000142066,9236,6942,11845,277,322,404
CYP7A1,TRCN0000064260,16165,9903,14013,4731,5215,10191
COPS2,TRCN0000116055,15571,9871,17606,855,1554,1888
RPS24,TRCN0000117547,20871,12583,18882,23734,36620,53364
KRT9,TRCN0000117132,13114,8024,12116,1205,1053,2093
CRYGB,TRCN0000148564,7208,4994,7768,5047,5071,12796
COPS8,TRCN0000007622,29557,17163,29039,7072,9452,9865
PSMB2,TRCN0000003905,1246,2189,4242,8,96,78
RPL30,TRCN0000117567,7621,4924,9193,4969,7485,7234
COPS8,TRCN0000007619,35455,19267,31196,10709,16176,17703
NUP98,TRCN0000046917,21650,15031,19262,32529,45624,71041
COPS2,TRCN0000116053,38106,16108,29227,3397,3991,7633
SPATA16,TRCN0000134934,14618,8272,14199,1479,3483,3427
VN1R2,TRCN0000014254,33642,20575,32447,20858,29139,41247
RPS27,TRCN0000117594,16315,10065,16972,1356,2310,2431
TRIM42,TRCN0000073251,19976,10156,14943,14796,23256,23883
PSMC1,TRCN0000050503,14351,9668,13194,4983,7276,7306
MRGPRD,TRCN0000077977,828,695,1037,123,200,190
IL22,TRCN0000058955,9069,6385,12882,9178,14891,15636
FAM71B,TRCN0000140184,4443,3695,6639,1082,1412,1557
POLR2F,TRCN0000021837,7288,5753,6860,9263,12876,16808
PSMC2,TRCN0000007184,23884,15781,22799,6896,8294,10111
NLRP5,TRCN0000152679,16247,10590,12975,3889,5985,5523
COPS4,TRCN0000118342,38233,22777,37872,8186,16230,19053
KRT74,TRCN0000116931,11192,9766,16725,2617,4143,4277
PSMB3,TRCN0000003909,7288,3437,5814,658,208,546
POLR2F,TRCN0000021838,14216,9732,13774,3537,4323,9487
TAS2R13,TRCN0000014035,15358,9817,14099,7837,12366,13463
KRT9,TRCN0000117133,10657,6436,11307,8888,12763,12557
NLRP5,TRCN0000150723,10637,6836,10266,12307,19799,21718
COPZ1,TRCN0000065001,7707,6975,9615,5949,6532,10744
POU4F2,TRCN0000019570,13032,7564,12467,10333,12368,15320
TAAR8,TRCN0000011510,13443,9268,11705,8561,14095,19943
LHX5,TRCN0000005064,30233,19965,27760,26062,24511,39648
TGM6,TRCN0000056293,23035,13275,18879,9806,11281,16261
SPATA16,TRCN0000134587,32190,18085,26979,8561,11702,15246
PSMD1,TRCN0000058103,10065,7158,10350,3228,3613,5677
PLA2G2E,TRCN0000051553,4221,3737,5300,893,1076,2325
TAS2R9,TRCN0000014166,27091,15318,24858,10227,13673,14688
PIWIL3,TRCN0000152462,10133,5912,9380,2626,1981,2733
OR12D2,TRCN0000009301,10771,5689,10074,2720,6334,7884
RPL9,TRCN0000117563,34124,21421,26859,3127,5207,3818
CRYGB,TRCN0000147503,13510,7668,12637,11749,17947,20377
OC90,TRCN0000054163,11599,7146,11199,6233,7204,10324
FAM71B,TRCN0000139305,8437,5666,10173,537,1976,1660
IL1F10,TRCN0000058438,30971,18486,28648,18695,30357,32225
IL22,TRCN0000058956,6592,3976,6452,2509,3619,2726
COPS2,TRCN0000116056,6958,3810,5928,3666,6923,8003
HTR3D,TRCN0000060915,10050,8322,12381,7843,14483,17095
TGM6,TRCN0000056297,436,506,661,84,183,305
FCRL4,TRCN0000063031,11812,7275,12009,12012,18370,17489
ADH7,TRCN0000026438,24385,14249,24037,15555,22936,21433
OR12D2,TRCN0000009304,32653,20322,30148,43620,57500,69218
TAS2R13,TRCN0000014033,2419,1898,3185,1766,1665,3466
PSMC1,TRCN0000050507,6470,3735,5593,3626,3780,7190
OR9Q2,TRCN0000063063,11415,6767,11532,3919,6097,6692
LYZL6,TRCN0000151010,31912,20151,28210,15358,20358,27654
TPH2,TRCN0000056676,6538,2774,4554,1022,2477,2357
RPL18A,TRCN0000117616,3042,2596,4663,885,1644,1863
POU4F2,TRCN0000019569,18276,10587,14996,14759,16743,20667
COPZ1,TRCN0000064999,21951,15268,28092,10018,14025,18318
OTUD6A,TRCN0000135225,6359,3015,6350,2066,4834,4191
RPL30,TRCN0000117569,5628,3971,6460,7227,13395,15129
KRT74,TRCN0000116930,9827,5749,10584,3417,3950,5065
OC90,TRCN0000054167,7755,5132,9156,3012,4235,4417
PIWIL3,TRCN0000153086,14566,8898,15162,6858,9029,11429
PSMC2,TRCN0000007185,29319,19771,31787,28623,40100,50076
CRYGB,TRCN0000148475,5202,3483,6747,396,1079,1248
NUP133,TRCN0000143344,8098,6538,9959,9196,14163,14314
FAM71B,TRCN0000140300,4112,2574,4393,2465,1850,3156
NLRP5,TRCN0000155358,15603,8590,12247,9900,14171,16074
NPSR1,TRCN0000063361,12886,6573,11401,3748,3627,4522
NLRP5,TRCN0000152512,8756,5619,9359,10318,14326,17196
RPL34,TRCN0000077923,14287,10013,16149,13509,17769,27618
CABP5,TRCN0000056336,9782,6418,10471,4293,5054,7108
HTR3D,TRCN0000060913,5235,4282,8828,5346,9430,10881
DMRTC2,TRCN0000019588,14011,8930,13097,13739,20612,19161
KRT77,TRCN0000116784,10807,7566,10401,3033,3007,3027
COPS6,TRCN0000072560,13088,7950,13198,9836,14535,13617
TAS2R9,TRCN0000014164,15793,8600,11495,18737,22126,26541
COPA,TRCN0000065269,9862,8413,10265,4414,3818,7790
CRYGB,TRCN0000146810,13142,7491,10498,11260,12420,18069
NPSR1,TRCN0000063358,13966,8136,11753,11926,17492,17701
RNASE9,TRCN0000049815,13530,7643,11514,3353,5755,7476
LUZP4,TRCN0000115746,3280,2041,2044,2926,4587,4183
PSMC2,TRCN0000007181,24389,15157,22555,9830,9801,15094
NUP54,TRCN0000059903,12915,8176,10276,2522,6892,6596
NPSR1,TRCN0000063360,6822,5315,9929,2564,3004,3492
DMRTB1,TRCN0000019522,2538,2236,4350,468,635,1072
KRT25,TRCN0000116496,8222,7283,8572,5169,9892,9971
OR52E8,TRCN0000060817,8642,5292,7853,11061,14332,15017
TAAR8,TRCN0000011508,11303,5134,8398,5659,9075,12172
CYP7A1,TRCN0000064262,12200,9282,10993,6323,11961,15257
RPL18A,TRCN0000117612,14483,8645,12795,1843,2263,3131
ABCG8,TRCN0000059648,21275,14071,19376,9194,14454,16314
TAS2R13,TRCN0000014037,44560,29415,42845,12325,17602,18992
PIWIL3,TRCN0000154096,9478,6295,8780,13453,17524,21531
NPSR1,TRCN0000063362,2047,1849,3431,539,986,1295
PSMD11,TRCN0000003949,11570,6542,13970,26215,42248,42873
RPS11,TRCN0000074980,3498,2028,3176,5178,5482,7179
DMRTB1,TRCN0000019521,17673,13213,21997,14116,22689,24026
TAAR1,TRCN0000014007,11277,6808,9494,3542,7124,10908
PSMD7,TRCN0000058065,5450,4209,7403,2427,4155,5437
KRT9,TRCN0000117134,23384,12144,18845,16262,17246,25300
SAGE1,TRCN0000115752,10784,5149,7812,6486,8714,10358
RPL3,TRCN0000117511,16914,10279,15573,8741,11378,22839
SAGE1,TRCN0000115754,12273,7436,11131,16881,18967,31556
COPS8,TRCN0000007621,29033,16620,24810,23064,32653,38963
MRGPRD,TRCN0000077974,11017,7370,11166,5673,5488,9653
OC90,TRCN0000054166,15438,9125,12151,9064,21854,28992
NLRP5,TRCN0000152434,16689,8821,12633,9647,16504,19586
CABP5,TRCN0000056337,6140,3195,5529,6577,9251,11408
LHX5,TRCN0000005061,40,179,335,1,1,1
LYZL6,TRCN0000151651,16951,10010,14023,6695,11607,11432
LUZP4,TRCN0000115745,35882,21055,30468,44001,49746,68128
NPSR1,TRCN0000063359,13806,8417,11839,14777,24120,31487
VN1R2,TRCN0000014256,678,454,1163,1122,707,1248
LUZP4,TRCN0000115743,11466,8036,14086,8226,10145,13318
PSMD6,TRCN0000121679,20942,12519,18072,26349,43413,54107
OR52E8,TRCN0000060814,6713,6237,7877,2340,3108,3512
TAAR1,TRCN0000014003,15241,9619,12689,10182,14742,16046
KRT77,TRCN0000116786,14662,9321,14491,12102,16043,18408
TRIM42,TRCN0000073250,8574,5453,8203,4226,8030,10302
KRT25,TRCN0000116495,10707,7092,10919,8196,13365,13767
CABP5,TRCN0000056333,5980,5076,8257,5842,15063,12645
LYZL6,TRCN0000155532,4577,2942,5673,2658,4944,5830
NPHS2,TRCN0000118887,17667,8373,13406,6902,9088,9411
VN1R2,TRCN0000014253,10287,7599,12705,2092,2956,3784
KRT74,TRCN0000116927,16716,10628,13071,22919,38012,37953
PSMD1,TRCN0000058104,12883,7122,11061,11735,14025,19904
RPS19,TRCN0000074914,5838,5109,9353,5400,7140,8457
FCRL4,TRCN0000063029,5234,3123,4752,1612,2297,2426
TAAR1,TRCN0000014006,15766,8837,15173,15867,24419,33861
PIWIL3,TRCN0000150729,11028,6665,10478,8322,7480,12399
LYZL6,TRCN0000155615,4625,2769,4078,3217,6358,5185
KRT9,TRCN0000117136,9877,6477,8407,13047,15183,18684
MRGPRD,TRCN0000077976,13336,5976,10278,12006,16103,25461
CRYGB,TRCN0000148626,11954,6405,8457,10439,12994,13876
FAM71B,TRCN0000144181,11692,6902,13924,5955,6880,8248
PLA2G2E,TRCN0000051556,13749,8226,15126,5137,7930,13387
SAGE1,TRCN0000115753,36718,20382,31391,48363,55665,70976
IL22,TRCN0000058953,6914,4320,7029,12039,15059,15173
CYP7A1,TRCN0000064261,10624,6681,11031,11122,19336,21792
OR12D2,TRCN0000009300,3009,2893,4831,4683,5418,7291
LHX5,TRCN0000005062,2468,1652,3273,1469,2769,2827
IL1F10,TRCN0000058442,14140,9251,12857,12170,22638,27503
NPHS2,TRCN0000118891,8787,7349,9496,14130,16973,20153
HTR3D,TRCN0000060917,15277,10660,12635,11137,21255,27325
MAGEB3,TRCN0000115830,14311,8371,12157,12011,24764,20882
POU4F2,TRCN0000019572,618,621,1283,98,170,161
TGM6,TRCN0000056295,554,448,746,202,203,216
TAS2R9,TRCN0000014165,1157,1010,1308,619,2070,1053
RPL30,TRCN0000117571,5010,2789,4402,5062,4887,6943
ABCG8,TRCN0000059650,17837,9168,13240,13944,18440,23917
COPZ1,TRCN0000065000,13133,7753,12227,14783,19775,26464
SAGE1,TRCN0000115755,11788,7623,14392,9128,11860,19433
NUP133,TRCN0000121583,16910,10396,14707,32440,39556,54116
OR52E8,TRCN0000060815,23735,15964,26486,18798,34749,35522
SPATA16,TRCN0000137126,12048,6199,10852,15677,16609,25934
TPH2,TRCN0000056674,15994,10638,18606,14662,20266,22535
NLRP5,TRCN0000155835,17995,11261,15195,6055,5738,8423
NLRP5,TRCN0000151998,15335,9725,10323,8951,18307,22832
KRT74,TRCN0000116928,3500,2607,3315,1654,2936,6392
RNASE9,TRCN0000049813,16850,9889,13331,18097,24194,38008
OR9Q2,TRCN0000063064,13763,9145,12940,13243,16473,22193
RNASE9,TRCN0000049817,10780,6914,9604,10289,17215,20138
NPHS2,TRCN0000118890,25418,15110,22318,12625,19292,22074
NUP54,TRCN0000059904,23177,17132,24245,5808,9591,12707
RPS19,TRCN0000074915,3803,4278,7205,838,1305,1351
RPL35A,TRCN0000117657,13885,7951,12902,11778,20526,25641
RPS7,TRCN0000074766,17767,9174,14303,17356,25230,35559
PSMC4,TRCN0000052039,1944,1236,2044,693,1003,1686
IL22,TRCN0000058957,12445,8455,14014,4729,9805,9092
RPS13,TRCN0000007172,10732,6646,11231,8077,16884,18254
OR12D2,TRCN0000009302,15349,10147,17248,31581,43721,43382
PIWIL3,TRCN0000151560,18377,8500,14675,22307,30207,41873
TAAR8,TRCN0000011511,14948,9493,14011,12644,16789,24148
COPS8,TRCN0000007620,52192,31127,46367,49877,65788,99255
PIWIL3,TRCN0000153144,16049,9847,12826,13831,24005,31376
RPTN,TRCN0000053866,38175,25249,42130,46075,64482,74853
TGM6,TRCN0000056296,13643,7240,10399,1402,2497,3854
PIWIL3,TRCN0000153271,14749,9603,16054,30634,34500,50528
FCRL4,TRCN0000063032,19410,13156,19134,14285,21795,29732
FAM71B,TRCN0000144219,37297,21088,31170,6604,7391,11375
PIWIL3,TRCN0000152548,8293,5705,8875,6755,7988,10150
DEFB129,TRCN0000137516,5e3,2829,3803,5793,10136,11741
NPHS2,TRCN0000118889,14312,10008,17698,244,114,375
PLA2G2E,TRCN0000051557,3774,3269,4181,2052,3824,4221
KRT25,TRCN0000116492,16428,10487,14131,2628,2514,3775
TRIM42,TRCN0000073248,9743,5280,9412,22109,25382,34905
POLA1,TRCN0000052956,22389,13900,23376,16005,24800,27456
PIWIL3,TRCN0000151260,16833,9636,15423,12417,13153,25829
KRT77,TRCN0000116785,11372,8446,12514,9718,9165,12674
LUZP4,TRCN0000115744,29254,18047,27049,21745,29361,37522
DEFB129,TRCN0000135246,14801,9364,13404,23896,33054,43378
MAGEB3,TRCN0000115831,16983,10489,14972,8747,14222,17066
KRT25,TRCN0000116493,24509,16799,24302,12579,14029,14870
RPS3A,TRCN0000074708,17436,11530,16927,22979,36067,51481
PLA2G2E,TRCN0000051554,838,983,1476,129,160,294
RXFP2,TRCN0000009004,21174,12435,18894,35212,45413,68066
ADH7,TRCN0000026500,6195,4704,8478,1397,2447,2544
TAS2R13,TRCN0000014034,23532,15328,21916,39889,52094,64196
OLIG2,TRCN0000018161,11912,6821,8486,16178,25771,28770
TPH2,TRCN0000056677,20211,11625,18001,23778,29890,47411
DMRTB1,TRCN0000019519,8866,5159,8471,4078,9472,9628
PSMB2,TRCN0000003903,10242,5333,10898,11373,14553,15246
DMRTC2,TRCN0000019584,5768,2971,4538,7389,5786,9234
ABCG8,TRCN0000059652,20906,11729,19246,14983,20919,27799
DMRTC2,TRCN0000019585,31407,18266,24450,18937,28992,38771
SPATA16,TRCN0000138134,8392,5680,7848,7597,8491,12300
IL1F10,TRCN0000058439,19607,11835,17895,16427,21778,26357
OLIG2,TRCN0000018159,1130,1138,2485,73,203,180
RXFP2,TRCN0000009003,15055,7924,9e3,15099,21890,28431
FAM71B,TRCN0000143767,8509,6756,10386,6589,14935,13337
KRT25,TRCN0000116494,16316,10096,14210,25402,28769,39995
OR9Q2,TRCN0000063065,23080,13725,19716,48465,51821,77735
OTUD6A,TRCN0000136332,11858,5966,9439,14023,20980,32272
TRIM42,TRCN0000073252,18559,10400,14923,15936,25804,33117
LHX5,TRCN0000005065,18116,13648,21070,9320,19051,18923
RPL36,TRCN0000117672,15532,8863,14277,10208,21432,20668
FAM71B,TRCN0000139275,8326,5186,10209,15104,25706,29689
CYP7A1,TRCN0000064259,13802,8004,11982,19429,25854,39575
PSMA3,TRCN0000003881,13008,9291,13213,16211,18456,25066
RPTN,TRCN0000053867,1363,1280,2599,482,533,546
CYP7A1,TRCN0000064258,10306,7214,9620,8131,8216,11674
OC90,TRCN0000054165,44024,26692,42030,14049,14142,25235
OLIG2,TRCN0000018158,12845,8379,13816,4144,5866,7788
POU4F2,TRCN0000019573,5819,4242,7069,8105,12972,14594
ABCG8,TRCN0000059651,8237,5969,10470,6095,8872,8665
SAGE1,TRCN0000115756,13171,8600,12462,13383,21003,20711
ABCG8,TRCN0000059649,21237,12078,18185,28214,36552,55474
OTUD6A,TRCN0000134038,9035,6878,6846,8104,10965,10992
NUP205,TRCN0000060027,8987,8561,9981,13090,16496,22979
MRGPRD,TRCN0000077975,12673,6412,10179,14959,22582,23665
SPATA16,TRCN0000137396,13186,9434,14232,13336,15912,23961
DMRTC2,TRCN0000019586,7461,4435,6945,10166,12891,16600
DEFB129,TRCN0000135470,16485,9208,14935,20993,29382,31401
FCRL4,TRCN0000063028,19141,11457,17552,28373,36668,55194
OLIG2,TRCN0000018160,1334,2248,4059,124,145,215
OTUD6A,TRCN0000138784,6278,4817,7473,3659,3896,6269
OR52E8,TRCN0000060813,8781,5358,9483,16816,21259,25942
HTR3D,TRCN0000060914,15878,10391,15617,25874,25389,37110
RXFP2,TRCN0000009002,11730,6922,9833,9721,11483,11404
RNASE9,TRCN0000049814,15780,8231,11347,11095,15788,22732
NUP93,TRCN0000059960,13514,6791,12130,12118,17987,28235
ADH7,TRCN0000026419,12811,8812,11977,11335,15264,18899
RNASE9,TRCN0000049816,11890,8173,13781,6141,10972,12377
TGM6,TRCN0000056294,12111,7833,11875,17573,32809,37043
OR9Q2,TRCN0000063066,13603,8330,11459,15149,18234,22326
TPH2,TRCN0000056675,12026,6508,10644,20432,37194,35178
KRT74,TRCN0000116929,19443,11006,14457,18129,18851,26070
OR52E8,TRCN0000060816,12578,8543,10717,14732,23888,28147
MAGEB3,TRCN0000115828,10133,6973,9881,9153,11538,15692
RPTN,TRCN0000053863,4386,3240,5824,5357,8779,10528
FAM71B,TRCN0000121666,16335,10670,14131,18870,21387,27497
LYZL6,TRCN0000151784,11730,5912,8064,13e3,23210,34661
ADH7,TRCN0000026491,19511,9763,16889,25565,36986,43101
LHX5,TRCN0000005063,34942,21245,37145,53523,74280,80811
DMRTB1,TRCN0000019523,83,0,176,55,113,566
COPS6,TRCN0000072559,12038,9849,11445,7155,7875,11544
OTUD6A,TRCN0000135872,3250,2810,4343,3624,5630,7396
VN1R2,TRCN0000014255,47394,28169,41889,47419,72560,97678
SPATA16,TRCN0000137295,3453,1808,5026,3596,6710,4194
OTUD6A,TRCN0000134360,7199,4537,6976,6972,10139,10249
DMRTB1,TRCN0000019520,7294,4773,8891,9643,12737,15419
TAAR8,TRCN0000011512,22288,12443,19365,25721,35249,41513
VN1R2,TRCN0000014257,21510,11220,18567,27952,34972,47604
