dataset,method,gene,fdr,essential
CRISPR.RT112,CRISPhieRmix,RPS24,0,1
CRISPR.RT112,CRISPhieRmix,PSMC4,0,1
CRISPR.RT112,CRISPhieRmix,RPL27,0,1
CRISPR.RT112,CRISPhieRmix,RPL9,0,1
CRISPR.RT112,CRISPhieRmix,PSMC2,0,1
CRISPR.RT112,CRISPhieRmix,NUP54,0,1
CRISPR.RT112,CRISPhieRmix,COPS4,0,1
CRISPR.RT112,CRISPhieRmix,NUP133,0,1
CRISPR.RT112,CRISPhieRmix,RPL35A,0,1
CRISPR.RT112,CRISPhieRmix,RPL3,0,1
CRISPR.RT112,CRISPhieRmix,RPL30,0,1
CRISPR.RT112,CRISPhieRmix,POLA1,0,1
CRISPR.RT112,CRISPhieRmix,NUP98,0,1
CRISPR.RT112,CRISPhieRmix,COPS2,0,1
CRISPR.RT112,CRISPhieRmix,RPL6,0,1
CRISPR.RT112,CRISPhieRmix,PSMD7,0,1
CRISPR.RT112,CRISPhieRmix,COPS8,0,1
CRISPR.RT112,CRISPhieRmix,COPS6,0,1
CRISPR.RT112,CRISPhieRmix,NUP205,0,1
CRISPR.RT112,CRISPhieRmix,PSMD1,0,1
CRISPR.RT112,CRISPhieRmix,RPS7,0,1
CRISPR.RT112,CRISPhieRmix,RPS27,0,1
CRISPR.RT112,CRISPhieRmix,LYZL6,0.01795957866718881,0
CRISPR.RT112,CRISPhieRmix,CRYGB,0.09359386865821853,0
CRISPR.RT112,CRISPhieRmix,MRGPRD,0.05722192120439603,0
CRISPR.RT112,CRISPhieRmix,IL1F10,0.0379729728091718,0
CRISPR.RT112,CRISPhieRmix,OTUD6A,0.07576264976587753,0
CRISPR.RT112,CRISPhieRmix,KRT25,0.11076061896285334,0
CRISPR.RT112,CRISPhieRmix,PIWIL3,0.22767472032597266,0
CRISPR.RT112,CRISPhieRmix,TPH2,0.12729511039593833,0
CRISPR.RT112,CRISPhieRmix,RNASE9,0.49253774947891676,0
CRISPR.RT112,CRISPhieRmix,NPSR1,0.2638951312617737,0
CRISPR.RT112,CRISPhieRmix,DMRTB1,0.21478883974227309,0
CRISPR.RT112,CRISPhieRmix,RPTN,0.14321902716950555,0
CRISPR.RT112,CRISPhieRmix,HTR3D,0.20145957205151502,0
CRISPR.RT112,CRISPhieRmix,DMRTC2,0.18766378750582774,0
CRISPR.RT112,CRISPhieRmix,OLIG2,0.2861900792853711,0
CRISPR.RT112,CRISPhieRmix,IL22,0.17337574997695313,0
CRISPR.RT112,CRISPhieRmix,OR9Q2,0.32691096962859284,0
CRISPR.RT112,CRISPhieRmix,RXFP2,0.345557334954421,0
CRISPR.RT112,CRISPhieRmix,LUZP4,0.4179518555448384,0
CRISPR.RT112,CRISPhieRmix,KRT74,0.29683176436599923,0
CRISPR.RT112,CRISPhieRmix,OC90,0.15856937153231418,0
CRISPR.RT112,CRISPhieRmix,NPHS2,0.317178506649729,0
CRISPR.RT112,CRISPhieRmix,FCRL4,0.4107202454359738,0
CRISPR.RT112,CRISPhieRmix,LHX5,0.3798728088553756,0
CRISPR.RT112,CRISPhieRmix,FAM71B,0.30715598102009867,0
CRISPR.RT112,CRISPhieRmix,CYP7A1,0.36318445584958114,0
CRISPR.RT112,CRISPhieRmix,SAGE1,0.4250062420074523,0
CRISPR.RT112,CRISPhieRmix,SPATA16,0.2401408637515619,0
CRISPR.RT112,CRISPhieRmix,TAAR8,0.4515689592210751,0
CRISPR.RT112,CRISPhieRmix,CABP5,0.3956959522867019,0
CRISPR.RT112,CRISPhieRmix,ADH7,0.3544932579386617,0
CRISPR.RT112,CRISPhieRmix,TGM6,0.4979737073717035,0
CRISPR.RT112,CRISPhieRmix,TRIM42,0.33636728705643587,0
CRISPR.RT112,CRISPhieRmix,KRT9,0.4318888760223185,0
CRISPR.RT112,CRISPhieRmix,TAS2R13,0.46393749314800625,0
CRISPR.RT112,CRISPhieRmix,NLRP5,0.25220845868448477,0
CRISPR.RT112,CRISPhieRmix,MAGEB3,0.2752167734779381,0
CRISPR.RT112,CRISPhieRmix,VN1R2,0.4578250991409759,0
CRISPR.RT112,CRISPhieRmix,ABCG8,0.4699114181408665,0
CRISPR.RT112,CRISPhieRmix,OR12D2,0.4757514553415753,0
CRISPR.RT112,CRISPhieRmix,POU4F2,0.3716413765039682,0
CRISPR.RT112,CRISPhieRmix,DEFB129,0.38788829090418775,0
CRISPR.RT112,CRISPhieRmix,KRT77,0.4814622343880178,0
CRISPR.RT112,CRISPhieRmix,PLA2G2E,0.48704854226863953,0
CRISPR.RT112,CRISPhieRmix,TAAR1,0.43860625632184896,0
CRISPR.RT112,CRISPhieRmix,TAS2R9,0.44516429762913146,0
CRISPR.RT112,CRISPhieRmix,OR52E8,0.4033040001925876,0
CRISPR.RT112,HitSelect,PSMB2,0.01075269,1
CRISPR.RT112,HitSelect,RPS19,0.01075269,1
CRISPR.RT112,HitSelect,RPS13,0.01075269,1
CRISPR.RT112,HitSelect,RPL11,0.01075269,1
CRISPR.RT112,HitSelect,RPS9,0.01075269,1
CRISPR.RT112,HitSelect,NUP93,0.01075269,1
CRISPR.RT112,HitSelect,RPS8,0.01075269,1
CRISPR.RT112,HitSelect,RPL35A,0.01075269,1
CRISPR.RT112,HitSelect,RPL36,0.01075269,1
CRISPR.RT112,HitSelect,POLR2A,0.01075269,1
CRISPR.RT112,HitSelect,RPL9,0.01075269,1
CRISPR.RT112,HitSelect,POLR2D,0.01075269,1
CRISPR.RT112,HitSelect,PSMD6,0.01075269,1
CRISPR.RT112,HitSelect,COPB1,0.01075269,1
CRISPR.RT112,HitSelect,RPL34,0.01075269,1
CRISPR.RT112,HitSelect,COPA,0.01075269,1
CRISPR.RT112,HitSelect,COPS4,0.01075269,1
CRISPR.RT112,HitSelect,PSMD11,0.01075269,1
CRISPR.RT112,HitSelect,RPL18A,0.01075269,1
CRISPR.RT112,HitSelect,PSMD7,0.01075269,1
CRISPR.RT112,HitSelect,PSMC2,0.01075269,1
CRISPR.RT112,HitSelect,PSMC1,0.01075269,1
CRISPR.RT112,HitSelect,PSMC4,0.01075269,1
CRISPR.RT112,HitSelect,COPZ1,0.01075269,1
CRISPR.RT112,HitSelect,PSMB3,0.04301075,1
CRISPR.RT112,HitSelect,PSMA3,0.04301075,1
CRISPR.RT112,HitSelect,RPL30,0.04301075,1
CRISPR.RT112,HitSelect,POLA1,0.04301075,1
CRISPR.RT112,HitSelect,RPS11,0.04301075,1
CRISPR.RT112,HitSelect,RPL5,0.04301075,1
CRISPR.RT112,HitSelect,POLR2F,0.04301075,1
CRISPR.RT112,HitSelect,NUP133,0.09646697,1
CRISPR.RT112,HitSelect,RPS3A,0.09646697,1
CRISPR.RT112,HitSelect,NUP98,0.09646697,1
CRISPR.RT112,HitSelect,RPL27,0.09646697,1
CRISPR.RT112,HitSelect,NUP205,0.1083137,1
CRISPR.RT112,HitSelect,COPS6,0.1083137,1
CRISPR.RT112,HitSelect,NUP54,0.1083137,1
CRISPR.RT112,HitSelect,RPL3,0.1083137,1
CRISPR.RT112,HitSelect,COPS2,0.1083137,1
CRISPR.RT112,HitSelect,PSMD1,0.1083137,1
CRISPR.RT112,HitSelect,COPS8,0.1171357,1
CRISPR.RT112,HitSelect,RPS24,0.1171357,1
CRISPR.RT112,HitSelect,RPS27,0.1171357,1
CRISPR.RT112,HitSelect,RPS7,0.1171357,1
CRISPR.RT112,HitSelect,RPL6,0.1171357,1
CRISPR.RT112,HitSelect,LYZL6,0.1171357,0
CRISPR.RT112,HitSelect,IL1F10,1,0
CRISPR.RT112,HitSelect,MRGPRD,1,0
CRISPR.RT112,HitSelect,DMRTC2,1,0
CRISPR.RT112,HitSelect,DMRTB1,1,0
CRISPR.RT112,HitSelect,KRT25,1,0
CRISPR.RT112,HitSelect,HTR3D,1,0
CRISPR.RT112,HitSelect,PIWIL3,1,0
CRISPR.RT112,HitSelect,OR9Q2,1,0
CRISPR.RT112,HitSelect,OC90,1,0
CRISPR.RT112,HitSelect,TPH2,1,0
CRISPR.RT112,HitSelect,OTUD6A,1,0
CRISPR.RT112,HitSelect,RNASE9,1,0
CRISPR.RT112,HitSelect,KRT9,1,0
CRISPR.RT112,HitSelect,KRT74,1,0
CRISPR.RT112,HitSelect,LUZP4,1,0
CRISPR.RT112,HitSelect,CYP7A1,1,0
CRISPR.RT112,HitSelect,NPHS2,1,0
CRISPR.RT112,HitSelect,RPTN,1,0
CRISPR.RT112,HitSelect,CRYGB,1,0
CRISPR.RT112,HitSelect,ABCG8,1,0
CRISPR.RT112,HitSelect,IL22,1,0
CRISPR.RT112,HitSelect,SPATA16,1,0
CRISPR.RT112,HitSelect,OR12D2,1,0
CRISPR.RT112,HitSelect,FCRL4,1,0
CRISPR.RT112,HitSelect,TAS2R13,1,0
CRISPR.RT112,HitSelect,CABP5,1,0
CRISPR.RT112,HitSelect,TRIM42,1,0
CRISPR.RT112,HitSelect,NPSR1,1,0
CRISPR.RT112,HitSelect,RXFP2,1,0
CRISPR.RT112,HitSelect,KRT77,1,0
CRISPR.RT112,HitSelect,OLIG2,1,0
CRISPR.RT112,HitSelect,ADH7,1,0
CRISPR.RT112,HitSelect,DEFB129,1,0
CRISPR.RT112,HitSelect,TAS2R9,1,0
CRISPR.RT112,HitSelect,SAGE1,1,0
CRISPR.RT112,HitSelect,LHX5,1,0
CRISPR.RT112,HitSelect,TGM6,1,0
CRISPR.RT112,HitSelect,TAAR8,1,0
CRISPR.RT112,HitSelect,PLA2G2E,1,0
CRISPR.RT112,HitSelect,VN1R2,1,0
CRISPR.RT112,HitSelect,MAGEB3,1,0
CRISPR.RT112,HitSelect,FAM71B,1,0
CRISPR.RT112,HitSelect,TAAR1,1,0
CRISPR.RT112,HitSelect,NLRP5,1,0
CRISPR.RT112,HitSelect,POU4F2,1,0
CRISPR.RT112,HitSelect,OR52E8,1,0
CRISPR.RT112,MAGeCK,PSMD6,2.32e-4,1
CRISPR.RT112,MAGeCK,NUP98,4.64e-4,1
CRISPR.RT112,MAGeCK,PSMB2,2.32e-4,1
CRISPR.RT112,MAGeCK,RPS13,0.002205,1
CRISPR.RT112,MAGeCK,PSMD11,0.003946,1
CRISPR.RT112,MAGeCK,PSMC4,0.003946,1
CRISPR.RT112,MAGeCK,RPL3,0.006289,1
CRISPR.RT112,MAGeCK,RPL11,0.006289,1
CRISPR.RT112,MAGeCK,PSMC1,0.006289,1
CRISPR.RT112,MAGeCK,PSMD7,0.006289,1
CRISPR.RT112,MAGeCK,COPB1,0.006289,1
CRISPR.RT112,MAGeCK,COPS4,0.006607,1
CRISPR.RT112,MAGeCK,NUP205,0.006607,1
CRISPR.RT112,MAGeCK,RPL18A,0.006864,1
CRISPR.RT112,MAGeCK,POLR2F,0.008449,1
CRISPR.RT112,MAGeCK,POLR2D,0.008821,1
CRISPR.RT112,MAGeCK,RPS19,0.008821,1
CRISPR.RT112,MAGeCK,RPS8,0.009259,1
CRISPR.RT112,MAGeCK,COPA,0.01273,1
CRISPR.RT112,MAGeCK,POLR2A,0.016318,1
CRISPR.RT112,MAGeCK,NUP93,0.019609,1
CRISPR.RT112,MAGeCK,NUP54,0.024711,1
CRISPR.RT112,MAGeCK,PSMC2,0.03163,1
CRISPR.RT112,MAGeCK,COPS6,0.041222,1
CRISPR.RT112,MAGeCK,RPL36,0.044104,1
CRISPR.RT112,MAGeCK,POLA1,0.055452,1
CRISPR.RT112,MAGeCK,RPS3A,0.055407,1
CRISPR.RT112,MAGeCK,RPL35A,0.089253,1
CRISPR.RT112,MAGeCK,COPZ1,0.131398,1
CRISPR.RT112,MAGeCK,PSMD1,0.130749,1
CRISPR.RT112,MAGeCK,RPS9,0.131398,1
CRISPR.RT112,MAGeCK,RPS27,0.115311,1
CRISPR.RT112,MAGeCK,NUP133,0.140081,1
CRISPR.RT112,MAGeCK,RPL34,0.138418,1
CRISPR.RT112,MAGeCK,RPS11,0.149821,1
CRISPR.RT112,MAGeCK,COPS8,0.221539,1
CRISPR.RT112,MAGeCK,RPL9,0.243231,1
CRISPR.RT112,MAGeCK,RPL5,0.277073,1
CRISPR.RT112,MAGeCK,PSMA3,0.358939,1
CRISPR.RT112,MAGeCK,PSMB3,0.363846,1
CRISPR.RT112,MAGeCK,COPS2,0.665838,1
CRISPR.RT112,MAGeCK,RPL30,0.697599,1
CRISPR.RT112,MAGeCK,RPL6,0.401714,1
CRISPR.RT112,MAGeCK,RPS24,0.890004,1
CRISPR.RT112,MAGeCK,RPL27,0.999995,1
CRISPR.RT112,MAGeCK,RPS7,0.999995,1
CRISPR.RT112,MAGeCK,MRGPRD,0.999995,0
CRISPR.RT112,MAGeCK,LYZL6,0.999995,0
CRISPR.RT112,MAGeCK,IL1F10,0.999995,0
CRISPR.RT112,MAGeCK,KRT25,0.999995,0
CRISPR.RT112,MAGeCK,CRYGB,0.999995,0
CRISPR.RT112,MAGeCK,OTUD6A,0.999995,0
CRISPR.RT112,MAGeCK,PIWIL3,0.999995,0
CRISPR.RT112,MAGeCK,TPH2,0.999995,0
CRISPR.RT112,MAGeCK,NPSR1,0.999995,0
CRISPR.RT112,MAGeCK,DMRTB1,0.999995,0
CRISPR.RT112,MAGeCK,RPTN,0.999995,0
CRISPR.RT112,MAGeCK,HTR3D,0.999995,0
CRISPR.RT112,MAGeCK,DMRTC2,0.999995,0
CRISPR.RT112,MAGeCK,OLIG2,0.999995,0
CRISPR.RT112,MAGeCK,IL22,0.999995,0
CRISPR.RT112,MAGeCK,OR9Q2,0.999995,0
CRISPR.RT112,MAGeCK,RXFP2,0.999995,0
CRISPR.RT112,MAGeCK,LUZP4,0.999995,0
CRISPR.RT112,MAGeCK,KRT74,0.999995,0
CRISPR.RT112,MAGeCK,RNASE9,0.999995,0
CRISPR.RT112,MAGeCK,OC90,0.999995,0
CRISPR.RT112,MAGeCK,NPHS2,0.999995,0
CRISPR.RT112,MAGeCK,FCRL4,0.999995,0
CRISPR.RT112,MAGeCK,LHX5,0.999995,0
CRISPR.RT112,MAGeCK,FAM71B,0.999995,0
CRISPR.RT112,MAGeCK,CYP7A1,0.999995,0
CRISPR.RT112,MAGeCK,SAGE1,0.999995,0
CRISPR.RT112,MAGeCK,SPATA16,0.999995,0
CRISPR.RT112,MAGeCK,TAAR8,0.999995,0
CRISPR.RT112,MAGeCK,CABP5,0.999995,0
CRISPR.RT112,MAGeCK,ADH7,0.999995,0
CRISPR.RT112,MAGeCK,TRIM42,0.999995,0
CRISPR.RT112,MAGeCK,KRT9,0.999995,0
CRISPR.RT112,MAGeCK,TAS2R13,0.999995,0
CRISPR.RT112,MAGeCK,NLRP5,0.999995,0
CRISPR.RT112,MAGeCK,MAGEB3,0.999995,0
CRISPR.RT112,MAGeCK,VN1R2,0.999995,0
CRISPR.RT112,MAGeCK,ABCG8,0.999995,0
CRISPR.RT112,MAGeCK,OR12D2,0.999995,0
CRISPR.RT112,MAGeCK,POU4F2,0.999995,0
CRISPR.RT112,MAGeCK,DEFB129,0.999995,0
CRISPR.RT112,MAGeCK,KRT77,0.999995,0
CRISPR.RT112,MAGeCK,PLA2G2E,0.999995,0
CRISPR.RT112,MAGeCK,TAAR1,0.999995,0
CRISPR.RT112,MAGeCK,TGM6,0.999995,0
CRISPR.RT112,MAGeCK,TAS2R9,0.999995,0
CRISPR.RT112,MAGeCK,OR52E8,0.999995,0
CRISPR.RT112,PBNPA,ABCG8,0.9999999983423613,0
CRISPR.RT112,PBNPA,ADH7,0.9999999983423613,0
CRISPR.RT112,PBNPA,CABP5,0.9999999983423613,0
CRISPR.RT112,PBNPA,COPA,3.676827278257562e-4,1
CRISPR.RT112,PBNPA,COPB1,0.0014952931708086864,1
CRISPR.RT112,PBNPA,COPS2,0.11282460294444861,1
CRISPR.RT112,PBNPA,COPS4,3.676827278257562e-4,1
CRISPR.RT112,PBNPA,COPS6,0.05273923255485169,1
CRISPR.RT112,PBNPA,COPS8,0.5408380008266844,1
CRISPR.RT112,PBNPA,COPZ1,0.23335850294819915,1
CRISPR.RT112,PBNPA,CRYGB,0.9999999983423613,0
CRISPR.RT112,PBNPA,CYP7A1,0.9999999983423613,0
CRISPR.RT112,PBNPA,DEFB129,0.9999999983423613,0
CRISPR.RT112,PBNPA,DMRTB1,0.9999999983423613,0
CRISPR.RT112,PBNPA,DMRTC2,0.9999999983423613,0
CRISPR.RT112,PBNPA,FAM71B,0.9999999983423613,0
CRISPR.RT112,PBNPA,FCRL4,0.9999999983423613,0
CRISPR.RT112,PBNPA,HTR3D,0.9999999983423613,0
CRISPR.RT112,PBNPA,IL1F10,0.9999999983423613,0
CRISPR.RT112,PBNPA,IL22,0.9999999983423613,0
CRISPR.RT112,PBNPA,KRT25,0.9999999983423613,0
CRISPR.RT112,PBNPA,KRT74,0.9999999983423613,0
CRISPR.RT112,PBNPA,KRT77,0.9999999983423613,0
CRISPR.RT112,PBNPA,KRT9,0.9999999983423613,0
CRISPR.RT112,PBNPA,LHX5,0.9999999983423613,0
CRISPR.RT112,PBNPA,LUZP4,0.9999999983423613,0
CRISPR.RT112,PBNPA,LYZL6,0.9999999983423613,0
CRISPR.RT112,PBNPA,MAGEB3,0.9999999983423613,0
CRISPR.RT112,PBNPA,MRGPRD,0.9999999983423613,0
CRISPR.RT112,PBNPA,NLRP5,0.9999999983423613,0
CRISPR.RT112,PBNPA,NPHS2,0.9999999983423613,0
CRISPR.RT112,PBNPA,NPSR1,0.9999999983423613,0
CRISPR.RT112,PBNPA,NUP133,0.015932871709162782,1
CRISPR.RT112,PBNPA,NUP205,0.03636792021359774,1
CRISPR.RT112,PBNPA,NUP54,0.06147862856206331,1
CRISPR.RT112,PBNPA,NUP93,1.0549781674488168e-4,1
CRISPR.RT112,PBNPA,NUP98,0.14005916230894006,1
CRISPR.RT112,PBNPA,OC90,0.9999999983423613,0
CRISPR.RT112,PBNPA,OLIG2,0.9999999983423613,0
CRISPR.RT112,PBNPA,OR12D2,0.9999999983423613,0
CRISPR.RT112,PBNPA,OR52E8,0.9999999983423613,0
CRISPR.RT112,PBNPA,OR9Q2,0.9999999983423613,0
CRISPR.RT112,PBNPA,OTUD6A,0.9999999983423613,0
CRISPR.RT112,PBNPA,PIWIL3,0.9999999983423613,0
CRISPR.RT112,PBNPA,PLA2G2E,0.9999999983423613,0
CRISPR.RT112,PBNPA,POLA1,0.03248965425199254,1
CRISPR.RT112,PBNPA,POLR2A,0.00793570224518636,1
CRISPR.RT112,PBNPA,POLR2D,5.675527995022531e-5,1
CRISPR.RT112,PBNPA,POLR2F,0.015932871709162782,1
CRISPR.RT112,PBNPA,POU4F2,0.9999999983423613,0
CRISPR.RT112,PBNPA,PSMA3,0.03668103725199896,1
CRISPR.RT112,PBNPA,PSMB2,4.1945313495772574e-5,1
CRISPR.RT112,PBNPA,PSMB3,0.168804955346768,1
CRISPR.RT112,PBNPA,PSMC1,6.060253314823073e-4,1
CRISPR.RT112,PBNPA,PSMC2,0.012626246561873708,1
CRISPR.RT112,PBNPA,PSMC4,0.011978786125099632,1
CRISPR.RT112,PBNPA,PSMD1,0.12341724127334765,1
CRISPR.RT112,PBNPA,PSMD11,0.0025975363308220665,1
CRISPR.RT112,PBNPA,PSMD6,0.006903737223813839,1
CRISPR.RT112,PBNPA,PSMD7,2.4650049434447245e-4,1
CRISPR.RT112,PBNPA,RNASE9,0.9999999983423613,0
CRISPR.RT112,PBNPA,RPL11,1.6732426390997368e-5,1
CRISPR.RT112,PBNPA,RPL18A,3.0891242717911993e-4,1
CRISPR.RT112,PBNPA,RPL27,0.5852192619284243,1
CRISPR.RT112,PBNPA,RPL3,0.1716423335407314,1
CRISPR.RT112,PBNPA,RPL30,0.24399007626382024,1
CRISPR.RT112,PBNPA,RPL34,1.6732426390997368e-5,1
CRISPR.RT112,PBNPA,RPL35A,3.4998158017729435e-5,1
CRISPR.RT112,PBNPA,RPL36,0.0010020033680085416,1
CRISPR.RT112,PBNPA,RPL5,0.12523745307084713,1
CRISPR.RT112,PBNPA,RPL6,0.006903737223813839,1
CRISPR.RT112,PBNPA,RPL9,0.03627473508484744,1
CRISPR.RT112,PBNPA,RPS11,0.06147862856206331,1
CRISPR.RT112,PBNPA,RPS13,5.842824377634559e-5,1
CRISPR.RT112,PBNPA,RPS19,3.378717354221572e-5,1
CRISPR.RT112,PBNPA,RPS24,0.6194978418919992,1
CRISPR.RT112,PBNPA,RPS27,0.12523745307084713,1
CRISPR.RT112,PBNPA,RPS3A,0.012626246561873708,1
CRISPR.RT112,PBNPA,RPS7,0.9999999983423613,1
CRISPR.RT112,PBNPA,RPS8,6.335370559584774e-5,1
CRISPR.RT112,PBNPA,RPS9,1.6732426390997368e-5,1
CRISPR.RT112,PBNPA,RPTN,0.9999999983423613,0
CRISPR.RT112,PBNPA,RXFP2,0.9999999983423613,0
CRISPR.RT112,PBNPA,SAGE1,0.9999999983423613,0
CRISPR.RT112,PBNPA,SPATA16,0.9999999983423613,0
CRISPR.RT112,PBNPA,TAAR1,0.9999999983423613,0
CRISPR.RT112,PBNPA,TAAR8,0.9999999983423613,0
