gene,class
RPL27,decreasing
POLR2F,decreasing
RPS13,decreasing
RPS9,decreasing
COPB1,decreasing
RPL34,decreasing
POLR2D,decreasing
COPS2,decreasing
NUP133,decreasing
RPL35A,decreasing
PSMB2,decreasing
PSMD7,decreasing
COPS8,decreasing
PSMD6,decreasing
COPS6,decreasing
NUP98,decreasing
RPS3A,decreasing
COPS4,decreasing
PSMB2,decreasing
RPL5,decreasing
PSMD7,decreasing
RPL18A,decreasing
PSMD6,decreasing
NUP205,decreasing
POLA1,decreasing
PSMB2,decreasing
COPB1,decreasing
RPS11,decreasing
PSMA3,decreasing
NUP54,decreasing
RPS19,decreasing
RPS19,decreasing
POLR2A,decreasing
NUP98,decreasing
POLR2A,decreasing
COPS4,decreasing
RPL5,decreasing
RPL3,decreasing
PSMC2,decreasing
NUP205,decreasing
RPS9,decreasing
PSMC4,decreasing
RPL11,decreasing
COPZ1,decreasing
RPS19,decreasing
COPB1,decreasing
NUP205,decreasing
RPL11,decreasing
NUP98,decreasing
COPZ1,decreasing
COPB1,decreasing
RPL9,decreasing
RPL36,decreasing
PSMD7,decreasing
COPS8,decreasing
COPS8,decreasing
NUP133,decreasing
POLA1,decreasing
RPL34,decreasing
COPS6,decreasing
POLR2D,decreasing
RPL11,decreasing
COPZ1,decreasing
PSMA3,decreasing
COPA,decreasing
PSMD6,decreasing
PSMD7,decreasing
RPL30,decreasing
COPA,decreasing
PSMC4,decreasing
PSMB2,decreasing
NUP133,decreasing
RPS8,decreasing
PSMC1,decreasing
RPL36,decreasing
PSMC2,decreasing
POLR2F,decreasing
PSMD6,decreasing
RPL3,decreasing
COPS2,decreasing
PSMB2,decreasing
PSMD1,decreasing
RPS11,decreasing
POLR2D,decreasing
RPL35A,decreasing
PSMD6,decreasing
RPS13,decreasing
RPL30,decreasing
PSMC2,decreasing
POLR2D,decreasing
RPS9,decreasing
COPS6,decreasing
RPL18A,decreasing
PSMC2,decreasing
COPA,decreasing
RPL18A,decreasing
RPS7,decreasing
PSMD1,decreasing
COPB1,decreasing
NUP98,decreasing
COPA,decreasing
NUP205,decreasing
PSMC2,decreasing
PSMD7,decreasing
PSMD6,decreasing
NUP98,decreasing
COPA,decreasing
POLR2D,decreasing
NUP54,decreasing
PSMB3,decreasing
PSMD1,decreasing
RPS8,decreasing
RPL9,decreasing
PSMC4,decreasing
COPA,decreasing
PSMD6,decreasing
RPS27,decreasing
POLA1,decreasing
PSMD11,decreasing
RPL34,decreasing
POLR2A,decreasing
RPL27,decreasing
COPA,decreasing
NUP133,decreasing
PSMA3,decreasing
RPL11,decreasing
NUP54,decreasing
PSMD11,decreasing
NUP205,decreasing
PSMD1,decreasing
NUP98,decreasing
PSMD6,decreasing
PSMB2,decreasing
COPS4,decreasing
COPS6,decreasing
PSMB2,decreasing
PSMD6,decreasing
PSMB3,decreasing
PSMD6,decreasing
RPL36,decreasing
POLR2A,decreasing
PSMD11,decreasing
POLR2A,decreasing
RPL36,decreasing
RPS19,decreasing
PSMD1,decreasing
COPS6,decreasing
PSMB2,decreasing
COPB1,decreasing
NUP93,decreasing
RPS8,decreasing
RPS7,decreasing
POLR2F,decreasing
PSMD6,decreasing
NUP93,decreasing
PSMD7,decreasing
PSMA3,decreasing
RPS3A,decreasing
RPL18A,decreasing
PSMA3,decreasing
RPS3A,decreasing
RPS27,decreasing
COPS2,decreasing
COPB1,decreasing
RPL5,decreasing
PSMC2,decreasing
COPS4,decreasing
PSMD11,decreasing
NUP93,decreasing
COPS4,decreasing
PSMD1,decreasing
PSMD11,decreasing
PSMD6,decreasing
NUP133,decreasing
RPL3,decreasing
COPS8,decreasing
RPS27,decreasing
RPS13,decreasing
RPL30,decreasing
NUP93,decreasing
COPS6,decreasing
COPZ1,decreasing
COPS2,decreasing
RPL11,decreasing
RPL3,decreasing
PSMD11,decreasing
PSMC4,decreasing
NUP98,decreasing
NUP205,decreasing
RPL36,decreasing
RPS19,decreasing
POLA1,decreasing
POLA1,decreasing
COPS6,decreasing
NUP54,decreasing
POLR2A,decreasing
RPL6,decreasing
NUP54,decreasing
NUP205,decreasing
PSMB2,decreasing
RPS13,decreasing
PSMC1,decreasing
COPS8,decreasing
NUP205,decreasing
POLR2F,decreasing
NUP133,decreasing
NUP98,decreasing
PSMB3,decreasing
RPL27,decreasing
RPL5,decreasing
RPL18A,decreasing
NUP98,decreasing
PSMB3,decreasing
NUP98,decreasing
COPS6,decreasing
PSMD6,decreasing
NUP98,decreasing
PSMC4,decreasing
RPS7,decreasing
PSMB2,decreasing
POLR2A,decreasing
PSMC4,decreasing
COPS2,decreasing
PSMC1,decreasing
RPL3,decreasing
RPS11,decreasing
PSMB2,decreasing
RPS24,decreasing
PSMD11,decreasing
COPZ1,decreasing
PSMC4,decreasing
PSMD6,decreasing
PSMD1,decreasing
COPA,decreasing
RPL3,decreasing
RPS24,decreasing
COPS8,decreasing
RPS24,decreasing
LYZL6,inactive
PSMD1,decreasing
COPS8,decreasing
RPL3,decreasing
NUP98,decreasing
COPZ1,decreasing
RPS24,decreasing
RPL9,decreasing
RPL3,decreasing
RPL27,decreasing
RPL3,decreasing
RPL34,decreasing
NUP98,decreasing
COPS8,decreasing
RPS3A,decreasing
PSMC2,decreasing
RPS27,decreasing
PSMD7,decreasing
RPS9,decreasing
RPL11,decreasing
RPS8,decreasing
NUP133,decreasing
RPL5,decreasing
POLR2D,decreasing
RPS27,decreasing
NUP98,decreasing
COPZ1,decreasing
NUP54,decreasing
RPS24,decreasing
RPS11,decreasing
PSMD1,decreasing
PSMD7,decreasing
COPZ1,decreasing
NUP54,decreasing
COPS6,decreasing
COPS8,decreasing
NUP205,decreasing
PSMC1,decreasing
NUP54,decreasing
RPL36,decreasing
POLA1,decreasing
COPS8,decreasing
NUP205,decreasing
POLR2F,decreasing
RPS11,decreasing
COPZ1,decreasing
CRYGB,inactive
LYZL6,inactive
RPS7,decreasing
RPS8,decreasing
PSMB3,decreasing
RPL3,decreasing
MRGPRD,inactive
IL1F10,inactive
PSMB2,decreasing
POLA1,decreasing
POLR2F,decreasing
MRGPRD,inactive
OTUD6A,inactive
RPL9,decreasing
COPS8,decreasing
NUP98,decreasing
RPS24,decreasing
RPS19,decreasing
RPL9,decreasing
IL1F10,inactive
KRT25,inactive
PIWIL3,inactive
TPH2,inactive
RPS8,decreasing
RPL30,decreasing
RNASE9,inactive
NPSR1,inactive
PSMA3,decreasing
PSMD1,decreasing
DMRTB1,inactive
RPL5,decreasing
POLR2D,decreasing
RPTN,inactive
COPS8,decreasing
HTR3D,inactive
MRGPRD,inactive
RPL30,decreasing
LYZL6,inactive
RPL27,decreasing
DMRTC2,inactive
KRT25,inactive
OLIG2,inactive
IL1F10,inactive
IL22,inactive
COPS2,decreasing
HTR3D,inactive
NUP54,decreasing
LYZL6,inactive
IL1F10,inactive
NUP93,decreasing
KRT25,inactive
RPS11,decreasing
OR9Q2,inactive
RXFP2,inactive
LUZP4,inactive
KRT74,inactive
POLA1,decreasing
OC90,inactive
NPHS2,inactive
IL1F10,inactive
COPS2,decreasing
NPHS2,inactive
MRGPRD,inactive
OC90,inactive
NUP93,decreasing
FCRL4,inactive
IL1F10,inactive
PSMB3,decreasing
PIWIL3,inactive
KRT74,inactive
RPL30,decreasing
OTUD6A,inactive
COPS6,decreasing
OR9Q2,inactive
DMRTC2,inactive
LHX5,inactive
FAM71B,inactive
LYZL6,inactive
DMRTB1,inactive
LYZL6,inactive
HTR3D,inactive
CYP7A1,inactive
DMRTB1,inactive
IL1F10,inactive
OC90,inactive
OC90,inactive
OR9Q2,inactive
RPS24,decreasing
MRGPRD,inactive
SAGE1,inactive
RNASE9,inactive
SPATA16,inactive
FCRL4,inactive
TAAR8,inactive
SPATA16,inactive
RPTN,inactive
COPZ1,decreasing
DMRTB1,inactive
DMRTC2,inactive
RPS24,decreasing
OR9Q2,inactive
DMRTC2,inactive
COPS8,decreasing
OC90,inactive
LYZL6,inactive
PSMA3,decreasing
MRGPRD,inactive
RPL35A,decreasing
COPS2,decreasing
PSMD1,decreasing
CABP5,inactive
COPS8,decreasing
IL1F10,inactive
PIWIL3,inactive
ADH7,inactive
TGM6,inactive
RNASE9,inactive
LYZL6,inactive
TPH2,inactive
TRIM42,inactive
PSMA3,decreasing
DMRTC2,inactive
KRT9,inactive
ADH7,inactive
TAS2R13,inactive
HTR3D,inactive
SPATA16,inactive
RPL9,decreasing
KRT74,inactive
CABP5,inactive
RXFP2,inactive
SPATA16,inactive
KRT9,inactive
CRYGB,inactive
RPS7,decreasing
RPL9,decreasing
IL22,inactive
OTUD6A,inactive
ADH7,inactive
KRT9,inactive
RNASE9,inactive
PIWIL3,inactive
DMRTC2,inactive
RPL30,decreasing
PSMC2,decreasing
CYP7A1,inactive
COPS2,decreasing
TRIM42,inactive
NLRP5,inactive
DMRTB1,inactive
MAGEB3,inactive
OLIG2,inactive
FAM71B,inactive
VN1R2,inactive
ABCG8,inactive
RNASE9,inactive
OR12D2,inactive
PSMD6,decreasing
POU4F2,inactive
MRGPRD,inactive
TAS2R13,inactive
MAGEB3,inactive
TGM6,inactive
CABP5,inactive
LUZP4,inactive
COPS8,decreasing
POU4F2,inactive
TPH2,inactive
TPH2,inactive
IL22,inactive
RPL35A,decreasing
RPS24,decreasing
RPTN,inactive
TAS2R13,inactive
RPL5,decreasing
ABCG8,inactive
DMRTB1,inactive
SPATA16,inactive
KRT25,inactive
DEFB129,inactive
CRYGB,inactive
DMRTC2,inactive
OR12D2,inactive
RPL5,decreasing
RPL34,decreasing
OC90,inactive
CYP7A1,inactive
IL22,inactive
KRT9,inactive
DMRTB1,inactive
NPSR1,inactive
IL1F10,inactive
NLRP5,inactive
ADH7,inactive
RPTN,inactive
RXFP2,inactive
HTR3D,inactive
LHX5,inactive
KRT74,inactive
KRT25,inactive
FCRL4,inactive
ABCG8,inactive
PSMC1,decreasing
OTUD6A,inactive
FCRL4,inactive
KRT25,inactive
DMRTB1,inactive
KRT77,inactive
OTUD6A,inactive
TPH2,inactive
OLIG2,inactive
KRT74,inactive
KRT9,inactive
FCRL4,inactive
PSMB2,decreasing
RNASE9,inactive
RPS7,decreasing
DMRTC2,inactive
SAGE1,inactive
NPHS2,inactive
RPL27,decreasing
PIWIL3,inactive
ABCG8,inactive
SAGE1,inactive
RPS7,decreasing
TPH2,inactive
PLA2G2E,inactive
CYP7A1,inactive
FCRL4,inactive
CYP7A1,inactive
TAAR1,inactive
RXFP2,inactive
LUZP4,inactive
OLIG2,inactive
DMRTB1,inactive
LHX5,inactive
LUZP4,inactive
KRT9,inactive
MRGPRD,inactive
MAGEB3,inactive
FCRL4,inactive
OC90,inactive
CYP7A1,inactive
RNASE9,inactive
PIWIL3,inactive
OR12D2,inactive
OR9Q2,inactive
PIWIL3,inactive
TAS2R9,inactive
KRT77,inactive
RPTN,inactive
TAAR1,inactive
CYP7A1,inactive
DEFB129,inactive
ADH7,inactive
DMRTC2,inactive
IL1F10,inactive
MAGEB3,inactive
TGM6,inactive
VN1R2,inactive
KRT74,inactive
MRGPRD,inactive
OTUD6A,inactive
PSMC2,decreasing
TRIM42,inactive
KRT9,inactive
CABP5,inactive
HTR3D,inactive
LUZP4,inactive
PSMB2,decreasing
KRT74,inactive
TAAR1,inactive
NPSR1,inactive
DEFB129,inactive
KRT77,inactive
LHX5,inactive
VN1R2,inactive
TAAR8,inactive
PSMA3,decreasing
LHX5,inactive
TAS2R13,inactive
NPHS2,inactive
MAGEB3,inactive
OC90,inactive
HTR3D,inactive
HTR3D,inactive
OC90,inactive
OR9Q2,inactive
PIWIL3,inactive
RNASE9,inactive
TAS2R9,inactive
TRIM42,inactive
POU4F2,inactive
TPH2,inactive
PLA2G2E,inactive
IL22,inactive
KRT77,inactive
KRT74,inactive
KRT25,inactive
RNASE9,inactive
KRT77,inactive
LYZL6,inactive
TAS2R13,inactive
VN1R2,inactive
CABP5,inactive
OTUD6A,inactive
NLRP5,inactive
ADH7,inactive
NPHS2,inactive
RPTN,inactive
LHX5,inactive
FCRL4,inactive
OR12D2,inactive
KRT25,inactive
OTUD6A,inactive
OR9Q2,inactive
PSMB3,decreasing
IL22,inactive
RPL27,decreasing
KRT74,inactive
RPS11,decreasing
FCRL4,inactive
KRT77,inactive
TGM6,inactive
PIWIL3,inactive
NPHS2,inactive
KRT25,inactive
DEFB129,inactive
TAAR1,inactive
CRYGB,inactive
DEFB129,inactive
RPTN,inactive
LHX5,inactive
OR9Q2,inactive
LHX5,inactive
FAM71B,inactive
ADH7,inactive
PLA2G2E,inactive
TGM6,inactive
NPHS2,inactive
PLA2G2E,inactive
OR12D2,inactive
KRT9,inactive
TGM6,inactive
KRT77,inactive
PLA2G2E,inactive
IL22,inactive
NPHS2,inactive
TAAR8,inactive
TAAR8,inactive
ABCG8,inactive
ABCG8,inactive
ABCG8,inactive
ABCG8,inactive
ABCG8,inactive
ABCG8,inactive
ADH7,inactive
ADH7,inactive
ADH7,inactive
CABP5,inactive
CABP5,inactive
CABP5,inactive
CABP5,inactive
CABP5,inactive
COPA,decreasing
COPB1,decreasing
COPS4,decreasing
COPS8,decreasing
COPZ1,decreasing
COPZ1,decreasing
COPZ1,decreasing
CRYGB,inactive
CRYGB,inactive
CRYGB,inactive
CRYGB,inactive
CRYGB,inactive
CRYGB,inactive
CYP7A1,inactive
CYP7A1,inactive
CYP7A1,inactive
DEFB129,inactive
DEFB129,inactive
DEFB129,inactive
DEFB129,inactive
DEFB129,inactive
DMRTB1,inactive
DMRTC2,inactive
FAM71B,inactive
FAM71B,inactive
FAM71B,inactive
FAM71B,inactive
FAM71B,inactive
FAM71B,inactive
FAM71B,inactive
FCRL4,inactive
HTR3D,inactive
HTR3D,inactive
IL22,inactive
IL22,inactive
IL22,inactive
KRT25,inactive
KRT74,inactive
KRT77,inactive
KRT77,inactive
KRT77,inactive
KRT9,inactive
KRT9,inactive
LHX5,inactive
LHX5,inactive
LUZP4,inactive
LUZP4,inactive
LUZP4,inactive
LUZP4,inactive
LUZP4,inactive
LYZL6,inactive
MAGEB3,inactive
MAGEB3,inactive
MAGEB3,inactive
MAGEB3,inactive
MAGEB3,inactive
MRGPRD,inactive
NLRP5,inactive
NLRP5,inactive
NLRP5,inactive
NLRP5,inactive
NLRP5,inactive
NLRP5,inactive
NLRP5,inactive
NPHS2,inactive
NPHS2,inactive
NPSR1,inactive
NPSR1,inactive
NPSR1,inactive
NPSR1,inactive
NPSR1,inactive
NPSR1,inactive
NPSR1,inactive
NUP133,decreasing
NUP133,decreasing
OC90,inactive
OLIG2,inactive
OLIG2,inactive
OLIG2,inactive
OLIG2,inactive
OLIG2,inactive
OLIG2,inactive
OR12D2,inactive
OR12D2,inactive
OR12D2,inactive
OR12D2,inactive
OR12D2,inactive
OR52E8,inactive
OR52E8,inactive
OR52E8,inactive
OR52E8,inactive
OR52E8,inactive
OR52E8,inactive
OR52E8,inactive
OR52E8,inactive
OR52E8,inactive
OR52E8,inactive
OR9Q2,inactive
OR9Q2,inactive
OTUD6A,inactive
OTUD6A,inactive
PIWIL3,inactive
PLA2G2E,inactive
PLA2G2E,inactive
PLA2G2E,inactive
PLA2G2E,inactive
PLA2G2E,inactive
POLR2A,decreasing
POU4F2,inactive
POU4F2,inactive
POU4F2,inactive
POU4F2,inactive
POU4F2,inactive
POU4F2,inactive
POU4F2,inactive
PSMB2,decreasing
PSMB3,decreasing
PSMC2,decreasing
PSMD1,decreasing
RNASE9,inactive
RNASE9,inactive
RPL27,decreasing
RPL27,decreasing
RPL30,decreasing
RPL36,decreasing
RPS24,decreasing
RPS24,decreasing
RPS7,decreasing
RPS9,decreasing
RPS9,decreasing
RPS9,decreasing
RPTN,inactive
RPTN,inactive
RPTN,inactive
RXFP2,inactive
RXFP2,inactive
RXFP2,inactive
RXFP2,inactive
RXFP2,inactive
RXFP2,inactive
SAGE1,inactive
SAGE1,inactive
SAGE1,inactive
SAGE1,inactive
SAGE1,inactive
SAGE1,inactive
SAGE1,inactive
SPATA16,inactive
SPATA16,inactive
SPATA16,inactive
SPATA16,inactive
SPATA16,inactive
TAAR1,inactive
TAAR1,inactive
TAAR1,inactive
TAAR1,inactive
TAAR1,inactive
TAAR1,inactive
TAAR8,inactive
TAAR8,inactive
TAAR8,inactive
TAAR8,inactive
TAAR8,inactive
TAAR8,inactive
TAS2R13,inactive
TAS2R13,inactive
TAS2R13,inactive
TAS2R13,inactive
TAS2R13,inactive
TAS2R9,inactive
TAS2R9,inactive
TAS2R9,inactive
TAS2R9,inactive
TAS2R9,inactive
TAS2R9,inactive
TAS2R9,inactive
TAS2R9,inactive
TGM6,inactive
TGM6,inactive
TGM6,inactive
TGM6,inactive
TGM6,inactive
TGM6,inactive
TGM6,inactive
TGM6,inactive
TPH2,inactive
TPH2,inactive
TPH2,inactive
TRIM42,inactive
TRIM42,inactive
TRIM42,inactive
TRIM42,inactive
TRIM42,inactive
TRIM42,inactive
VN1R2,inactive
VN1R2,inactive
VN1R2,inactive
VN1R2,inactive
VN1R2,inactive
VN1R2,inactive
