gene,class
NLRP5,inactive
RPL34,decreasing
CABP5,inactive
HTR3D,inactive
DMRTC2,inactive
KRT77,inactive
COPS6,decreasing
TAS2R9,inactive
COPA,decreasing
CRYGB,inactive
NPSR1,inactive
RNASE9,inactive
LUZP4,inactive
PSMC2,decreasing
NUP54,decreasing
NPSR1,inactive
DMRTB1,inactive
KRT25,inactive
OR52E8,inactive
TAAR8,inactive
CYP7A1,inactive
RPL18A,decreasing
ABCG8,inactive
TAS2R13,inactive
PIWIL3,inactive
NPSR1,inactive
PSMD11,decreasing
RPS11,decreasing
DMRTB1,inactive
TAAR1,inactive
PSMD7,decreasing
KRT9,inactive
SAGE1,inactive
RPL3,decreasing
SAGE1,inactive
COPS8,decreasing
MRGPRD,inactive
OC90,inactive
NLRP5,inactive
CABP5,inactive
LHX5,inactive
LYZL6,inactive
LUZP4,inactive
NPSR1,inactive
VN1R2,inactive
LUZP4,inactive
PSMD6,decreasing
OR52E8,inactive
TAAR1,inactive
KRT77,inactive
TRIM42,inactive
KRT25,inactive
CABP5,inactive
LYZL6,inactive
NPHS2,inactive
VN1R2,inactive
KRT74,inactive
PSMD1,decreasing
RPS19,decreasing
FCRL4,inactive
TAAR1,inactive
PIWIL3,inactive
LYZL6,inactive
KRT9,inactive
MRGPRD,inactive
CRYGB,inactive
FAM71B,inactive
PLA2G2E,inactive
SAGE1,inactive
IL22,inactive
CYP7A1,inactive
OR12D2,inactive
LHX5,inactive
IL1F10,inactive
NPHS2,inactive
HTR3D,inactive
MAGEB3,inactive
POU4F2,inactive
TGM6,inactive
TAS2R9,inactive
RPL30,decreasing
ABCG8,inactive
COPZ1,decreasing
SAGE1,inactive
NUP133,decreasing
OR52E8,inactive
SPATA16,inactive
TPH2,inactive
NLRP5,inactive
NLRP5,inactive
KRT74,inactive
RNASE9,inactive
OR9Q2,inactive
RNASE9,inactive
NPHS2,inactive
NUP54,decreasing
RPS19,decreasing
RPL35A,decreasing
RPS7,decreasing
PSMC4,decreasing
IL22,inactive
RPS13,decreasing
OR12D2,inactive
PIWIL3,inactive
TAAR8,inactive
COPS8,decreasing
PIWIL3,inactive
RPTN,inactive
TGM6,inactive
PIWIL3,inactive
FCRL4,inactive
FAM71B,inactive
PIWIL3,inactive
DEFB129,inactive
NPHS2,inactive
PLA2G2E,inactive
KRT25,inactive
TRIM42,inactive
POLA1,decreasing
PIWIL3,inactive
KRT77,inactive
LUZP4,inactive
DEFB129,inactive
MAGEB3,inactive
KRT25,inactive
RPS3A,decreasing
PLA2G2E,inactive
RXFP2,inactive
ADH7,inactive
TAS2R13,inactive
OLIG2,inactive
TPH2,inactive
DMRTB1,inactive
PSMB2,decreasing
DMRTC2,inactive
ABCG8,inactive
DMRTC2,inactive
SPATA16,inactive
IL1F10,inactive
OLIG2,inactive
RXFP2,inactive
FAM71B,inactive
KRT25,inactive
OR9Q2,inactive
OTUD6A,inactive
TRIM42,inactive
LHX5,inactive
RPL36,decreasing
FAM71B,inactive
CYP7A1,inactive
PSMA3,decreasing
RPTN,inactive
CYP7A1,inactive
OC90,inactive
OLIG2,inactive
POU4F2,inactive
ABCG8,inactive
SAGE1,inactive
ABCG8,inactive
OTUD6A,inactive
NUP205,decreasing
MRGPRD,inactive
SPATA16,inactive
DMRTC2,inactive
DEFB129,inactive
FCRL4,inactive
OLIG2,inactive
OTUD6A,inactive
OR52E8,inactive
HTR3D,inactive
RXFP2,inactive
RNASE9,inactive
NUP93,decreasing
ADH7,inactive
RNASE9,inactive
TGM6,inactive
OR9Q2,inactive
TPH2,inactive
KRT74,inactive
OR52E8,inactive
MAGEB3,inactive
RPTN,inactive
FAM71B,inactive
LYZL6,inactive
ADH7,inactive
LHX5,inactive
DMRTB1,inactive
COPS6,decreasing
OTUD6A,inactive
VN1R2,inactive
SPATA16,inactive
OTUD6A,inactive
DMRTB1,inactive
TAAR8,inactive
VN1R2,inactive
ADH7,inactive
LUZP4,inactive
RPL9,decreasing
PLA2G2E,inactive
RXFP2,inactive
OR12D2,inactive
POLA1,decreasing
DEFB129,inactive
PIWIL3,inactive
TAAR8,inactive
TAAR1,inactive
TAAR1,inactive
TAS2R13,inactive
TAS2R9,inactive
OLIG2,inactive
POU4F2,inactive
RPTN,inactive
OC90,inactive
CABP5,inactive
HTR3D,inactive
OR9Q2,inactive
COPA,decreasing
MRGPRD,inactive
MAGEB3,inactive
MAGEB3,inactive
KRT77,inactive
KRT9,inactive
RPL27,decreasing
OTUD6A,inactive
DEFB129,inactive
PSMD6,decreasing
NLRP5,inactive
LYZL6,inactive
NLRP5,inactive
