dataset,count_type,gene,sgRNA,group,sample_id,read_count
CRISPR.RT112,sizeFactor,RPL9,RPL9-7,T0,T0_1,3416.190864576819
CRISPR.RT112,sizeFactor,RPL3,RPL3-11,T0,T0_1,5248.545139387838
CRISPR.RT112,sizeFactor,RPS3A,RPS3A-1,T0,T0_1,3872.424823689684
CRISPR.RT112,sizeFactor,RPS24,RPS24-5,T0,T0_1,4669.906947342253
CRISPR.RT112,sizeFactor,COPZ1,COPZ1-11,T0,T0_1,4445.4991869656005
CRISPR.RT112,sizeFactor,RPL30,RPL30-8,T0,T0_1,4345.350269111556
CRISPR.RT112,sizeFactor,POLA1,POLA1-3,T0,T0_1,3297.4958508238788
CRISPR.RT112,sizeFactor,RPL36,RPL36-5,T0,T0_1,5154.887355098409
CRISPR.RT112,sizeFactor,RPS19,RPS19-3,T0,T0_1,3067.5242616775563
CRISPR.RT112,sizeFactor,RPL18A,RPL18A-7,T0,T0_1,3682.3273407259903
CRISPR.RT112,sizeFactor,RPL11,RPL11-9,T0,T0_1,3521.903611200532
CRISPR.RT112,sizeFactor,COPB1,COPB1-6,T0,T0_1,6982.605105934704
CRISPR.RT112,sizeFactor,NUP93,NUP93-10,T0,T0_1,3354.061443315514
CRISPR.RT112,sizeFactor,RPL9,RPL9-6,T0,T0_1,3016.5224979555896
CRISPR.RT112,sizeFactor,PSMC1,PSMC1-4,T0,T0_1,4749.65515970751
CRISPR.RT112,sizeFactor,RPS13,RPS13-2,T0,T0_1,4881.332440589678
CRISPR.RT112,sizeFactor,RPS9,RPS9-8,T0,T0_1,3708.291874984446
CRISPR.RT112,sizeFactor,NUP98,NUP98-12,T0,T0_1,4819.203019328374
CRISPR.RT112,sizeFactor,COPS2,COPS2-4,T0,T0_1,6472.587468715037
CRISPR.RT112,sizeFactor,COPS4,COPS4-4,T0,T0_1,4712.5629679097165
CRISPR.RT112,sizeFactor,PSMC2,PSMC2-2,T0,T0_1,4085.7049265269993
CRISPR.RT112,sizeFactor,RPS8,RPS8-5,T0,T0_1,4200.69072110016
CRISPR.RT112,sizeFactor,COPS4,COPS4-7,T0,T0_1,3481.1022002229583
CRISPR.RT112,sizeFactor,RPL6,RPL6-2,T0,T0_1,10245.790679345622
CRISPR.RT112,sizeFactor,POLR2F,POLR2F-9,T0,T0_1,5557.337636104473
CRISPR.RT112,sizeFactor,RPS9,RPS9-4,T0,T0_1,3240.930258332243
CRISPR.RT112,sizeFactor,RPS13,RPS13-7,T0,T0_1,3168.6004843265446
CRISPR.RT112,sizeFactor,RPS13,RPS13-6,T0,T0_1,4405.625080782972
CRISPR.RT112,sizeFactor,PSMD7,PSMD7-5,T0,T0_1,5122.431687275339
CRISPR.RT112,sizeFactor,PSMC2,PSMC2-11,T0,T0_1,4920.279241977362
CRISPR.RT112,sizeFactor,PSMC4,PSMC4-2,T0,T0_1,4650.433546648412
CRISPR.RT112,sizeFactor,PSMC4,PSMC4-3,T0,T0_1,3328.0969090570584
CRISPR.RT112,sizeFactor,PSMB2,PSMB2-5,T0,T0_1,4155.252786147863
CRISPR.RT112,sizeFactor,PSMB2,PSMB2-18,T0,T0_1,3760.2209435013574
CRISPR.RT112,sizeFactor,POLA1,POLA1-5,T0,T0_1,5143.75969755907
CRISPR.RT112,sizeFactor,PSMD6,PSMD6-1,T0,T0_1,4228.509864948505
CRISPR.RT112,sizeFactor,RPL30,RPL30-1,T0,T0_1,3531.1766591499804
CRISPR.RT112,sizeFactor,PSMB2,PSMB2-4,T0,T0_1,3020.2317171353693
CRISPR.RT112,sizeFactor,POLR2F,POLR2F-3,T0,T0_1,3737.965628422681
CRISPR.RT112,sizeFactor,PSMD7,PSMD7-7,T0,T0_1,3040.632422624156
CRISPR.RT112,sizeFactor,PSMC2,PSMC2-7,T0,T0_1,3857.5879469705665
CRISPR.RT112,sizeFactor,RPL27,RPL27-2,T0,T0_1,3895.6074435633054
CRISPR.RT112,sizeFactor,POLR2F,POLR2F-5,T0,T0_1,3987.410618262845
CRISPR.RT112,sizeFactor,RPS13,RPS13-5,T0,T0_1,4473.318330813945
CRISPR.RT112,sizeFactor,RPS9,RPS9-2,T0,T0_1,2819.933881427282
CRISPR.RT112,sizeFactor,COPB1,COPB1-1,T0,T0_1,3721.274142113674
CRISPR.RT112,sizeFactor,RPL34,RPL34-7,T0,T0_1,3347.5703097509004
CRISPR.RT112,sizeFactor,POLR2D,POLR2D-1,T0,T0_1,3990.19253264768
CRISPR.RT112,sizeFactor,COPS2,COPS2-9,T0,T0_1,3901.1712723329742
CRISPR.RT112,sizeFactor,NUP133,NUP133-6,T0,T0_1,3421.7546933464882
CRISPR.RT112,sizeFactor,RPL35A,RPL35A-6,T0,T0_1,2790.260127989047
CRISPR.RT112,sizeFactor,PSMB2,PSMB2-15,T0,T0_1,3309.5508131581614
CRISPR.RT112,sizeFactor,PSMD7,PSMD7-1,T0,T0_1,3639.6713201585276
CRISPR.RT112,sizeFactor,COPS8,COPS8-10,T0,T0_1,4328.6587828025495
CRISPR.RT112,sizeFactor,PSMD6,PSMD6-5,T0,T0_1,3291.0047172592645
CRISPR.RT112,sizeFactor,COPS6,COPS6-8,T0,T0_1,4530.811228100526
CRISPR.RT112,sizeFactor,NUP98,NUP98-2,T0,T0_1,3496.8663817370207
CRISPR.RT112,sizeFactor,RPS3A,RPS3A-4,T0,T0_1,5137.268563994457
CRISPR.RT112,sizeFactor,COPS4,COPS4-1,T0,T0_1,3086.9976623713983
CRISPR.RT112,sizeFactor,PSMB2,PSMB2-6,T0,T0_1,5810.491845124416
CRISPR.RT112,sizeFactor,RPL5,RPL5-2,T0,T0_1,3827.9141935323314
CRISPR.RT112,sizeFactor,PSMD7,PSMD7-2,T0,T0_1,3881.6978716391327
CRISPR.RT112,sizeFactor,RPL18A,RPL18A-4,T0,T0_1,3270.604011770478
CRISPR.RT112,sizeFactor,PSMD6,PSMD6-12,T0,T0_1,3667.490464006873
CRISPR.RT112,sizeFactor,NUP205,NUP205-5,T0,T0_1,3393.935549498143
CRISPR.RT112,sizeFactor,POLA1,POLA1-4,T0,T0_1,5285.637331185632
CRISPR.RT112,sizeFactor,PSMB2,PSMB2-23,T0,T0_1,3410.62703580715
CRISPR.RT112,sizeFactor,COPB1,COPB1-5,T0,T0_1,4846.094858381774
CRISPR.RT112,sizeFactor,RPS11,RPS11-7,T0,T0_1,6250.961622723219
CRISPR.RT112,sizeFactor,PSMA3,PSMA3-11,T0,T0_1,3987.410618262845
CRISPR.RT112,sizeFactor,NUP54,NUP54-11,T0,T0_1,3918.7900634369266
CRISPR.RT112,sizeFactor,RPS19,RPS19-5,T0,T0_1,3612.7794811051267
CRISPR.RT112,sizeFactor,RPS19,RPS19-7,T0,T0_1,2433.2477819352803
CRISPR.RT112,sizeFactor,POLR2A,POLR2A-7,T0,T0_1,1993.7053091314226
CRISPR.RT112,sizeFactor,NUP98,NUP98-14,T0,T0_1,4314.749210878376
CRISPR.RT112,sizeFactor,POLR2A,POLR2A-1,T0,T0_1,4769.128560401352
CRISPR.RT112,sizeFactor,COPS4,COPS4-2,T0,T0_1,4019.866286085915
CRISPR.RT112,sizeFactor,RPL5,RPL5-3,T0,T0_1,2806.024309503109
CRISPR.RT112,sizeFactor,RPL3,RPL3-4,T0,T0_1,2764.295593730591
CRISPR.RT112,sizeFactor,PSMC2,PSMC2-3,T0,T0_1,5944.023735596474
CRISPR.RT112,sizeFactor,NUP205,NUP205-1,T0,T0_1,4228.509864948505
CRISPR.RT112,sizeFactor,RPS9,RPS9-7,T0,T0_1,3090.7068815511775
CRISPR.RT112,sizeFactor,PSMC4,PSMC4-6,T0,T0_1,2539.887833353938
CRISPR.RT112,sizeFactor,RPL11,RPL11-10,T0,T0_1,3539.522402304484
CRISPR.RT112,sizeFactor,COPZ1,COPZ1-4,T0,T0_1,2345.15382641552
CRISPR.RT112,sizeFactor,RPS19,RPS19-6,T0,T0_1,7229.268181390033
CRISPR.RT112,sizeFactor,COPB1,COPB1-2,T0,T0_1,4050.467344319095
CRISPR.RT112,sizeFactor,NUP205,NUP205-2,T0,T0_1,5752.07164304289
CRISPR.RT112,sizeFactor,RPL11,RPL11-5,T0,T0_1,2762.4409841407014
CRISPR.RT112,sizeFactor,NUP98,NUP98-1,T0,T0_1,4930.479594721755
CRISPR.RT112,sizeFactor,COPZ1,COPZ1-12,T0,T0_1,3374.462148804301
CRISPR.RT112,sizeFactor,COPB1,COPB1-7,T0,T0_1,2521.341737455041
CRISPR.RT112,sizeFactor,RPL9,RPL9-9,T0,T0_1,2544.524357328662
CRISPR.RT112,sizeFactor,RPL36,RPL36-10,T0,T0_1,2634.4729224383123
CRISPR.RT112,sizeFactor,PSMD7,PSMD7-8,T0,T0_1,3085.1430527815082
CRISPR.RT112,sizeFactor,COPS8,COPS8-4,T0,T0_1,5234.635567463665
CRISPR.RT112,sizeFactor,COPS8,COPS8-12,T0,T0_1,3110.1802822450195
CRISPR.RT112,sizeFactor,NUP133,NUP133-2,T0,T0_1,3312.332727542996
CRISPR.RT112,sizeFactor,POLA1,POLA1-7,T0,T0_1,3633.1801865939133
CRISPR.RT112,sizeFactor,RPL34,RPL34-3,T0,T0_1,4494.646341097677
CRISPR.RT112,sizeFactor,COPS6,COPS6-5,T0,T0_1,2770.786727295205
CRISPR.RT112,sizeFactor,POLR2D,POLR2D-7,T0,T0_1,2811.5881382727785
CRISPR.RT112,sizeFactor,RPL11,RPL11-1,T0,T0_1,2276.533271589601
CRISPR.RT112,sizeFactor,COPZ1,COPZ1-2,T0,T0_1,3048.0508609837148
CRISPR.RT112,sizeFactor,PSMA3,PSMA3-3,T0,T0_1,4081.068402552275
CRISPR.RT112,sizeFactor,COPA,COPA-9,T0,T0_1,3206.6199809192835
CRISPR.RT112,sizeFactor,PSMD6,PSMD6-19,T0,T0_1,5757.635471812559
CRISPR.RT112,sizeFactor,PSMD7,PSMD7-4,T0,T0_1,3231.6572103827943
CRISPR.RT112,sizeFactor,RPL30,RPL30-7,T0,T0_1,4284.148152645196
CRISPR.RT112,sizeFactor,COPA,COPA-2,T0,T0_1,3122.235244579302
CRISPR.RT112,sizeFactor,PSMC4,PSMC4-4,T0,T0_1,2491.667984016806
CRISPR.RT112,sizeFactor,PSMB2,PSMB2-21,T0,T0_1,4005.0294093667976
CRISPR.RT112,sizeFactor,NUP133,NUP133-1,T0,T0_1,4823.839543303098
CRISPR.RT112,sizeFactor,RPS8,RPS8-10,T0,T0_1,2758.731764960922
CRISPR.RT112,sizeFactor,PSMC1,PSMC1-1,T0,T0_1,4374.096717754846
CRISPR.RT112,sizeFactor,RPL36,RPL36-6,T0,T0_1,2181.9481825052267
CRISPR.RT112,sizeFactor,PSMC2,PSMC2-13,T0,T0_1,4177.508101226539
CRISPR.RT112,sizeFactor,POLR2F,POLR2F-6,T0,T0_1,6559.754119439853
CRISPR.RT112,sizeFactor,PSMD6,PSMD6-10,T0,T0_1,5171.578841407416
CRISPR.RT112,sizeFactor,RPL3,RPL3-9,T0,T0_1,5075.139142733152
CRISPR.RT112,sizeFactor,COPS2,COPS2-6,T0,T0_1,2707.7300012389555
CRISPR.RT112,sizeFactor,PSMB2,PSMB2-14,T0,T0_1,2724.421487547963
CRISPR.RT112,sizeFactor,PSMD1,PSMD1-2,T0,T0_1,5872.62126638572
CRISPR.RT112,sizeFactor,RPS11,RPS11-3,T0,T0_1,4461.263368479663
CRISPR.RT112,sizeFactor,POLR2D,POLR2D-8,T0,T0_1,2564.9250628174486
CRISPR.RT112,sizeFactor,RPL35A,RPL35A-2,T0,T0_1,4470.536416429111
CRISPR.RT112,sizeFactor,PSMD6,PSMD6-8,T0,T0_1,4040.2669915747015
CRISPR.RT112,sizeFactor,RPS13,RPS13-10,T0,T0_1,2422.120124395942
CRISPR.RT112,sizeFactor,RPL30,RPL30-4,T0,T0_1,6111.865903481492
CRISPR.RT112,sizeFactor,PSMC2,PSMC2-1,T0,T0_1,3340.1518713913415
CRISPR.RT112,sizeFactor,POLR2D,POLR2D-3,T0,T0_1,2351.644959980134
CRISPR.RT112,sizeFactor,RPS9,RPS9-3,T0,T0_1,2283.95170994916
CRISPR.RT112,sizeFactor,COPS6,COPS6-2,T0,T0_1,2605.7264737950222
CRISPR.RT112,sizeFactor,RPL18A,RPL18A-1,T0,T0_1,5621.321666955667
CRISPR.RT112,sizeFactor,PSMC2,PSMC2-9,T0,T0_1,6633.011198240496
CRISPR.RT112,sizeFactor,COPA,COPA-1,T0,T0_1,3352.2068337256246
CRISPR.RT112,sizeFactor,RPL18A,RPL18A-2,T0,T0_1,3899.3166627430846
CRISPR.RT112,sizeFactor,RPS7,RPS7-3,T0,T0_1,4706.071834345103
CRISPR.RT112,sizeFactor,PSMD1,PSMD1-18,T0,T0_1,2528.7601758145997
CRISPR.RT112,sizeFactor,COPB1,COPB1-8,T0,T0_1,3189.928494610276
CRISPR.RT112,sizeFactor,NUP98,NUP98-6,T0,T0_1,6688.649485937187
CRISPR.RT112,sizeFactor,COPA,COPA-6,T0,T0_1,1850.9003707099162
CRISPR.RT112,sizeFactor,NUP205,NUP205-7,T0,T0_1,4120.015203939958
CRISPR.RT112,sizeFactor,PSMC2,PSMC2-4,T0,T0_1,2831.988843761565
CRISPR.RT112,sizeFactor,PSMD7,PSMD7-9,T0,T0_1,3288.2228028744303
CRISPR.RT112,sizeFactor,PSMD6,PSMD6-14,T0,T0_1,3065.6696520876667
CRISPR.RT112,sizeFactor,NUP98,NUP98-7,T0,T0_1,3930.8450257712097
CRISPR.RT112,sizeFactor,COPA,COPA-4,T0,T0_1,2752.240631396308
CRISPR.RT112,sizeFactor,POLR2D,POLR2D-6,T0,T0_1,3232.5845151777394
CRISPR.RT112,sizeFactor,NUP54,NUP54-15,T0,T0_1,5173.433450997306
CRISPR.RT112,sizeFactor,PSMB3,PSMB3-6,T0,T0_1,2539.887833353938
CRISPR.RT112,sizeFactor,PSMD1,PSMD1-9,T0,T0_1,5639.867762854564
CRISPR.RT112,sizeFactor,RPS8,RPS8-6,T0,T0_1,2184.7300968900613
CRISPR.RT112,sizeFactor,RPL9,RPL9-2,T0,T0_1,3646.1624537231414
CRISPR.RT112,sizeFactor,PSMC4,PSMC4-7,T0,T0_1,3915.080844257147
CRISPR.RT112,sizeFactor,COPA,COPA-10,T0,T0_1,4636.5239747242385
CRISPR.RT112,sizeFactor,PSMD6,PSMD6-3,T0,T0_1,3831.623412712111
CRISPR.RT112,sizeFactor,RPS27,RPS27-1,T0,T0_1,3153.7636076074273
CRISPR.RT112,sizeFactor,POLA1,POLA1-1,T0,T0_1,1836.9907987857434
CRISPR.RT112,sizeFactor,PSMD11,PSMD11-8,T0,T0_1,2382.246018213314
CRISPR.RT112,sizeFactor,RPL34,RPL34-4,T0,T0_1,1667.2940213108363
CRISPR.RT112,sizeFactor,POLR2A,POLR2A-3,T0,T0_1,4246.128656052458
CRISPR.RT112,sizeFactor,RPL27,RPL27-1,T0,T0_1,2919.1554944863806
CRISPR.RT112,sizeFactor,COPA,COPA-7,T0,T0_1,2829.2069293767304
CRISPR.RT112,sizeFactor,NUP133,NUP133-3,T0,T0_1,3353.1341385205696
CRISPR.RT112,sizeFactor,PSMA3,PSMA3-1,T0,T0_1,5033.410426960633
CRISPR.RT112,sizeFactor,RPL11,RPL11-3,T0,T0_1,2256.1325661008145
CRISPR.RT112,sizeFactor,NUP54,NUP54-8,T0,T0_1,4630.032841159625
CRISPR.RT112,sizeFactor,PSMD11,PSMD11-3,T0,T0_1,2775.423251269929
CRISPR.RT112,sizeFactor,NUP205,NUP205-8,T0,T0_1,1607.946514434366
CRISPR.RT112,sizeFactor,PSMD1,PSMD1-19,T0,T0_1,3746.3113715771847
CRISPR.RT112,sizeFactor,NUP98,NUP98-5,T0,T0_1,3099.052624705681
CRISPR.RT112,sizeFactor,PSMD6,PSMD6-13,T0,T0_1,1940.8489358195663
CRISPR.RT112,sizeFactor,PSMB2,PSMB2-16,T0,T0_1,1697.8950795440162
CRISPR.RT112,sizeFactor,COPS4,COPS4-8,T0,T0_1,3002.612926031417
CRISPR.RT112,sizeFactor,COPS6,COPS6-6,T0,T0_1,2590.8895970759045
CRISPR.RT112,sizeFactor,PSMB2,PSMB2-20,T0,T0_1,1387.2479732374923
CRISPR.RT112,sizeFactor,PSMD6,PSMD6-17,T0,T0_1,2426.7566483706664
CRISPR.RT112,sizeFactor,PSMB3,PSMB3-1,T0,T0_1,5729.816327964214
CRISPR.RT112,sizeFactor,PSMD6,PSMD6-9,T0,T0_1,3796.3858305042068
CRISPR.RT112,sizeFactor,RPL36,RPL36-2,T0,T0_1,2703.0934772642313
CRISPR.RT112,sizeFactor,POLR2A,POLR2A-4,T0,T0_1,2525.0509566348205
CRISPR.RT112,sizeFactor,PSMD11,PSMD11-6,T0,T0_1,2771.71403209015
CRISPR.RT112,sizeFactor,POLR2A,POLR2A-10,T0,T0_1,4051.3946491140396
CRISPR.RT112,sizeFactor,RPL36,RPL36-7,T0,T0_1,3225.1660768181805
CRISPR.RT112,sizeFactor,RPS19,RPS19-9,T0,T0_1,1493.8880246561498
CRISPR.RT112,sizeFactor,PSMD1,PSMD1-8,T0,T0_1,2480.5403264774677
CRISPR.RT112,sizeFactor,COPS6,COPS6-7,T0,T0_1,4392.642813653743
CRISPR.RT112,sizeFactor,PSMB2,PSMB2-9,T0,T0_1,4432.516919836372
CRISPR.RT112,sizeFactor,COPB1,COPB1-4,T0,T0_1,2798.6058711435503
CRISPR.RT112,sizeFactor,NUP93,NUP93-8,T0,T0_1,4955.516824185266
CRISPR.RT112,sizeFactor,RPS8,RPS8-2,T0,T0_1,2043.7797680584445
CRISPR.RT112,sizeFactor,RPS7,RPS7-1,T0,T0_1,4030.0666388303084
CRISPR.RT112,sizeFactor,POLR2F,POLR2F-8,T0,T0_1,6926.039513443068
CRISPR.RT112,sizeFactor,PSMD6,PSMD6-6,T0,T0_1,3900.2439675380297
CRISPR.RT112,sizeFactor,NUP93,NUP93-11,T0,T0_1,1594.964247305138
CRISPR.RT112,sizeFactor,PSMD7,PSMD7-10,T0,T0_1,2377.60949423859
CRISPR.RT112,sizeFactor,PSMA3,PSMA3-2,T0,T0_1,1845.3365419402471
CRISPR.RT112,sizeFactor,RPS3A,RPS3A-2,T0,T0_1,2972.939172593182
CRISPR.RT112,sizeFactor,RPL18A,RPL18A-3,T0,T0_1,4834.039896047491
CRISPR.RT112,sizeFactor,PSMA3,PSMA3-10,T0,T0_1,3231.6572103827943
CRISPR.RT112,sizeFactor,RPS3A,RPS3A-5,T0,T0_1,2939.556199975167
CRISPR.RT112,sizeFactor,RPS27,RPS27-3,T0,T0_1,5518.390834716789
CRISPR.RT112,sizeFactor,COPS2,COPS2-3,T0,T0_1,6012.644290422393
CRISPR.RT112,sizeFactor,COPB1,COPB1-10,T0,T0_1,1844.409237145302
CRISPR.RT112,sizeFactor,RPL5,RPL5-8,T0,T0_1,4025.430114855584
CRISPR.RT112,sizeFactor,PSMC2,PSMC2-12,T0,T0_1,4376.878632139681
CRISPR.RT112,sizeFactor,COPS4,COPS4-3,T0,T0_1,2849.607634865517
CRISPR.RT112,sizeFactor,PSMD11,PSMD11-1,T0,T0_1,2050.2709016230583
CRISPR.RT112,sizeFactor,NUP93,NUP93-9,T0,T0_1,2336.8080832610162
CRISPR.RT112,sizeFactor,COPS4,COPS4-10,T0,T0_1,2542.6697477387725
CRISPR.RT112,sizeFactor,PSMD1,PSMD1-7,T0,T0_1,3657.2901112624795
CRISPR.RT112,sizeFactor,PSMD11,PSMD11-4,T0,T0_1,1609.8011240242556
CRISPR.RT112,sizeFactor,PSMD6,PSMD6-16,T0,T0_1,2212.5492407384068
CRISPR.RT112,sizeFactor,NUP133,NUP133-5,T0,T0_1,2372.0456654689206
CRISPR.RT112,sizeFactor,RPL3,RPL3-10,T0,T0_1,1248.152253995765
CRISPR.RT112,sizeFactor,COPS8,COPS8-2,T0,T0_1,2191.221230454675
CRISPR.RT112,sizeFactor,RPS27,RPS27-5,T0,T0_1,3763.002857886192
CRISPR.RT112,sizeFactor,RPS13,RPS13-1,T0,T0_1,1537.4713500185576
CRISPR.RT112,sizeFactor,RPL30,RPL30-5,T0,T0_1,1899.1202200470482
CRISPR.RT112,sizeFactor,NUP93,NUP93-6,T0,T0_1,1143.3668121669973
CRISPR.RT112,sizeFactor,COPS6,COPS6-1,T0,T0_1,3818.641145582883
CRISPR.RT112,sizeFactor,COPZ1,COPZ1-3,T0,T0_1,1058.9820758270162
CRISPR.RT112,sizeFactor,COPS2,COPS2-10,T0,T0_1,3850.169508611008
CRISPR.RT112,sizeFactor,RPL11,RPL11-4,T0,T0_1,5752.998947837836
CRISPR.RT112,sizeFactor,RPL3,RPL3-2,T0,T0_1,4735.745587783337
CRISPR.RT112,sizeFactor,PSMD11,PSMD11-10,T0,T0_1,2640.0367512079815
CRISPR.RT112,sizeFactor,PSMC4,PSMC4-9,T0,T0_1,2971.0845630032923
CRISPR.RT112,sizeFactor,NUP98,NUP98-8,T0,T0_1,4734.818282988393
