Gene	sgRNA	eff
RPL30	RPL30-3	1
RPL30	RPL30-10	1
RPL30	RPL30-6	1
POLA1	POLA1-3	1
POLA1	POLA1-5	1
POLA1	POLA1-4	1
POLA1	POLA1-7	1
POLA1	POLA1-1	1
POLA1	POLA1-2	1
POLA1	POLA1-8	1
POLA1	POLA1-9	1
POLA1	POLA1-10	1
POLA1	POLA1-6	1
NUP98	NUP98-12	1
NUP98	NUP98-2	1
NUP98	NUP98-14	1
NUP98	NUP98-1	1
NUP98	NUP98-6	1
NUP98	NUP98-7	1
NUP98	NUP98-5	1
NUP98	NUP98-8	1
NUP98	NUP98-3	1
NUP98	NUP98-13	1
NUP98	NUP98-16	1
NUP98	NUP98-4	1
NUP98	NUP98-10	1
NUP98	NUP98-9	1
NUP98	NUP98-11	1
NUP98	NUP98-15	1
COPS2	COPS2-4	1
COPS2	COPS2-9	1
COPS2	COPS2-6	1
COPS2	COPS2-3	1
COPS2	COPS2-10	1
COPS2	COPS2-5	1
COPS2	COPS2-1	1
COPS2	COPS2-8	1
COPS2	COPS2-7	1
COPS2	COPS2-2	1
RPL6	RPL6-2	1
RPL6	RPL6-1	1
PSMD7	PSMD7-5	1
PSMD7	PSMD7-7	1
PSMD7	PSMD7-1	1
PSMD7	PSMD7-2	1
PSMD7	PSMD7-8	1
PSMD7	PSMD7-4	1
PSMD7	PSMD7-9	1
PSMD7	PSMD7-10	1
PSMD7	PSMD7-3	1
PSMD7	PSMD7-6	1
COPS8	COPS8-10	1
COPS8	COPS8-4	1
COPS8	COPS8-12	1
COPS8	COPS8-2	1
COPS8	COPS8-9	1
COPS8	COPS8-6	1
COPS8	COPS8-15	1
COPS8	COPS8-14	1
COPS8	COPS8-1	1
COPS8	COPS8-16	1
COPS8	COPS8-5	1
COPS8	COPS8-13	1
COPS8	COPS8-11	1
COPS8	COPS8-8	1
COPS8	COPS8-3	1
COPS8	COPS8-7	1
COPS6	COPS6-8	1
COPS6	COPS6-5	1
COPS6	COPS6-2	1
COPS6	COPS6-6	1
COPS6	COPS6-7	1
COPS6	COPS6-1	1
COPS6	COPS6-10	1
COPS6	COPS6-4	1
COPS6	COPS6-3	1
COPS6	COPS6-9	1
NUP205	NUP205-5	1
NUP205	NUP205-1	1
NUP205	NUP205-2	1
NUP205	NUP205-7	1
NUP205	NUP205-8	1
NUP205	NUP205-10	1
NUP205	NUP205-9	1
NUP205	NUP205-4	1
NUP205	NUP205-3	1
NUP205	NUP205-6	1
PSMD1	PSMD1-2	1
PSMD1	PSMD1-18	1
PSMD1	PSMD1-9	1
PSMD1	PSMD1-19	1
PSMD1	PSMD1-8	1
PSMD1	PSMD1-7	1
PSMD1	PSMD1-13	1
PSMD1	PSMD1-21	1
PSMD1	PSMD1-16	1
PSMD1	PSMD1-14	1
PSMD1	PSMD1-17	1
PSMD1	PSMD1-15	1
RPS7	RPS7-3	1
RPS7	RPS7-1	1
RPS7	RPS7-6	1
RPS7	RPS7-4	1
RPS7	RPS7-7	1
RPS7	RPS7-8	1
RPS7	RPS7-2	1
RPS7	RPS7-5	1
RPS27	RPS27-1	1
RPS27	RPS27-3	1
RPS27	RPS27-5	1
RPS27	RPS27-2	1
RPS27	RPS27-4	1
LYZL6	LYZL6-6	1
LYZL6	LYZL6-2	1
LYZL6	LYZL6-4	1
LYZL6	LYZL6-8	1
LYZL6	LYZL6-5	1
LYZL6	LYZL6-7	1
LYZL6	LYZL6-9	1
LYZL6	LYZL6-3	1
LYZL6	LYZL6-1	1
LYZL6	LYZL6-10	1
CRYGB	CRYGB-8	1
CRYGB	CRYGB-6	1
CRYGB	CRYGB-1	1
CRYGB	CRYGB-2	1
CRYGB	CRYGB-10	1
CRYGB	CRYGB-3	1
CRYGB	CRYGB-4	1
CRYGB	CRYGB-5	1
CRYGB	CRYGB-7	1
CRYGB	CRYGB-9	1
MRGPRD	MRGPRD-8	1
MRGPRD	MRGPRD-10	1
MRGPRD	MRGPRD-9	1
MRGPRD	MRGPRD-2	1
MRGPRD	MRGPRD-1	1
MRGPRD	MRGPRD-6	1
MRGPRD	MRGPRD-7	1
MRGPRD	MRGPRD-3	1
MRGPRD	MRGPRD-5	1
MRGPRD	MRGPRD-4	1
IL1F10	IL1F10-10	1
IL1F10	IL1F10-1	1
IL1F10	IL1F10-3	1
IL1F10	IL1F10-4	1
IL1F10	IL1F10-7	1
IL1F10	IL1F10-6	1
IL1F10	IL1F10-9	1
IL1F10	IL1F10-2	1
IL1F10	IL1F10-8	1
IL1F10	IL1F10-5	1
OTUD6A	OTUD6A-8	1
OTUD6A	OTUD6A-10	1
OTUD6A	OTUD6A-3	1
OTUD6A	OTUD6A-5	1
OTUD6A	OTUD6A-6	1
OTUD6A	OTUD6A-1	1
OTUD6A	OTUD6A-2	1
OTUD6A	OTUD6A-9	1
OTUD6A	OTUD6A-4	1
OTUD6A	OTUD6A-7	1
KRT25	KRT25-2	1
KRT25	KRT25-3	1
KRT25	KRT25-4	1
KRT25	KRT25-5	1
KRT25	KRT25-6	1
KRT25	KRT25-9	1
KRT25	KRT25-1	1
KRT25	KRT25-10	1
KRT25	KRT25-7	1
KRT25	KRT25-8	1
PIWIL3	PIWIL3-5	1
PIWIL3	PIWIL3-9	1
PIWIL3	PIWIL3-6	1
PIWIL3	PIWIL3-2	1
PIWIL3	PIWIL3-10	1
PIWIL3	PIWIL3-1	1
PIWIL3	PIWIL3-8	1
PIWIL3	PIWIL3-3	1
PIWIL3	PIWIL3-4	1
PIWIL3	PIWIL3-7	1
TPH2	TPH2-8	1
TPH2	TPH2-3	1
TPH2	TPH2-5	1
TPH2	TPH2-4	1
TPH2	TPH2-1	1
TPH2	TPH2-10	1
TPH2	TPH2-6	1
TPH2	TPH2-2	1
TPH2	TPH2-7	1
TPH2	TPH2-9	1
RNASE9	RNASE9-4	1
RNASE9	RNASE9-7	1
RNASE9	RNASE9-11	1
RNASE9	RNASE9-1	1
RNASE9	RNASE9-9	1
RNASE9	RNASE9-8	1
RNASE9	RNASE9-5	1
RNASE9	RNASE9-3	1
RNASE9	RNASE9-10	1
RNASE9	RNASE9-2	1
RNASE9	RNASE9-6	1
NPSR1	NPSR1-10	1
NPSR1	NPSR1-7	1
NPSR1	NPSR1-5	1
NPSR1	NPSR1-1	1
NPSR1	NPSR1-2	1
NPSR1	NPSR1-3	1
NPSR1	NPSR1-4	1
NPSR1	NPSR1-6	1
NPSR1	NPSR1-8	1
NPSR1	NPSR1-9	1
DMRTB1	DMRTB1-10	1
DMRTB1	DMRTB1-1	1
DMRTB1	DMRTB1-8	1
DMRTB1	DMRTB1-4	1
DMRTB1	DMRTB1-6	1
DMRTB1	DMRTB1-7	1
DMRTB1	DMRTB1-9	1
DMRTB1	DMRTB1-3	1
DMRTB1	DMRTB1-5	1
DMRTB1	DMRTB1-2	1
RPTN	RPTN-4	1
RPTN	RPTN-9	1
RPTN	RPTN-10	1
RPTN	RPTN-2	1
RPTN	RPTN-5	1
RPTN	RPTN-7	1
RPTN	RPTN-3	1
RPTN	RPTN-1	1
RPTN	RPTN-6	1
RPTN	RPTN-8	1
HTR3D	HTR3D-5	1
HTR3D	HTR3D-7	1
HTR3D	HTR3D-3	1
HTR3D	HTR3D-8	1
HTR3D	HTR3D-1	1
HTR3D	HTR3D-2	1
HTR3D	HTR3D-4	1
HTR3D	HTR3D-9	1
HTR3D	HTR3D-10	1
HTR3D	HTR3D-6	1
DMRTC2	DMRTC2-3	1
DMRTC2	DMRTC2-1	1
DMRTC2	DMRTC2-9	1
DMRTC2	DMRTC2-7	1
DMRTC2	DMRTC2-5	1
DMRTC2	DMRTC2-6	1
DMRTC2	DMRTC2-8	1
DMRTC2	DMRTC2-2	1
DMRTC2	DMRTC2-10	1
DMRTC2	DMRTC2-4	1
OLIG2	OLIG2-5	1
OLIG2	OLIG2-6	1
OLIG2	OLIG2-2	1
OLIG2	OLIG2-9	1
OLIG2	OLIG2-1	1
OLIG2	OLIG2-10	1
OLIG2	OLIG2-3	1
OLIG2	OLIG2-4	1
OLIG2	OLIG2-7	1
OLIG2	OLIG2-8	1
IL22	IL22-2	1
IL22	IL22-9	1
IL22	IL22-7	1
IL22	IL22-3	1
IL22	IL22-8	1
IL22	IL22-10	1
IL22	IL22-6	1
IL22	IL22-1	1
IL22	IL22-4	1
IL22	IL22-5	1
OR9Q2	OR9Q2-8	1
OR9Q2	OR9Q2-6	1
OR9Q2	OR9Q2-7	1
OR9Q2	OR9Q2-4	1
OR9Q2	OR9Q2-9	1
OR9Q2	OR9Q2-2	1
OR9Q2	OR9Q2-1	1
OR9Q2	OR9Q2-3	1
OR9Q2	OR9Q2-10	1
OR9Q2	OR9Q2-5	1
RXFP2	RXFP2-6	1
RXFP2	RXFP2-2	1
RXFP2	RXFP2-7	1
RXFP2	RXFP2-10	1
RXFP2	RXFP2-1	1
RXFP2	RXFP2-3	1
RXFP2	RXFP2-4	1
RXFP2	RXFP2-5	1
RXFP2	RXFP2-8	1
RXFP2	RXFP2-9	1
LUZP4	LUZP4-1	1
LUZP4	LUZP4-9	1
LUZP4	LUZP4-5	1
LUZP4	LUZP4-7	1
LUZP4	LUZP4-10	1
LUZP4	LUZP4-2	1
LUZP4	LUZP4-3	1
LUZP4	LUZP4-4	1
LUZP4	LUZP4-6	1
LUZP4	LUZP4-8	1
KRT74	KRT74-7	1
KRT74	KRT74-10	1
KRT74	KRT74-6	1
KRT74	KRT74-9	1
KRT74	KRT74-4	1
KRT74	KRT74-8	1
KRT74	KRT74-2	1
KRT74	KRT74-5	1
KRT74	KRT74-1	1
KRT74	KRT74-3	1
OC90	OC90-1	1
OC90	OC90-6	1
OC90	OC90-8	1
OC90	OC90-7	1
OC90	OC90-9	1
OC90	OC90-4	1
OC90	OC90-2	1
OC90	OC90-3	1
OC90	OC90-5	1
OC90	OC90-10	1
NPHS2	NPHS2-5	1
NPHS2	NPHS2-2	1
NPHS2	NPHS2-9	1
NPHS2	NPHS2-3	1
NPHS2	NPHS2-4	1
NPHS2	NPHS2-10	1
NPHS2	NPHS2-1	1
NPHS2	NPHS2-6	1
NPHS2	NPHS2-7	1
NPHS2	NPHS2-8	1
FCRL4	FCRL4-10	1
FCRL4	FCRL4-9	1
FCRL4	FCRL4-6	1
FCRL4	FCRL4-3	1
FCRL4	FCRL4-2	1
FCRL4	FCRL4-1	1
FCRL4	FCRL4-7	1
FCRL4	FCRL4-5	1
FCRL4	FCRL4-8	1
FCRL4	FCRL4-4	1
LHX5	LHX5-3	1
LHX5	LHX5-6	1
LHX5	LHX5-8	1
LHX5	LHX5-1	1
LHX5	LHX5-5	1
LHX5	LHX5-7	1
LHX5	LHX5-9	1
LHX5	LHX5-4	1
LHX5	LHX5-10	1
LHX5	LHX5-2	1
FAM71B	FAM71B-9	1
FAM71B	FAM71B-7	1
FAM71B	FAM71B-4	1
FAM71B	FAM71B-1	1
FAM71B	FAM71B-10	1
FAM71B	FAM71B-2	1
FAM71B	FAM71B-3	1
FAM71B	FAM71B-5	1
FAM71B	FAM71B-6	1
FAM71B	FAM71B-8	1
CYP7A1	CYP7A1-6	1
CYP7A1	CYP7A1-4	1
CYP7A1	CYP7A1-8	1
CYP7A1	CYP7A1-10	1
CYP7A1	CYP7A1-1	1
CYP7A1	CYP7A1-5	1
CYP7A1	CYP7A1-3	1
CYP7A1	CYP7A1-2	1
CYP7A1	CYP7A1-7	1
CYP7A1	CYP7A1-9	1
SAGE1	SAGE1-9	1
SAGE1	SAGE1-7	1
SAGE1	SAGE1-3	1
SAGE1	SAGE1-1	1
SAGE1	SAGE1-10	1
SAGE1	SAGE1-2	1
SAGE1	SAGE1-4	1
SAGE1	SAGE1-5	1
SAGE1	SAGE1-6	1
SAGE1	SAGE1-8	1
SPATA16	SPATA16-1	1
SPATA16	SPATA16-3	1
SPATA16	SPATA16-4	1
SPATA16	SPATA16-10	1
SPATA16	SPATA16-2	1
SPATA16	SPATA16-5	1
SPATA16	SPATA16-6	1
SPATA16	SPATA16-7	1
SPATA16	SPATA16-8	1
SPATA16	SPATA16-9	1
TAAR8	TAAR8-6	1
TAAR8	TAAR8-4	1
TAAR8	TAAR8-3	1
TAAR8	TAAR8-8	1
TAAR8	TAAR8-1	1
TAAR8	TAAR8-10	1
TAAR8	TAAR8-2	1
TAAR8	TAAR8-5	1
TAAR8	TAAR8-7	1
TAAR8	TAAR8-9	1
CABP5	CABP5-7	1
CABP5	CABP5-9	1
CABP5	CABP5-5	1
CABP5	CABP5-3	1
CABP5	CABP5-2	1
CABP5	CABP5-1	1
CABP5	CABP5-10	1
CABP5	CABP5-4	1
CABP5	CABP5-6	1
CABP5	CABP5-8	1
ADH7	ADH7-8	1
ADH7	ADH7-1	1
ADH7	ADH7-4	1
ADH7	ADH7-2	1
ADH7	ADH7-6	1
ADH7	ADH7-3	1
ADH7	ADH7-5	1
ADH7	ADH7-10	1
ADH7	ADH7-7	1
ADH7	ADH7-9	1
TGM6	TGM6-4	1
TGM6	TGM6-11	1
TGM6	TGM6-9	1
TGM6	TGM6-10	1
TGM6	TGM6-14	1
TGM6	TGM6-6	1
TGM6	TGM6-1	1
TGM6	TGM6-12	1
TGM6	TGM6-13	1
TGM6	TGM6-2	1
TGM6	TGM6-3	1
TGM6	TGM6-5	1
TGM6	TGM6-7	1
TGM6	TGM6-8	1
TRIM42	TRIM42-3	1
TRIM42	TRIM42-7	1
TRIM42	TRIM42-8	1
TRIM42	TRIM42-2	1
TRIM42	TRIM42-1	1
TRIM42	TRIM42-10	1
TRIM42	TRIM42-4	1
TRIM42	TRIM42-5	1
TRIM42	TRIM42-6	1
TRIM42	TRIM42-9	1
KRT9	KRT9-1	1
KRT9	KRT9-2	1
KRT9	KRT9-5	1
KRT9	KRT9-4	1
KRT9	KRT9-9	1
KRT9	KRT9-8	1
KRT9	KRT9-6	1
KRT9	KRT9-10	1
KRT9	KRT9-3	1
KRT9	KRT9-7	1
TAS2R13	TAS2R13-4	1
TAS2R13	TAS2R13-6	1
TAS2R13	TAS2R13-1	1
TAS2R13	TAS2R13-5	1
TAS2R13	TAS2R13-3	1
TAS2R13	TAS2R13-10	1
TAS2R13	TAS2R13-2	1
TAS2R13	TAS2R13-7	1
TAS2R13	TAS2R13-8	1
TAS2R13	TAS2R13-9	1
NLRP5	NLRP5-9	1
NLRP5	NLRP5-3	1
NLRP5	NLRP5-2	1
NLRP5	NLRP5-1	1
NLRP5	NLRP5-10	1
NLRP5	NLRP5-4	1
NLRP5	NLRP5-5	1
NLRP5	NLRP5-6	1
NLRP5	NLRP5-7	1
NLRP5	NLRP5-8	1
MAGEB3	MAGEB3-3	1
MAGEB3	MAGEB3-6	1
MAGEB3	MAGEB3-9	1
MAGEB3	MAGEB3-7	1
MAGEB3	MAGEB3-1	1
MAGEB3	MAGEB3-10	1
MAGEB3	MAGEB3-2	1
MAGEB3	MAGEB3-4	1
MAGEB3	MAGEB3-5	1
MAGEB3	MAGEB3-8	1
VN1R2	VN1R2-3	1
VN1R2	VN1R2-1	1
VN1R2	VN1R2-7	1
VN1R2	VN1R2-5	1
VN1R2	VN1R2-10	1
VN1R2	VN1R2-2	1
VN1R2	VN1R2-4	1
VN1R2	VN1R2-6	1
VN1R2	VN1R2-8	1
VN1R2	VN1R2-9	1
ABCG8	ABCG8-8	1
ABCG8	ABCG8-9	1
ABCG8	ABCG8-10	1
ABCG8	ABCG8-5	1
ABCG8	ABCG8-1	1
ABCG8	ABCG8-2	1
ABCG8	ABCG8-3	1
ABCG8	ABCG8-4	1
ABCG8	ABCG8-6	1
ABCG8	ABCG8-7	1
OR12D2	OR12D2-6	1
OR12D2	OR12D2-7	1
OR12D2	OR12D2-2	1
OR12D2	OR12D2-1	1
OR12D2	OR12D2-10	1
OR12D2	OR12D2-3	1
OR12D2	OR12D2-4	1
OR12D2	OR12D2-5	1
OR12D2	OR12D2-8	1
OR12D2	OR12D2-9	1
POU4F2	POU4F2-1	1
POU4F2	POU4F2-9	1
POU4F2	POU4F2-10	1
POU4F2	POU4F2-2	1
POU4F2	POU4F2-3	1
POU4F2	POU4F2-4	1
POU4F2	POU4F2-5	1
POU4F2	POU4F2-6	1
POU4F2	POU4F2-7	1
POU4F2	POU4F2-8	1
DEFB129	DEFB129-10	1
DEFB129	DEFB129-9	1
DEFB129	DEFB129-7	1
DEFB129	DEFB129-6	1
DEFB129	DEFB129-1	1
DEFB129	DEFB129-2	1
DEFB129	DEFB129-3	1
DEFB129	DEFB129-4	1
DEFB129	DEFB129-5	1
DEFB129	DEFB129-8	1
KRT77	KRT77-2	1
KRT77	KRT77-3	1
KRT77	KRT77-5	1
KRT77	KRT77-8	1
KRT77	KRT77-1	1
KRT77	KRT77-4	1
