Gene	sgRNA	T1|beta	T1|z	T1|p-value	T1|fdr	T1|wald-p-value	T1|wald-fdr
PIWIL3	10	0.098012	4.634	0.021505	0.036364	3.5871e-06	4.17e-06
TPH2	10	0.11771	4.9521	0.021505	0.036364	7.3406e-07	8.9826e-07
RNASE9	11	0.12672	4.9164	0.010753	0.025641	8.8141e-07	1.0646e-06
NPSR1	10	0.16766	5.2179	0.010753	0.025641	1.8098e-07	2.5502e-07
DMRTB1	10	0.088381	3.9719	0.032258	0.047619	7.1313e-05	7.6231e-05
RPTN	10	0.13228	4.8602	0.021505	0.036364	1.1724e-06	1.3979e-06
HTR3D	10	0.096451	4.1015	0.032258	0.047619	4.105e-05	4.4391e-05
DMRTC2	10	0.069595	4.1779	0.043011	0.0625	2.9422e-05	3.2191e-05
OLIG2	10	0.17289	5.2829	0.010753	0.025641	1.2713e-07	1.8474e-07
IL22	10	0.15506	5.0858	0.010753	0.025641	3.6607e-07	4.795e-07
OR9Q2	10	0.10929	4.2896	0.021505	0.036364	1.7901e-05	1.9819e-05
RXFP2	10	0.16484	5.1543	0.010753	0.025641	2.5463e-07	3.4824e-07
LUZP4	10	0.15908	5.0785	0.010753	0.025641	3.8033e-07	4.8454e-07
KRT74	10	0.11747	5.0112	0.021505	0.036364	5.4089e-07	6.707e-07
OC90	10	0.11141	3.666	0.021505	0.036364	0.00024633	0.0002574
NPHS2	10	0.16108	5.2188	0.010753	0.025641	1.8005e-07	2.5502e-07
FCRL4	10	0.13425	5.0788	0.021505	0.036364	3.7979e-07	4.8454e-07
LHX5	10	0.18534	5.151	0.010753	0.025641	2.5915e-07	3.4929e-07
FAM71B	10	0.21556	5.6679	0	0	1.4455e-08	2.4005e-08
CYP7A1	10	0.15068	5.1409	0.021505	0.036364	2.7336e-07	3.6318e-07
SAGE1	10	0.19804	5.7977	0.010753	0.025641	6.7236e-09	1.3027e-08
SPATA16	10	0.16048	5.0322	0.010753	0.025641	4.8498e-07	6.095e-07
TAAR8	10	0.19783	5.9248	0.010753	0.025641	3.1276e-09	6.9254e-09
CABP5	10	0.17122	5.5058	0.010753	0.025641	3.6753e-08	5.7933e-08
ADH7	10	0.19225	5.4796	0.010753	0.025641	4.2635e-08	6.6085e-08
TGM6	14	0.2054	6.8949	0	0	5.391e-12	1.4325e-11
TRIM42	10	0.18812	5.4176	0.010753	0.025641	6.04e-08	9.2086e-08
KRT9	10	0.13581	5.3532	0.021505	0.036364	8.6408e-08	1.2961e-07
TAS2R13	10	0.18352	5.8228	0.010753	0.025641	5.7877e-09	1.1452e-08
NLRP5	10	0.24098	5.7533	0	0	8.753e-09	1.5961e-08
MAGEB3	10	0.21027	5.5791	0	0	2.4183e-08	3.8776e-08
VN1R2	10	0.1989	5.8945	0.010753	0.025641	3.7571e-09	7.9412e-09
ABCG8	10	0.16282	5.8981	0.010753	0.025641	3.6769e-09	7.9412e-09
OR12D2	10	0.1746	5.6695	0.010753	0.025641	1.4323e-08	2.4005e-08
POU4F2	10	0.22738	5.7647	0	0	8.1782e-09	1.5211e-08
DEFB129	10	0.21599	5.7119	0	0	1.1175e-08	1.9609e-08
KRT77	10	0.18453	5.733	0.010753	0.025641	9.8647e-09	1.7643e-08
PLA2G2E	10	0.18979	5.8508	0.010753	0.025641	4.8911e-09	9.8886e-09
TAAR1	10	0.21768	5.8608	0	0	4.6067e-09	9.5205e-09
TAS2R9	10	0.20611	5.789	0.010753	0.025641	7.0821e-09	1.3442e-08
OR52E8	10	0.2658	5.9406	0	0	2.8398e-09	6.4416e-09
