gene,class
RPS24,decreasing
COPA,decreasing
RPL3,decreasing
RPL35A,decreasing
COPZ1,decreasing
RPL9,decreasing
POLR2A,decreasing
RPL34,decreasing
RPL18A,decreasing
RPS24,decreasing
POLR2F,decreasing
PSMD6,decreasing
RPS24,decreasing
RPS19,decreasing
RPS7,decreasing
NUP54,decreasing
NUP93,decreasing
PSMD7,decreasing
COPS4,decreasing
PSMC2,decreasing
PSMB3,decreasing
RPS8,decreasing
NUP54,decreasing
RPL5,decreasing
RPS27,decreasing
PSMD6,decreasing
RPS11,decreasing
POLR2D,decreasing
NUP98,decreasing
RPL34,decreasing
COPA,decreasing
POLA1,decreasing
RPS24,decreasing
RPS8,decreasing
RPS7,decreasing
RPL18A,decreasing
NUP54,decreasing
RPL35A,decreasing
RPS19,decreasing
POLA1,decreasing
NUP54,decreasing
PSMD1,decreasing
RPL3,decreasing
PSMC1,decreasing
RPTN,inactive
RPS24,decreasing
POLR2F,decreasing
NUP133,decreasing
RPL3,decreasing
POLR2A,decreasing
RPS19,decreasing
DMRTC2,inactive
RPL34,decreasing
RPTN,inactive
NUP98,decreasing
RPS9,decreasing
NUP133,decreasing
RPL34,decreasing
COPS2,decreasing
PSMD7,decreasing
PSMB3,decreasing
RPS19,decreasing
POLR2F,decreasing
NUP98,decreasing
POLR2F,decreasing
POLR2D,decreasing
NUP54,decreasing
CRYGB,inactive
RPS7,decreasing
RPS7,decreasing
NUP205,decreasing
NUP54,decreasing
POLA1,decreasing
RPL3,decreasing
RPTN,inactive
NUP54,decreasing
RPS19,decreasing
RPTN,inactive
PSMD7,decreasing
RPL6,decreasing
COPA,decreasing
RPL6,decreasing
COPA,decreasing
RPS24,decreasing
RPS7,decreasing
RPS19,decreasing
POU4F2,inactive
RPS9,decreasing
IL1F10,inactive
RPL9,decreasing
RPS8,decreasing
RPL9,decreasing
TAS2R9,inactive
COPZ1,decreasing
CRYGB,inactive
CABP5,inactive
POLA1,decreasing
NPSR1,inactive
PSMC2,decreasing
RPS19,decreasing
COPA,decreasing
PSMD6,decreasing
RPS24,decreasing
NLRP5,inactive
RPL35A,decreasing
VN1R2,inactive
RPS8,decreasing
TAAR8,inactive
NUP54,decreasing
VN1R2,inactive
TPH2,inactive
RPL18A,decreasing
COPS2,decreasing
RXFP2,inactive
TAAR1,inactive
COPS8,decreasing
PSMC1,decreasing
ADH7,inactive
RPL11,decreasing
PLA2G2E,inactive
POLA1,decreasing
VN1R2,inactive
PSMD11,decreasing
RPS19,decreasing
NUP54,decreasing
NLRP5,inactive
ADH7,inactive
COPZ1,decreasing
PSMB2,decreasing
RPS7,decreasing
POU4F2,inactive
MRGPRD,inactive
LUZP4,inactive
RPL11,decreasing
CYP7A1,inactive
FCRL4,inactive
OTUD6A,inactive
CYP7A1,inactive
TRIM42,inactive
RPS8,decreasing
HTR3D,inactive
PIWIL3,inactive
NPHS2,inactive
COPS2,decreasing
RPL35A,decreasing
IL1F10,inactive
KRT77,inactive
RPS11,decreasing
RPL9,decreasing
COPS8,decreasing
OC90,inactive
IL1F10,inactive
COPS6,decreasing
POLR2F,decreasing
MAGEB3,inactive
RPS13,decreasing
RPS19,decreasing
PLA2G2E,inactive
IL22,inactive
COPZ1,decreasing
PIWIL3,inactive
RXFP2,inactive
RPL11,decreasing
RPS11,decreasing
NPSR1,inactive
RPS11,decreasing
PSMD11,decreasing
IL1F10,inactive
TPH2,inactive
TAAR1,inactive
PSMD1,decreasing
SPATA16,inactive
OLIG2,inactive
RPL36,decreasing
RPL35A,decreasing
DEFB129,inactive
DMRTC2,inactive
LHX5,inactive
RPL9,decreasing
COPS8,decreasing
RPS9,decreasing
NUP205,decreasing
IL1F10,inactive
PLA2G2E,inactive
COPA,decreasing
IL22,inactive
TAS2R9,inactive
TAAR1,inactive
PIWIL3,inactive
NPSR1,inactive
PSMC4,decreasing
RPL3,decreasing
SAGE1,inactive
RPL3,decreasing
PSMC4,decreasing
VN1R2,inactive
RPL5,decreasing
PSMB3,decreasing
MAGEB3,inactive
OTUD6A,inactive
RPS24,decreasing
PSMC4,decreasing
RPS19,decreasing
TGM6,inactive
SPATA16,inactive
FCRL4,inactive
CYP7A1,inactive
RPS11,decreasing
RPS9,decreasing
NPHS2,inactive
RPL9,decreasing
DMRTB1,inactive
RPS24,decreasing
OLIG2,inactive
DEFB129,inactive
RPL18A,decreasing
TAAR8,inactive
TGM6,inactive
LUZP4,inactive
NUP205,decreasing
RXFP2,inactive
PSMB2,decreasing
IL22,inactive
VN1R2,inactive
OLIG2,inactive
MRGPRD,inactive
PSMC1,decreasing
RPTN,inactive
RPS19,decreasing
RPS3A,decreasing
PSMC1,decreasing
NUP133,decreasing
OTUD6A,inactive
NUP54,decreasing
FCRL4,inactive
OLIG2,inactive
TPH2,inactive
CYP7A1,inactive
CYP7A1,inactive
CRYGB,inactive
COPS4,decreasing
RPL6,decreasing
PSMC2,decreasing
PSMB2,decreasing
MAGEB3,inactive
OR12D2,inactive
PSMC2,decreasing
COPS8,decreasing
RPL9,decreasing
PSMC1,decreasing
COPZ1,decreasing
RPL36,decreasing
TAS2R13,inactive
PSMB2,decreasing
PSMD6,decreasing
KRT25,inactive
COPS8,decreasing
KRT74,inactive
RXFP2,inactive
RPS13,decreasing
PSMC1,decreasing
RPS9,decreasing
RPS7,decreasing
CYP7A1,inactive
CYP7A1,inactive
OLIG2,inactive
SAGE1,inactive
PIWIL3,inactive
RPL30,decreasing
OLIG2,inactive
NPSR1,inactive
COPB1,decreasing
RPL35A,decreasing
RPL9,decreasing
COPS8,decreasing
KRT77,inactive
OC90,inactive
OTUD6A,inactive
TAAR1,inactive
RPS9,decreasing
DEFB129,inactive
PSMC1,decreasing
ABCG8,inactive
PSMC2,decreasing
SAGE1,inactive
NUP133,decreasing
MAGEB3,inactive
TPH2,inactive
NPHS2,inactive
RPL27,decreasing
MAGEB3,inactive
SPATA16,inactive
OLIG2,inactive
NPHS2,inactive
RPS9,decreasing
RPS9,decreasing
OLIG2,inactive
RNASE9,inactive
LYZL6,inactive
HTR3D,inactive
PSMC4,decreasing
ADH7,inactive
TPH2,inactive
RPL5,decreasing
RPS9,decreasing
PSMB3,decreasing
RPS24,decreasing
ADH7,inactive
TAS2R13,inactive
ADH7,inactive
TAAR1,inactive
SAGE1,inactive
RPS9,decreasing
RPS24,decreasing
ABCG8,inactive
NUP54,decreasing
RPL18A,decreasing
RPS9,decreasing
PSMD1,decreasing
RPL27,decreasing
RPL30,decreasing
FAM71B,inactive
RPS9,decreasing
RPL36,decreasing
TGM6,inactive
PIWIL3,inactive
OTUD6A,inactive
CABP5,inactive
RPL27,decreasing
TAS2R9,inactive
CABP5,inactive
COPS6,decreasing
POLR2F,decreasing
PSMC2,decreasing
RPS3A,decreasing
PSMC1,decreasing
RPS9,decreasing
OC90,inactive
OLIG2,inactive
NUP98,decreasing
ABCG8,inactive
COPS8,decreasing
RPL3,decreasing
IL1F10,inactive
HTR3D,inactive
OC90,inactive
KRT77,inactive
DEFB129,inactive
SPATA16,inactive
LYZL6,inactive
RPL35A,decreasing
LHX5,inactive
RXFP2,inactive
RPL18A,decreasing
NPHS2,inactive
RPL27,decreasing
IL1F10,inactive
IL1F10,inactive
COPS2,decreasing
TAS2R9,inactive
KRT9,inactive
NPSR1,inactive
TPH2,inactive
RPS8,decreasing
LYZL6,inactive
PSMB3,decreasing
RPL5,decreasing
FCRL4,inactive
HTR3D,inactive
PSMD6,decreasing
RPS7,decreasing
POU4F2,inactive
RPL35A,decreasing
TAS2R9,inactive
PSMD11,decreasing
NPHS2,inactive
MRGPRD,inactive
RPL36,decreasing
COPS2,decreasing
FAM71B,inactive
RPS8,decreasing
CRYGB,inactive
VN1R2,inactive
ADH7,inactive
RPS9,decreasing
RPL30,decreasing
PSMD1,decreasing
RPL3,decreasing
KRT25,inactive
PIWIL3,inactive
PSMD6,decreasing
DMRTB1,inactive
PLA2G2E,inactive
RPL11,decreasing
RNASE9,inactive
PSMD7,decreasing
FAM71B,inactive
RPL36,decreasing
LHX5,inactive
RPS13,decreasing
PSMC4,decreasing
RPL9,decreasing
IL1F10,inactive
NLRP5,inactive
OTUD6A,inactive
TAAR8,inactive
COPS6,decreasing
SAGE1,inactive
TAAR1,inactive
PSMC2,decreasing
COPS4,decreasing
LUZP4,inactive
OTUD6A,inactive
RPL30,decreasing
TRIM42,inactive
ADH7,inactive
FCRL4,inactive
DMRTB1,inactive
RPL36,decreasing
DMRTB1,inactive
SAGE1,inactive
KRT74,inactive
PSMC4,decreasing
PSMB3,decreasing
NLRP5,inactive
TRIM42,inactive
POU4F2,inactive
PSMD7,decreasing
LYZL6,inactive
RPL36,decreasing
RNASE9,inactive
LYZL6,inactive
FAM71B,inactive
RPL18A,decreasing
RNASE9,inactive
NPHS2,inactive
RPL3,decreasing
PSMC4,decreasing
COPS4,decreasing
KRT77,inactive
NPSR1,inactive
LHX5,inactive
PSMD11,decreasing
ADH7,inactive
PIWIL3,inactive
RPL27,decreasing
RPS27,decreasing
COPS8,decreasing
RPS11,decreasing
COPS8,decreasing
PSMB3,decreasing
FCRL4,inactive
IL22,inactive
LUZP4,inactive
DMRTB1,inactive
RPL5,decreasing
RPL36,decreasing
SAGE1,inactive
SPATA16,inactive
HTR3D,inactive
PSMB2,decreasing
VN1R2,inactive
TAS2R9,inactive
RPL30,decreasing
KRT74,inactive
TAAR8,inactive
IL1F10,inactive
MAGEB3,inactive
ABCG8,inactive
CYP7A1,inactive
LUZP4,inactive
RPL30,decreasing
RPS19,decreasing
SAGE1,inactive
VN1R2,inactive
OR52E8,inactive
PSMC4,decreasing
PLA2G2E,inactive
LHX5,inactive
MRGPRD,inactive
HTR3D,inactive
TAS2R13,inactive
PSMC2,decreasing
DMRTB1,inactive
PSMC1,decreasing
RPL35A,decreasing
OLIG2,inactive
RPL27,decreasing
FCRL4,inactive
NLRP5,inactive
CRYGB,inactive
COPA,decreasing
RPS19,decreasing
OC90,inactive
LUZP4,inactive
RPL3,decreasing
OTUD6A,inactive
RPL9,decreasing
COPA,decreasing
RXFP2,inactive
IL1F10,inactive
LUZP4,inactive
HTR3D,inactive
TAAR8,inactive
KRT9,inactive
RPL27,decreasing
POU4F2,inactive
ADH7,inactive
IL22,inactive
TAS2R13,inactive
SAGE1,inactive
OC90,inactive
KRT9,inactive
DMRTB1,inactive
RPL9,decreasing
KRT74,inactive
CRYGB,inactive
NUP133,decreasing
RPL11,decreasing
OR12D2,inactive
HTR3D,inactive
SAGE1,inactive
SAGE1,inactive
IL22,inactive
FCRL4,inactive
MRGPRD,inactive
RPS7,decreasing
PSMA3,decreasing
DMRTC2,inactive
PSMB2,decreasing
KRT25,inactive
PSMC4,decreasing
RPL35A,decreasing
PSMA3,decreasing
KRT9,inactive
OR9Q2,inactive
TPH2,inactive
RPS3A,decreasing
RPS24,decreasing
OR12D2,inactive
COPZ1,decreasing
IL22,inactive
KRT9,inactive
TAS2R9,inactive
RPS19,decreasing
TAAR1,inactive
OLIG2,inactive
PSMC2,decreasing
PSMD11,decreasing
RPL3,decreasing
MAGEB3,inactive
RPL30,decreasing
FCRL4,inactive
RPS3A,decreasing
COPS2,decreasing
TAAR8,inactive
TAAR8,inactive
DEFB129,inactive
ABCG8,inactive
DMRTB1,inactive
COPS8,decreasing
DEFB129,inactive
PSMC2,decreasing
RPL27,decreasing
POLR2A,decreasing
CABP5,inactive
DMRTC2,inactive
MAGEB3,inactive
OLIG2,inactive
RPS3A,decreasing
