gene,sgRNA,B1,B2,B3,A1,A2,A3
RPS3A,TRCN0000074709,1050,1105,1502,15,27,27
PSMC4,TRCN0000052040,1886,1940,2493,54,45,24
PSMD11,TRCN0000003946,4999,5510,7704,76,139,135
PSMD6,TRCN0000144555,3540,3837,5378,42,95,141
NUP93,TRCN0000059959,5997,6294,8941,132,152,137
RPS9,TRCN0000074797,1263,1415,1911,35,43,18
NUP98,TRCN0000046913,1551,1767,2471,24,31,86
PSMD6,TRCN0000142957,2806,3023,3622,74,46,88
COPZ1,TRCN0000065002,1421,1454,2300,26,45,40
POLA1,TRCN0000052954,1050,1050,1536,30,17,38
PSMD7,TRCN0000058066,4047,4267,5364,119,92,101
TPH2,TRCN0000056673,4814,5087,7185,66,190,197
RPS8,TRCN0000074780,47,17,8,2,0,1
RPL3,TRCN0000117509,556,537,507,26,21,4
COPA,TRCN0000065272,2526,2618,2921,62,74,64
RPL30,TRCN0000117570,1156,1393,1497,33,74,17
RPL35A,TRCN0000117659,1642,1843,2220,41,46,64
RPL5,TRCN0000074996,1517,1559,2164,55,59,31
PSMB3,TRCN0000003911,765,710,476,19,15,19
RPL6,TRCN0000004998,842,866,589,33,16,18
RPS3A,TRCN0000074711,1034,1006,1435,19,32,55
COPS6,TRCN0000072558,1892,1869,2027,66,38,68
RPS9,TRCN0000074795,1351,1390,1742,67,50,24
NUP133,TRCN0000144112,2042,2456,3148,86,74,62
RPL6,TRCN0000005001,1481,1297,1361,81,44,19
RPS24,TRCN0000117549,1189,1121,1465,52,33,30
RPL5,TRCN0000074997,1201,1160,1480,61,52,18
POLR2A,TRCN0000021288,7802,8523,11519,281,308,271
COPB1,TRCN0000151483,2149,2126,2953,82,59,84
POLR2D,TRCN0000021366,3747,3832,5137,104,130,169
NUP93,TRCN0000059958,1245,1189,1421,59,31,36
NUP133,TRCN0000143014,2051,2396,3003,56,99,85
NUP205,TRCN0000060023,1198,1091,1619,50,83,23
RPS11,TRCN0000074979,1171,1244,1601,21,62,87
COPS6,TRCN0000072562,5227,5798,7899,229,173,306
COPB1,TRCN0000150921,1669,1611,1543,46,55,82
COPZ1,TRCN0000064998,2651,2754,2771,100,82,128
PSMA3,TRCN0000003880,976,1017,1101,49,18,65
PSMD1,TRCN0000058105,6194,6364,9354,246,239,360
POLR2A,TRCN0000021286,1491,1828,2119,118,48,59
RPL18A,TRCN0000117614,1419,1574,2076,39,94,77
RPS8,TRCN0000074779,2272,2404,3179,92,118,110
NUP98,TRCN0000046914,2318,2071,2719,103,117,78
PSMD7,TRCN0000058063,1107,1182,1325,47,77,38
PSMD6,TRCN0000145517,2765,2862,4381,116,104,234
PSMD11,TRCN0000003948,1479,1334,1760,65,80,55
NUP205,TRCN0000060024,823,805,1030,46,64,19
PSMC1,TRCN0000050505,1972,2369,3376,113,130,96
RPTN,TRCN0000053864,1730,1817,2803,133,136,50
POLR2D,TRCN0000021367,2184,2849,3622,124,137,174
RPS27,TRCN0000117596,3144,3100,4329,184,198,173
RPL18A,TRCN0000117615,1664,1965,2611,178,83,88
NUP93,TRCN0000059962,871,871,1095,67,32,62
RPL30,TRCN0000117568,2095,1940,1803,106,129,88
COPS6,TRCN0000072561,1835,2116,3016,171,93,123
COPA,TRCN0000065268,1324,1478,1910,76,61,144
RPL3,TRCN0000117510,4814,5071,5727,249,303,343
RPS24,TRCN0000117551,2141,2002,2635,101,175,124
PSMD7,TRCN0000058064,1087,1211,1612,69,103,58
RPL9,TRCN0000117566,1137,1078,1557,54,71,98
RPL11,TRCN0000117716,986,895,581,47,25,87
RPS24,TRCN0000117548,1689,1828,1717,110,91,108
CABP5,TRCN0000056334,2880,2697,2612,218,122,160
RPS9,TRCN0000074796,1125,1250,1439,106,67,62
PSMB3,TRCN0000010829,364,262,153,24,12,11
NLRP5,TRCN0000152865,4880,5336,6848,372,392,286
RPL27,TRCN0000117773,1374,1197,1528,103,113,54
COPA,TRCN0000065271,1359,1492,2031,115,133,72
POLR2A,TRCN0000021284,5274,6095,7931,493,449,322
NUP98,TRCN0000046916,1155,1081,1463,87,83,75
PSMB3,TRCN0000003910,819,789,967,99,63,30
RPS13,TRCN0000007170,2803,2456,2445,178,208,149
RPL5,TRCN0000074995,1426,1388,1969,88,171,84
RPL35A,TRCN0000117661,607,435,347,60,28,20
COPS2,TRCN0000116054,1697,1724,2144,123,178,113
POLA1,TRCN0000052953,1155,1242,1471,74,147,78
RXFP2,TRCN0000009005,2821,2966,3787,267,199,261
COPS4,TRCN0000118344,2286,2420,2787,181,151,268
PSMB3,TRCN0000003908,1943,1875,2634,145,212,163
DMRTC2,TRCN0000019587,279,219,126,27,13,11
NLRP5,TRCN0000155113,2486,2318,2362,180,185,223
RPL18A,TRCN0000117613,480,435,382,39,35,32
PSMD11,TRCN0000003950,2117,2301,2981,190,238,206
PSMC1,TRCN0000050504,538,504,501,55,67,23
RPS27,TRCN0000117592,1050,975,1080,113,83,81
RPL36,TRCN0000117675,1087,1046,1239,98,109,92
POLA1,TRCN0000052957,7908,7294,8655,704,765,706
IL1F10,TRCN0000058440,423,291,162,44,32,10
RPS24,TRCN0000117550,1582,1819,2536,117,238,198
RPL35A,TRCN0000117660,154,89,56,18,3,10
PSMC4,TRCN0000052041,839,789,1065,56,119,79
NUP54,TRCN0000059905,1761,1808,2622,187,149,231
PSMC4,TRCN0000052038,887,843,802,76,75,89
RPS27,TRCN0000117595,1787,1901,2751,190,224,210
RPL6,TRCN0000005000,5272,5548,7918,553,708,639
KRT77,TRCN0000116783,3085,3070,3990,339,348,379
COPS2,TRCN0000116052,1939,2246,2910,301,258,196
RPL34,TRCN0000077924,5373,5713,7909,606,702,712
RPS11,TRCN0000074982,608,584,469,59,77,43
RPL6,TRCN0000004999,1434,1179,728,144,138,75
POLR2A,TRCN0000021287,1191,1118,1659,134,164,123
POLR2F,TRCN0000021836,19,7,6,4,5,0
TRIM42,TRCN0000073249,2519,2636,3036,276,337,301
PSMC1,TRCN0000050506,1577,1544,2250,179,207,206
POLR2D,TRCN0000021364,641,640,591,89,51,75
PSMA3,TRCN0000010827,662,782,954,82,75,116
COPS4,TRCN0000118345,1260,1291,1558,171,141,198
NPHS2,TRCN0000118888,2312,2145,3090,400,225,356
NUP205,TRCN0000060025,1902,2037,2306,275,268,263
IL22,TRCN0000058954,2933,2841,3415,379,384,444
POLR2F,TRCN0000021835,709,731,738,92,91,104
NUP54,TRCN0000059906,1380,1441,2110,247,175,230
CRYGB,TRCN0000148941,3494,3395,4858,475,610,493
FCRL4,TRCN0000063030,1139,1010,806,137,122,136
PSMD11,TRCN0000003947,6532,7344,9642,883,1279,1122
IL1F10,TRCN0000058441,3974,4299,5656,673,597,722
COPS8,TRCN0000007623,7602,8626,10857,1083,1576,1434
PSMC4,TRCN0000052042,1109,1234,1679,204,214,175
TAS2R9,TRCN0000014163,2461,2379,2792,417,389,347
RPS27,TRCN0000117593,1688,1669,2562,223,296,373
NUP54,TRCN0000059907,1290,1555,2158,243,282,216
NUP98,TRCN0000046915,1517,1650,2171,273,289,241
COPB1,TRCN0000151067,2229,2012,2974,345,396,366
NUP133,TRCN0000142066,1891,1801,1616,318,312,217
CYP7A1,TRCN0000064260,4114,4627,6201,672,879,834
COPS2,TRCN0000116055,1752,1567,1747,315,247,247
RPS24,TRCN0000117547,1196,1225,1686,154,249,268
KRT9,TRCN0000117132,2900,3022,4540,623,661,418
CRYGB,TRCN0000148564,3104,3443,4816,509,716,626
COPS8,TRCN0000007622,5423,5500,7420,1241,880,953
PSMB2,TRCN0000003905,339,224,53,41,16,26
RPL30,TRCN0000117567,922,926,1239,140,168,209
COPS8,TRCN0000007619,4868,5095,7331,916,1085,1068
NUP98,TRCN0000046917,1990,2211,3050,401,392,480
COPS2,TRCN0000116053,4434,4562,6467,793,933,1086
SPATA16,TRCN0000134934,2645,2943,4390,525,648,633
VN1R2,TRCN0000014254,7194,7489,11043,1487,1697,1581
RPS27,TRCN0000117594,2895,2803,3224,570,494,616
TRIM42,TRCN0000073251,3784,4151,5479,753,853,980
PSMC1,TRCN0000050503,2504,2568,3378,502,586,542
MRGPRD,TRCN0000077977,110,67,38,21,15,6
IL22,TRCN0000058955,3762,4154,4405,1024,831,840
FAM71B,TRCN0000140184,1025,952,826,220,205,177
POLR2F,TRCN0000021837,1426,1503,2062,371,293,417
PSMC2,TRCN0000007184,6158,6842,8854,1543,1595,1676
NLRP5,TRCN0000152679,8116,8365,10342,1913,2249,1851
COPS4,TRCN0000118342,8315,8693,11617,2016,2349,2128
KRT74,TRCN0000116931,3964,3472,3328,948,732,757
PSMB3,TRCN0000003909,1170,1017,1574,298,234,294
POLR2F,TRCN0000021838,1626,1705,1954,330,388,472
TAS2R13,TRCN0000014035,3013,3447,4618,707,904,911
KRT9,TRCN0000117133,7069,6943,8034,1687,1780,1782
NLRP5,TRCN0000150723,3441,3737,4864,883,1038,903
COPZ1,TRCN0000065001,5988,5907,7021,1662,1563,1360
POU4F2,TRCN0000019570,5189,5554,7171,1341,1541,1705
TAAR8,TRCN0000011510,2713,2777,3279,708,791,743
LHX5,TRCN0000005064,9033,9321,11650,2131,2832,2949
TGM6,TRCN0000056293,8410,9060,12055,2868,2404,2587
SPATA16,TRCN0000134587,8681,10260,14092,2623,3074,3145
PSMD1,TRCN0000058103,803,597,792,142,283,185
PLA2G2E,TRCN0000051553,1345,1174,1091,329,378,278
TAS2R9,TRCN0000014166,6880,7324,9356,1907,2576,2214
PIWIL3,TRCN0000152462,2725,2725,3738,826,878,843
OR12D2,TRCN0000009301,1990,2026,2221,486,716,556
RPL9,TRCN0000117563,2081,2159,2960,632,694,666
CRYGB,TRCN0000147503,3033,3454,4844,1011,1110,1029
OC90,TRCN0000054163,3649,3883,4403,1191,968,1238
FAM71B,TRCN0000139305,2450,2360,2691,611,828,690
IL1F10,TRCN0000058438,7232,7166,9978,2307,2382,2318
IL22,TRCN0000058956,2237,2596,2906,647,763,792
COPS2,TRCN0000116056,9844,10683,14287,3315,3562,3442
HTR3D,TRCN0000060915,3276,3208,4275,1118,1045,978
TGM6,TRCN0000056297,175,128,52,44,16,36
FCRL4,TRCN0000063031,2518,2753,3141,878,813,779
ADH7,TRCN0000026438,5684,6169,7334,1921,1806,1991
OR12D2,TRCN0000009304,7660,8207,11433,2462,3074,2892
TAS2R13,TRCN0000014033,1834,1828,2410,566,589,710
PSMC1,TRCN0000050507,1169,1111,1353,433,392,310
OR9Q2,TRCN0000063063,3677,3908,5389,1135,1379,1608
LYZL6,TRCN0000151010,10992,11748,15428,4314,3963,4049
TPH2,TRCN0000056676,1861,1924,2552,708,698,643
RPL18A,TRCN0000117616,435,337,203,100,98,100
POU4F2,TRCN0000019569,4661,4862,6430,1620,1830,1890
COPZ1,TRCN0000064999,3360,3051,2662,1125,1069,851
OTUD6A,TRCN0000135225,2186,2251,3320,758,883,942
RPL30,TRCN0000117569,886,801,748,237,273,301
KRT74,TRCN0000116930,2798,3076,3672,1141,1129,1027
OC90,TRCN0000054167,1904,1657,1489,624,583,527
PIWIL3,TRCN0000153086,3988,4461,5263,1490,1697,1852
PSMC2,TRCN0000007185,5224,5687,7091,2064,2256,2398
CRYGB,TRCN0000148475,2034,1885,1619,723,707,605
NUP133,TRCN0000143344,986,980,1124,421,386,324
FAM71B,TRCN0000140300,878,741,730,344,250,269
NLRP5,TRCN0000155358,3947,4346,5464,1593,1772,1868
NPSR1,TRCN0000063361,2551,2409,2690,1209,917,838
NLRP5,TRCN0000152512,2112,2216,2248,828,947,748
RPL34,TRCN0000077923,1251,1291,1744,540,543,525
CABP5,TRCN0000056336,2392,2563,2536,1031,1028,841
HTR3D,TRCN0000060913,1451,1326,1288,545,493,537
DMRTC2,TRCN0000019588,1994,1991,2030,1054,682,747
KRT77,TRCN0000116784,11263,11853,17181,5246,5596,6141
COPS6,TRCN0000072560,1102,1191,1575,567,508,507
TAS2R9,TRCN0000014164,2345,2777,3598,1330,1169,1157
COPA,TRCN0000065269,1382,1548,1852,637,663,779
CRYGB,TRCN0000146810,3538,3627,4850,1564,1952,1821
NPSR1,TRCN0000063358,10045,10564,13297,4978,5364,5087
RNASE9,TRCN0000049815,2847,3063,4359,1390,1495,1663
LUZP4,TRCN0000115746,1200,1206,1791,637,615,578
PSMC2,TRCN0000007181,2253,2394,3327,1162,1175,1205
NUP54,TRCN0000059903,1364,1286,1755,553,788,624
NPSR1,TRCN0000063360,3451,3053,2651,1640,1323,1196
DMRTB1,TRCN0000019522,780,530,294,234,201,219
KRT25,TRCN0000116496,5855,6043,6073,3300,2578,2566
OR52E8,TRCN0000060817,2397,2542,3499,1195,1293,1421
TAAR8,TRCN0000011508,6839,7236,10152,3080,4538,3977
CYP7A1,TRCN0000064262,1910,1805,2673,923,978,1041
RPL18A,TRCN0000117612,1205,1209,1664,652,591,697
ABCG8,TRCN0000059648,5646,6276,8539,3309,3134,3638
TAS2R13,TRCN0000014037,11618,12454,17303,6145,7828,7017
PIWIL3,TRCN0000154096,3209,3226,4873,1681,1999,1861
NPSR1,TRCN0000063362,503,381,277,251,161,146
PSMD11,TRCN0000003949,1663,1575,1779,776,916,802
RPS11,TRCN0000074980,419,416,781,211,319,233
DMRTB1,TRCN0000019521,5266,5483,4753,2827,2777,2546
TAAR1,TRCN0000014007,3139,3374,4308,1726,1953,1925
PSMD7,TRCN0000058065,421,415,418,205,192,229
KRT9,TRCN0000117134,7336,7874,11002,4169,5018,4717
SAGE1,TRCN0000115752,2057,2245,3260,1292,1371,1232
RPL3,TRCN0000117511,1786,1815,2628,991,1131,1097
SAGE1,TRCN0000115754,5679,6061,9121,3446,3787,3903
COPS8,TRCN0000007621,4167,4749,6235,2521,2728,2877
MRGPRD,TRCN0000077974,4080,4292,4993,2293,2710,2272
OC90,TRCN0000054166,2675,3052,3875,1587,1796,1751
NLRP5,TRCN0000152434,3250,3822,5280,2553,2168,1961
CABP5,TRCN0000056337,2239,2191,2629,1391,1331,1199
LHX5,TRCN0000005061,4,10,2,2,1,6
LYZL6,TRCN0000151651,2854,2986,3852,1771,1777,1900
LUZP4,TRCN0000115745,12639,13170,17402,7763,8540,9199
NPSR1,TRCN0000063359,3596,3750,4368,2109,2505,2168
VN1R2,TRCN0000014256,803,949,1116,574,528,505
LUZP4,TRCN0000115743,3411,3058,3385,2251,1808,1714
PSMD6,TRCN0000121679,3200,3599,4790,2062,2365,2295
OR52E8,TRCN0000060814,2432,2381,2522,1376,1520,1489
TAAR1,TRCN0000014003,2832,3022,4205,1968,2092,1991
KRT77,TRCN0000116786,5900,6028,7517,3964,4126,4017
TRIM42,TRCN0000073250,2693,2744,3992,1655,1836,2267
KRT25,TRCN0000116495,3105,3039,3569,2126,1916,2011
CABP5,TRCN0000056333,2806,2917,3599,1922,2057,1816
LYZL6,TRCN0000155532,1102,905,541,627,509,377
NPHS2,TRCN0000118887,10696,11544,16418,8108,8655,8170
VN1R2,TRCN0000014253,3022,2975,3321,2311,1964,1830
KRT74,TRCN0000116927,4520,4739,6478,3217,3826,3392
PSMD1,TRCN0000058104,1317,1748,2128,902,1234,1234
RPS19,TRCN0000074914,652,516,470,430,316,307
FCRL4,TRCN0000063029,3863,4225,5553,2898,3236,3078
TAAR1,TRCN0000014006,4167,4657,5715,3096,3308,3490
PIWIL3,TRCN0000150729,2894,2988,3835,1977,2442,2154
LYZL6,TRCN0000155615,1207,1066,959,723,691,721
KRT9,TRCN0000117136,2140,2159,2735,1628,1579,1569
MRGPRD,TRCN0000077976,2255,2337,2687,1630,1720,1638
CRYGB,TRCN0000148626,1018,1025,1348,846,738,731
FAM71B,TRCN0000144181,2955,3156,3819,2427,2423,2188
PLA2G2E,TRCN0000051556,3552,3550,4119,2688,2752,2590
SAGE1,TRCN0000115753,11394,12511,16400,8997,10270,10425
IL22,TRCN0000058953,1019,1069,1244,749,849,734
CYP7A1,TRCN0000064261,3213,3330,4047,2540,2567,2553
OR12D2,TRCN0000009300,1082,1696,2171,1013,1276,1134
LHX5,TRCN0000005062,516,432,333,330,317,238
IL1F10,TRCN0000058442,3983,4351,5808,3133,3556,3671
NPHS2,TRCN0000118891,2667,2718,3474,2247,2138,2072
HTR3D,TRCN0000060917,3100,3666,4959,2706,2812,2995
MAGEB3,TRCN0000115830,2966,3058,3755,2239,2487,2497
POU4F2,TRCN0000019572,116,78,25,74,28,34
TGM6,TRCN0000056295,204,158,101,116,126,75
TAS2R9,TRCN0000014165,535,452,604,278,446,448
RPL30,TRCN0000117571,6988,8198,11069,5957,7206,7002
ABCG8,TRCN0000059650,4111,4590,6169,3347,4056,3899
COPZ1,TRCN0000065000,1944,2128,2716,1629,1544,1936
SAGE1,TRCN0000115755,3993,4105,5099,3647,3429,3123
NUP133,TRCN0000121583,1721,1747,2414,1367,1529,1527
OR52E8,TRCN0000060815,8649,9450,11249,8514,7292,7496
SPATA16,TRCN0000137126,2505,2697,3199,2251,2234,2007
TPH2,TRCN0000056674,5111,4911,5577,4275,4424,3872
NLRP5,TRCN0000155835,3018,3142,4417,2583,2929,2957
NLRP5,TRCN0000151998,2882,3281,4188,2658,2773,2925
KRT74,TRCN0000116928,3471,3504,4329,2777,3362,3121
RNASE9,TRCN0000049813,4695,5008,6892,4340,4411,4920
OR9Q2,TRCN0000063064,2627,2659,3487,2480,2627,2267
RNASE9,TRCN0000049817,2683,3236,3955,2692,3150,2640
NPHS2,TRCN0000118890,5606,5862,8179,4668,6442,6299
NUP54,TRCN0000059904,2917,3160,4073,2925,3039,2819
RPS19,TRCN0000074915,512,276,137,268,203,197
RPL35A,TRCN0000117657,1453,1543,2244,1474,1580,1384
RPS7,TRCN0000074766,1534,1562,2107,1483,1613,1406
PSMC4,TRCN0000052039,317,216,115,230,124,156
IL22,TRCN0000058957,3610,3838,4158,3640,3340,3508
RPS13,TRCN0000007172,3239,3341,4017,2879,3392,3271
OR12D2,TRCN0000009302,5197,5286,6174,4861,5583,4878
PIWIL3,TRCN0000151560,3943,4289,5836,3815,4400,4642
TAAR8,TRCN0000011511,2881,3329,4784,3040,3599,3366
COPS8,TRCN0000007620,7284,7649,10460,7503,7954,8845
PIWIL3,TRCN0000153144,5966,6159,8897,6225,7250,6878
RPTN,TRCN0000053866,11580,12581,17133,11426,15525,14344
TGM6,TRCN0000056296,1896,2072,2652,1866,2346,2147
PIWIL3,TRCN0000153271,3988,4386,5443,4005,5325,4429
FCRL4,TRCN0000063032,3419,3430,4994,3692,4025,3878
FAM71B,TRCN0000144219,4490,4748,6568,4680,5685,5391
PIWIL3,TRCN0000152548,2153,2065,2135,2348,2244,1853
DEFB129,TRCN0000137516,962,1039,956,965,1007,952
NPHS2,TRCN0000118889,4736,4395,4008,5603,4209,3915
PLA2G2E,TRCN0000051557,1318,1163,858,1400,1037,907
KRT25,TRCN0000116492,3220,3306,5048,3730,4002,4020
TRIM42,TRCN0000073248,4217,4511,5942,5008,4830,5341
POLA1,TRCN0000052956,2764,2839,3998,3017,3473,3306
PIWIL3,TRCN0000151260,3446,3818,5192,3928,4917,4306
KRT77,TRCN0000116785,4225,4443,6695,5387,5105,5780
LUZP4,TRCN0000115744,10178,11353,14560,12834,13494,13681
DEFB129,TRCN0000135246,4203,4614,5616,5020,5426,5689
MAGEB3,TRCN0000115831,4310,4682,6177,5785,5535,5827
KRT25,TRCN0000116493,8711,9158,12249,10481,12913,12341
RPS3A,TRCN0000074708,1529,1447,2132,1752,2109,1877
PLA2G2E,TRCN0000051554,476,326,224,540,263,327
RXFP2,TRCN0000009004,3386,3691,5311,4706,4817,5193
ADH7,TRCN0000026500,2128,1677,1230,2235,1930,1700
TAS2R13,TRCN0000014034,4419,5138,7062,6050,7146,6913
OLIG2,TRCN0000018161,1687,1673,2571,2331,2236,2388
TPH2,TRCN0000056677,5298,5874,8348,7572,8151,8168
DMRTB1,TRCN0000019519,2290,2408,2729,2803,3402,2951
PSMB2,TRCN0000003903,1086,1140,1168,1411,1269,1496
DMRTC2,TRCN0000019584,2238,2376,2755,3530,3081,2689
ABCG8,TRCN0000059652,3993,4854,6020,5760,6666,6547
DMRTC2,TRCN0000019585,6024,6774,8885,9380,9081,9602
SPATA16,TRCN0000138134,2249,2254,2484,3097,2944,2820
IL1F10,TRCN0000058439,3917,4669,5618,5918,6286,6054
OLIG2,TRCN0000018159,377,187,82,294,139,239
RXFP2,TRCN0000009003,2110,2304,3260,2905,3253,3696
FAM71B,TRCN0000143767,3063,3207,3999,4457,4472,4655
KRT25,TRCN0000116494,4185,4309,6453,5527,7343,7134
OR9Q2,TRCN0000063065,5101,5459,7244,7945,8333,7904
OTUD6A,TRCN0000136332,4015,4240,5503,5727,6647,6507
TRIM42,TRCN0000073252,3362,3652,5281,4968,6092,5868
LHX5,TRCN0000005065,2809,2608,2078,4259,3594,2653
RPL36,TRCN0000117672,1305,1514,1854,2035,2143,2179
FAM71B,TRCN0000139275,2199,2199,3060,3247,3528,3515
CYP7A1,TRCN0000064259,3678,3927,5206,5087,6324,6710
PSMA3,TRCN0000003881,1327,1318,1801,1851,2285,1993
RPTN,TRCN0000053867,236,127,83,188,173,177
CYP7A1,TRCN0000064258,3047,3322,4947,5053,5723,5500
OC90,TRCN0000054165,10037,10816,14985,16892,19367,18693
OLIG2,TRCN0000018158,2968,2992,4078,4541,5232,5142
POU4F2,TRCN0000019573,2575,2570,2988,3965,4524,3740
ABCG8,TRCN0000059651,3010,2758,2789,4927,4370,3722
SAGE1,TRCN0000115756,3603,3568,3773,5102,6382,5312
ABCG8,TRCN0000059649,4132,4097,5687,6371,7693,7492
OTUD6A,TRCN0000134038,2965,3423,4646,4746,6386,5851
NUP205,TRCN0000060027,1685,1646,2430,2549,3068,3068
MRGPRD,TRCN0000077975,1513,1848,2475,2649,3089,3168
SPATA16,TRCN0000137396,2472,2683,3552,4505,4621,4776
DMRTC2,TRCN0000019586,2747,2832,3523,4985,4721,4970
DEFB129,TRCN0000135470,4477,4514,6317,7665,9047,8762
FCRL4,TRCN0000063028,3418,3588,5347,5964,7751,6739
OLIG2,TRCN0000018160,675,412,141,734,343,589
OTUD6A,TRCN0000138784,1955,1719,1328,3090,2640,2430
OR52E8,TRCN0000060813,2779,2716,3806,4721,5572,5362
HTR3D,TRCN0000060914,4003,4562,6456,7613,8917,9045
RXFP2,TRCN0000009002,2414,2538,3081,4630,4849,4268
RNASE9,TRCN0000049814,3282,3498,4669,6173,6634,7102
NUP93,TRCN0000059960,6349,7292,9730,12358,14369,14819
ADH7,TRCN0000026419,3868,4234,5254,8146,8387,7728
RNASE9,TRCN0000049816,3979,4310,5451,7336,9417,8649
TGM6,TRCN0000056294,2244,2519,3483,4660,5177,4995
OR9Q2,TRCN0000063066,3310,3714,4476,6801,7706,7051
TPH2,TRCN0000056675,2530,2716,3937,5152,6032,5778
KRT74,TRCN0000116929,6805,7470,9769,14755,16592,16050
OR52E8,TRCN0000060816,2937,2956,3793,6398,6324,6241
MAGEB3,TRCN0000115828,2551,2756,3995,5316,6539,6233
RPTN,TRCN0000053863,1159,1308,1618,2599,2559,2702
FAM71B,TRCN0000121666,4173,4856,5841,9438,10526,10001
LYZL6,TRCN0000151784,1391,1709,2358,2945,3818,3786
ADH7,TRCN0000026491,3795,4152,5221,8872,9197,8513
LHX5,TRCN0000005063,11374,11903,14186,25892,29068,24042
DMRTB1,TRCN0000019523,430,315,356,732,621,710
COPS6,TRCN0000072559,1900,1991,2794,3752,5150,4368
OTUD6A,TRCN0000135872,1220,890,887,2272,1719,1817
VN1R2,TRCN0000014255,14599,16192,21593,33862,39449,38246
SPATA16,TRCN0000137295,1338,1215,1254,2664,2513,2345
OTUD6A,TRCN0000134360,1947,1877,2175,4072,4453,3670
DMRTB1,TRCN0000019520,2229,2401,2199,5052,4467,4491
TAAR8,TRCN0000011512,3811,4010,5716,8731,10272,9535
VN1R2,TRCN0000014257,5335,5798,8148,12927,14875,13977
ADH7,TRCN0000026463,3821,3764,4569,8520,9008,8808
LUZP4,TRCN0000115742,4087,4738,5947,9723,11317,11387
RPL9,TRCN0000117562,1585,1747,2304,3923,3853,4111
PLA2G2E,TRCN0000051555,1091,807,545,1822,1630,1534
RXFP2,TRCN0000009001,5859,6009,8302,13471,16327,16302
OR12D2,TRCN0000009303,3281,3501,5083,8457,10258,9969
POLA1,TRCN0000052955,9339,10363,14096,25214,29155,29980
DEFB129,TRCN0000135976,1624,1745,2256,4023,4765,4296
PIWIL3,TRCN0000151634,19813,21008,29812,55094,61282,62834
TAAR8,TRCN0000011509,3756,4042,5490,13616,15925,15851
TAAR1,TRCN0000014004,9159,9734,13401,31852,34721,36406
TAAR1,TRCN0000014005,358,388,369,1139,1327,1333
TAS2R13,TRCN0000014036,2133,2317,3093,5586,6968,6405
TAS2R9,TRCN0000014167,68,80,107,265,306,199
OLIG2,TRCN0000018162,363,179,62,796,420,626
POU4F2,TRCN0000019571,5872,6275,8120,16058,17908,18630
RPTN,TRCN0000053865,2028,2299,2441,6616,7218,6418
