id,num,neg.score,neg.p.value,neg.fdr,neg.rank,neg.goodsgrna,neg.lfc,pos.score,pos.p.value,pos.fdr,pos.rank,pos.goodsgrna,pos.lfc,twosided.p.value
COPA,10,3.5841e-4,0.0026008,0.01273,19,9,-1.9491,0.44837,0.75667,0.999995,52,1,-1.9491,0.0052016
POLR2A,10,5.0203e-4,0.0035093,0.016318,20,9,-1.5005,0.31367,0.6383,0.999995,48,1,-1.5005,0.0070186
NUP93,11,6.1338e-4,0.0044279,0.019609,21,9,-2.1949,0.99969,0.99975,0.999995,78,0,-2.1949,0.0088558
NUP54,11,8.3106e-4,0.0058456,0.024711,22,10,-0.99808,0.9998,0.99983,0.999995,82,0,-0.99808,0.0116912
PSMC2,14,9.3624e-4,0.0078224,0.03163,23,11,-1.4998,0.96449,0.99454,0.999995,68,3,-1.4998,0.0156448
COPS6,10,0.0017187,0.010638,0.041222,24,9,-1.0555,0.99923,0.99913,0.999995,76,0,-1.0555,0.021276
RPL36,10,0.0019159,0.011856,0.044104,25,9,-1.8118,0.7759,0.93292,0.999995,58,1,-1.8118,0.023712
POLA1,10,0.002685,0.016099,0.055452,26,9,-1.2199,0.99945,0.99939,0.999995,77,0,-1.2199,0.032198
RPS3A,6,0.0030268,0.01549,0.055407,27,6,-1.4483,0.99697,0.99688,0.999995,75,0,-1.4483,0.03098
RPL35A,7,0.0052942,0.026872,0.089253,28,5,-2.3515,0.91941,0.96361,0.999995,63,2,-2.3515,0.053744
COPZ1,16,0.0066011,0.045202,0.131398,29,12,-0.62014,0.62808,0.90722,0.999995,55,4,-0.62014,0.090404
PSMD1,12,0.0068485,0.042177,0.130749,30,10,-0.82086,0.37165,0.72008,0.999995,51,2,-0.82086,0.084354
RPS9,10,0.0085519,0.045212,0.131398,31,7,-2.5946,0.25232,0.56504,0.999995,47,3,-2.5946,0.090424
RPS27,5,0.0091082,0.035957,0.115311,32,5,-0.82625,0.99089,0.99079,0.999995,73,0,-0.82625,0.071914
NUP133,10,0.0098859,0.051213,0.140081,33,8,-1.3636,0.17666,0.46447,0.939032,46,2,-1.3636,0.102426
RPL34,7,0.011116,0.049116,0.138418,34,6,-2.4739,0.9703,0.9796,0.999995,69,1,-2.4739,0.098232
RPS11,10,0.011147,0.056384,0.149821,35,8,-1.0128,0.84893,0.95835,0.999995,59,1,-1.0128,0.112768
COPS8,16,0.014329,0.085757,0.221539,36,12,-0.30036,0.072347,0.29145,0.645344,42,4,-0.30036,0.171514
RPL9,10,0.020932,0.096769,0.243231,37,8,-1.1904,0.97814,0.99212,0.999995,70,2,-1.1904,0.193538
RPL5,10,0.025359,0.11321,0.277073,38,8,-0.80823,0.95676,0.98709,0.999995,67,2,-0.80823,0.22642
PSMA3,10,0.036319,0.15052,0.358939,39,7,-1.1811,0.92728,0.98009,0.999995,66,3,-1.1811,0.30104
PSMB3,10,0.038263,0.15649,0.363846,40,7,-0.71067,0.67893,0.89306,0.999995,56,2,-0.71067,0.31298
COPS2,10,0.093893,0.3007,0.665838,41,7,-0.83138,0.98377,0.99393,0.999995,72,2,-0.83138,0.6014
RPL30,10,0.10327,0.32255,0.697599,42,7,-0.63488,0.68742,0.89664,0.999995,57,2,-0.63488,0.6451
RPL6,2,0.10372,0.1771,0.401714,43,2,-1.5293,0.89628,0.89696,0.999995,60,0,-1.5293,0.3542
RPS24,13,0.14303,0.42108,0.890004,44,8,-0.27102,0.90565,0.98264,0.999995,61,4,-0.27102,0.84216
RPL27,10,0.26836,0.5796,0.999995,45,6,-0.33448,0.11704,0.3552,0.75077,44,4,-0.33448,0.7104
RPS7,8,0.4426,0.71219,0.999995,46,4,-0.034052,0.47562,0.74817,0.999995,53,4,-0.034052,1
MRGPRD,10,0.9005,0.96981,0.999995,47,3,0.055237,0.36422,0.69503,0.999995,50,6,0.055237,1
LYZL6,10,0.90279,0.97066,0.999995,48,3,0.019453,0.54872,0.82663,0.999995,54,4,0.019453,1
IL1F10,10,0.90834,0.97267,0.999995,49,3,-0.0054581,0.92069,0.97812,0.999995,64,3,-0.0054581,1
KRT25,10,0.97847,0.99142,0.999995,50,2,0.16537,0.055617,0.21433,0.498317,40,7,0.16537,0.42866
CRYGB,10,0.99519,0.99582,0.999995,51,1,0.26118,0.0043361,0.025135,0.080604,29,9,0.26118,0.05027
OTUD6A,10,0.99613,0.99632,0.999995,52,1,0.22251,0.0155,0.077151,0.199306,36,8,0.22251,0.154302
PIWIL3,10,0.99671,0.99669,0.999995,53,1,0.16591,0.035937,0.15233,0.372807,38,8,0.16591,0.30466
TPH2,10,0.99677,0.99672,0.999995,54,1,0.17504,0.0057627,0.033122,0.093343,33,9,0.17504,0.066244
NPSR1,10,0.997,0.99691,0.999995,55,1,0.22416,0.0013157,0.008711,0.033755,24,9,0.22416,0.017422
DMRTB1,10,0.99717,0.99705,0.999995,56,1,0.11427,0.14902,0.4179,0.863665,45,7,0.11427,0.8358
RPTN,10,0.99732,0.99718,0.999995,57,1,0.20875,0.0087302,0.048068,0.127723,35,9,0.20875,0.096136
HTR3D,10,0.99742,0.99729,0.999995,58,1,0.15096,0.10948,0.3394,0.734048,43,7,0.15096,0.6788
DMRTC2,10,0.99765,0.99755,0.999995,59,1,0.081181,0.044541,0.18144,0.43267099999999997,39,8,0.081181,0.36288
OLIG2,10,0.99774,0.99765,0.999995,60,1,0.21139,0.0030356,0.018246,0.065263,26,9,0.21139,0.036492
IL22,10,0.99783,0.99775,0.999995,61,1,0.19531,0.0040907,0.024016,0.079769,28,9,0.19531,0.048032
OR9Q2,10,0.99818,0.99815,0.999995,62,0,0.20685,0.071528,0.25337,0.574711,41,7,0.20685,0.50674
RXFP2,10,0.99821,0.9982,0.999995,63,0,0.22202,0.004594,0.026602,0.082467,30,9,0.22202,0.053204
LUZP4,10,0.99825,0.99825,0.999995,64,0,0.24094,0.0023207,0.014432,0.053686,25,9,0.24094,0.028864
KRT74,10,0.99828,0.99828,0.999995,65,0,0.16273,0.028708,0.12704,0.319318,37,8,0.16273,0.25408
RNASE9,11,0.99829,0.99851,0.999995,66,1,0.17408,0.005121,0.031744,0.093343,31,10,0.17408,0.063488
OC90,10,0.99835,0.99831,0.999995,67,0,0.12631,0.32692,0.65376,0.999995,49,6,0.12631,1
NPHS2,10,0.99838,0.99833,0.999995,68,0,0.25758,0.005713,0.032812,0.093343,32,8,0.25758,0.065624
FCRL4,10,0.99859,0.99851,0.999995,69,0,0.18186,0.0083348,0.046181,0.126318,34,9,0.18186,0.092362
LHX5,10,0.99885,0.99884,0.999995,70,0,0.24309,0.0011209,0.0076926,0.031105,23,9,0.24309,0.0153852
FAM71B,10,0.99887,0.99885,0.999995,71,0,0.34957,2.7647e-6,3.4944e-5,0.001625,2,9,0.34957,6.9888e-5
CYP7A1,10,0.99898,0.99892,0.999995,72,0,0.19538,0.0034253,0.020442,0.070412,27,9,0.19538,0.040884
SAGE1,10,0.99914,0.99907,0.999995,73,0,0.29527,6.7881e-4,0.0047474,0.021024,21,10,0.29527,0.0094948
SPATA16,10,0.99917,0.99908,0.999995,74,0,0.16857,8.2563e-4,0.0059155,0.025006,22,10,0.16857,0.011831
TAAR8,10,0.99921,0.99912,0.999995,75,0,0.30169,8.8273e-5,7.0387e-4,0.007196,9,10,0.30169,0.00140774
CABP5,10,0.99945,0.99939,0.999995,76,0,0.25251,5.477e-4,0.0038688,0.01799,20,10,0.25251,0.0077376
ADH7,10,0.9995,0.99944,0.999995,77,0,0.25696,5.0126e-4,0.0035892,0.017568,19,10,0.25696,0.0071784
TRIM42,10,0.99955,0.99948,0.999995,78,0,0.25824,4.4821e-4,0.0032598,0.016842,18,10,0.25824,0.0065196
KRT9,10,0.99958,0.9995,0.999995,79,0,0.18908,4.1886e-4,0.0030701,0.016795,17,10,0.18908,0.0061402
TAS2R13,10,0.9996,0.99951,0.999995,80,0,0.26013,4.0027e-4,0.0029003,0.016795,16,10,0.26013,0.0058006
NLRP5,10,0.99977,0.99974,0.999995,81,0,0.36227,2.1149e-5,1.3478e-4,0.002863,4,10,0.36227,2.6956e-4
MAGEB3,10,0.99978,0.99975,0.999995,82,0,0.29844,2.1753e-4,0.0015825,0.009811,15,10,0.29844,0.003165
VN1R2,10,0.9998,0.99975,0.999995,83,0,0.29469,2.0225e-4,0.0014726,0.009782,14,10,0.29469,0.0029452
ABCG8,10,0.9998,0.99976,0.999995,84,0,0.25503,1.9738e-4,0.0014127,0.009782,13,10,0.25503,0.0028254
OR12D2,10,0.99981,0.99977,0.999995,85,0,0.24921,1.8795e-4,0.0013628,0.009782,12,10,0.24921,0.0027256
POU4F2,10,0.99982,0.99978,0.999995,86,0,0.33654,1.7893e-4,0.001273,0.009782,11,10,0.33654,0.002546
DEFB129,10,0.99989,0.99988,0.999995,87,0,0.29962,1.0513e-4,7.7375e-4,0.007196,10,10,0.29962,0.0015475
KRT77,10,0.99995,0.99994,0.999995,88,0,0.26433,4.9358e-5,3.8438e-4,0.004468,8,10,0.26433,7.6876e-4
PLA2G2E,10,0.99997,0.99996,0.999995,89,0,0.26972,2.7709e-5,1.847e-4,0.002863,7,10,0.26972,3.694e-4
TAAR1,10,0.99997,0.99997,0.999995,90,0,0.29411,2.5335e-5,1.5475e-4,0.002863,6,10,0.29411,3.095e-4
TGM6,14,0.99998,1,0.999995,91,0,0.31621,2.3257e-5,2.7456e-4,0.003648,5,14,0.31621,5.4912e-4
TAS2R9,10,0.99998,1,0.999995,92,0,0.26854,1.5495e-5,1.1482e-4,0.002863,3,10,0.26854,2.2964e-4
OR52E8,10,1,1,0.999995,93,0,0.38904,3.866e-9,4.992e-6,4.64e-4,1,10,0.38904,9.984e-6
