gene,nSGRNA,nSGRNA.good,beta,zstat,pval,FDR,bsta
NPSR1,10,10,0.4850606125888429,6.797191907216809,1.0667795747925781e-11,3.8157884790657603e-11,0.050559154580566715
CABP5,10,10,0.49153448153873047,7.070029057743918,1.5490125780765114e-12,7.582008934795555e-12,0.04778550513906507
OLIG2,10,10,0.49536074828947013,6.6165088166463395,3.67780949359459e-11,1.2215581532296317e-10,0.05407225639202503
OR12D2,10,10,0.4980250748380905,7.91370165039431,2.4984663269456884e-15,2.1123397127813547e-14,0.03898027195294722
TAS2R13,10,10,0.5109419273156997,8.01155681612657,1.1326538662185322e-15,1.053368095583235e-14,0.0389882303038253
LHX5,10,10,0.5111145636188433,7.032231665914865,2.03255949076083e-12,9.001334887655104e-12,0.050171138280346785
KRT77,10,10,0.5120543202634281,8.27554911052855,1.2786498267969232e-16,2.256022549195315e-15,0.03647115926297078
TRIM42,10,10,0.5163837642660606,6.975637964363106,3.044859060386959e-12,1.23118214180864e-11,0.05142637295248816
PLA2G2E,10,10,0.5183178530157617,8.536378315769543,1.3849438896126003e-17,4.293326057799061e-16,0.034465567728847214
ADH7,10,10,0.5216947691600716,7.021482091828254,2.1952695773660027e-12,9.28000321341083e-12,0.051350499779440124
TAAR8,10,10,0.5305404506284971,8.257984301106818,1.4815303355801462e-16,2.256022549195315e-15,0.03796221395053021
SAGE1,10,10,0.5317664843810354,7.778881491172992,7.31685627129867e-15,5.234366409467511e-14,0.043098803793790864
VN1R2,10,10,0.5329091314462165,8.241680757917102,1.698081488641635e-16,2.256022549195315e-15,0.03829490670373977
TGM6,14,14,0.5415644530616599,9.98145240406332,1.837570175010454e-23,1.708940262759722e-21,0.0316536074881496
TAS2R9,10,10,0.5427499685890937,8.162805436955377,3.273315312879843e-16,3.805229051222817e-15,0.039814986912738805
MAGEB3,10,10,0.5483006236931166,7.138877528598828,9.409612317753158e-13,5.147611444417904e-12,0.05237450977099175
DEFB129,10,10,0.5564882215527132,7.760868695176749,8.434961152196274e-15,5.603224193958954e-14,0.0453127592470897
FAM71B,10,10,0.5568001877541131,7.083583497374321,1.4047368783605732e-12,7.257807204862962e-12,0.05394330255560072
TAAR1,10,10,0.5600481603365154,8.440058700958392,3.1717833393710605e-17,7.374396264037715e-16,0.038200586502233465
POU4F2,10,10,0.5729035531297799,7.851765429549505,4.1022121567262025e-15,3.179214421462807e-14,0.04556611213623724
NLRP5,10,10,0.5925958268677242,7.618300399986698,2.5703756140249854e-14,1.5936328806954909e-13,0.05005916668222683
OR52E8,10,10,0.6292682560556314,9.546451972127102,1.3421415607134903e-21,6.24095825731773e-20,0.03182413073838944
