sgRNA	gene	counts	control mean	control stdev	fold change	p-value	p-value (adj.)	significant
POLA1-13	POLA1	380.34772321	1276.16538273	51.8947744826	0.298039523997	1.33713167604e-108	1.21768124632e-107	True
PSMD1-1	PSMD1	838.916057877	2264.1782054	82.0018579891	0.370516797607	2.02046265418e-107	1.81575788527e-106	True
POLR2D-12	POLR2D	754.502981346	2060.50162979	75.8570299296	0.36617441619	4.64990668582e-105	4.12452761872e-104	True
RPL36-26	RPL36	553.410826059	1627.79160404	62.7142011816	0.339976459324	8.83173815548e-105	7.73343225666e-104	True
COPZ1-9	COPZ1	674.978693031	1886.50497527	70.5889277947	0.357793221793	1.10253979721e-104	9.53208457591e-104	True
PSMD6-23	PSMD6	239.876541802	927.225337994	40.9294104579	0.258703609546	3.53846206808e-104	3.02096199062e-103	True
RPS24-8	RPS24	391.103057285	1258.07492905	51.3331366057	0.310874216038	1.76293116142e-102	1.48652096698e-101	True
NUP93-13	NUP93	327.874729691	1113.05223779	46.8070410991	0.294572634203	6.5086817033e-102	5.42125561385e-101	True
NUP133-6	NUP133	514.30052033	1519.56086095	59.4009987119	0.338453387124	7.9513161883e-102	6.54307103206e-101	True
NUP54-6	NUP54	202.395832145	827.32032851	37.720137848	0.244640226005	1.24249840082e-101	1.01026953305e-100	True
POLR2A-11	POLR2A	148.945080983	685.543502204	33.0820741493	0.217265688471	7.23364353205e-99	5.81244533222e-98	True
RPL6-3	RPL6	513.974601116	1486.41443681	58.3836141809	0.345781491613	5.60281267922e-98	4.44967565106e-97	True
RPS24-16	RPS24	631.631437516	1729.82941667	65.8268880859	0.365140881193	1.51221665608e-97	1.18717698403e-96	True
RPL5-24	RPL5	657.704974668	1766.98000402	66.9578370715	0.372219817526	9.91400243447e-96	7.69461779857e-95	True
RPL34-10	RPL34	102.664552537	544.93303357	28.3422877845	0.188398475065	1.76403833051e-92	1.35375076375e-91	True
COPB1-1	COPB1	263.342725239	914.10138834	40.5101024293	0.288089186384	2.12737455554e-92	1.61444091271e-91	True
RPS24-19	RPS24	419.458028938	1242.4441333	50.8473750849	0.337607154878	7.57224046352e-92	5.68334091932e-91	True
NUP205-2	NUP205	541.67773434	1465.86167872	57.7520863525	0.369528545704	2.18534733012e-88	1.62238285486e-87	True
PSMD1-27	PSMD1	585.676828285	1551.39775278	60.3769538885	0.37751558376	4.99768207697e-88	3.67034070814e-87	True
PSMA3-12	PSMA3	663.897439742	1703.07268998	65.0116061078	0.389823313854	1.45392617014e-87	1.0564165683e-86	True
RPL3-15	RPL3	454.005465665	1276.42487318	51.9028263421	0.355685223004	1.08050641146e-86	7.76827241084e-86	True
RPS27-6	RPS27	670.741743244	1707.47872829	65.1459029924	0.392825826835	1.49516708127e-86	1.0637490797e-85	True
PSMC2-40	PSMC2	551.781229987	1430.47625227	56.6634977769	0.38573253426	9.27433884693e-82	6.53028188913e-81	True
RPS27-1	RPS27	734.947828482	1780.39975967	67.3660794817	0.412799330313	3.53389651051e-81	2.46290950682e-80	True
PSMD7-9	PSMD7	528.966884978	1373.95751525	54.9211567078	0.384995081076	2.27383621797e-80	1.56871730998e-79	True
RPS19-32	RPS19	437.057666516	1191.55430091	49.2625703025	0.366796264494	7.06635551412e-80	4.82632081614e-79	True
RPL27-15	RPL27	699.096714897	1694.79757177	64.7593311068	0.412495702461	2.64210206926e-79	1.78668882506e-78	True
RPS11-8	RPS11	605.883819578	1511.22747082	59.1453426145	0.400921655592	5.78956688859e-79	3.87673939696e-78	True
RPL5-10	RPL5	428.909686156	1164.94592727	48.4318110374	0.36817990957	1.14033776636e-78	7.56165722742e-78	True
COPZ1-8	COPZ1	907.359092902	2078.96795432	76.4150497515	0.436446887513	2.72971279253e-78	1.79268638202e-77	True
RPS11-10	RPS11	33.895598298	308.777189735	19.7920991563	0.109773647228	1.95060576801e-77	1.2688226091e-76	True
RPL11-14	RPL11	359.162974274	1006.92972983	43.4631208496	0.356691200621	1.85791202134e-75	1.19712633073e-74	True
RPS3A-19	RPS3A	455.635061737	1152.89378033	48.0550142628	0.395209922641	4.29650046464e-70	2.74253253958e-69	True
PSMD1-5	PSMD1	188.055386711	633.807938417	31.3576660231	0.296707212568	6.01588492774e-70	3.80449019041e-69	True
PSMD7-2	PSMD7	585.676828285	1393.38313187	55.5205245235	0.420327198521	7.06438508373e-70	4.42658257999e-69	True
RPL27-20	RPL27	570.684544422	1353.72410685	54.2962590399	0.421566360187	1.6851582928e-68	1.04633010362e-67	True
RPS7-19	RPS7	656.40129781	1502.27153049	58.8704940163	0.436939184753	1.55520075584e-67	9.56938843459e-67	True
COPB1-6	COPB1	749.940112344	1613.69130244	62.2832721699	0.464735796252	5.74737806492e-62	3.50487430209e-61	True
NUP133-4	NUP133	391.4289765	971.403522427	42.3363885093	0.40295198387	1.63097676586e-61	9.85802770867e-61	True
RPS24-11	RPS24	531.900157908	1186.30553867	49.0988145326	0.448366917771	4.40703703279e-57	2.64035639772e-56	True
RPL18A-12	RPL18A	304.082627039	766.473934274	35.7434109899	0.396729247325	2.19135032459e-54	1.30147154061e-53	True
RPL11-15	RPL11	670.089904815	1388.78063328	55.3785672024	0.482502339648	3.90548270514e-53	2.29952128242e-52	True
PSMC2-32	PSMC2	396.317764716	896.46123245	39.9454781599	0.442091359191	7.0640096932e-50	4.12369112859e-49	True
COPS4-20	COPS4	861.078564456	1598.63039561	61.8227580993	0.538635175974	1.22595627992e-43	7.09600117955e-43	True
RPS19-10	RPS19	550.803472343	1084.66848662	45.9156214238	0.507808126757	8.80545245181e-42	5.05388573494e-41	True
COPZ1-15	COPZ1	1103.56245997	1954.58354537	72.6524615714	0.564602348456	9.03855171192e-42	5.14444234937e-41	True
PSMD1-2	PSMD1	287.460747105	650.728641123	31.9238765033	0.441752105162	7.89542975692e-41	4.4566764661e-40	True
RPS7-15	RPS7	531.900157908	1043.43487653	44.6168974289	0.509758845398	1.46158962314e-40	8.18250584101e-40	True
POLR2F-3	POLR2F	581.113959283	1107.05380382	46.6188218925	0.524919346537	6.67032258588e-39	3.70392709444e-38	True
NUP54-26	NUP54	584.047232213	1088.41197536	46.033305919	0.536604930334	1.83647948275e-36	1.01154474735e-35	True
PSMD7-24	PSMD7	869.552464031	1521.51047742	59.460798069	0.571506063833	2.91953380031e-36	1.59523326849e-35	True
PSMD6-13	PSMD6	802.413105863	1417.83654802	56.2742409862	0.56594189717	4.26692398242e-36	2.31294371428e-35	True
RPS24-18	RPS24	1386.46033808	2279.43465591	82.4613241379	0.608247459292	4.78292074525e-35	2.57223218032e-34	True
NUP93-6	NUP93	417.176594438	813.361936478	37.2682972538	0.512904004636	1.61238738437e-34	8.60359830879e-34	True
COPA-8	COPA	597.084000789	1082.18113823	45.8374063647	0.551741274816	8.56845212892e-34	4.53663008066e-33	True
NUP54-11	NUP54	582.417636141	1048.06428147	44.7629395408	0.555707933605	1.24576931666e-32	6.54508033289e-32	True
POLR2D-14	POLR2D	537.766703767	974.032634346	42.4199106799	0.552103373957	5.77135034159e-32	3.00903227733e-31	True
PSMD6-3	PSMD6	959.832086421	1569.48781049	60.9309852851	0.611557528517	9.30763352017e-30	4.81599522294e-29	True
RPS24-4	RPS24	646.623721378	1112.42656949	46.787412959	0.581273172641	1.18414680849e-29	6.08099451276e-29	True
RPL9-22	RPL9	598.713596861	1030.32894076	44.2031202462	0.581089759955	1.59251484815e-28	8.11707194991e-28	True
PSMB3-14	PSMB3	1104.2142984	1730.32199642	65.8418911195	0.638155384191	1.26858452054e-26	6.4180979817e-26	True
RPL35A-9	RPL35A	1510.30963955	2300.25724478	83.0882540203	0.656582929139	1.54835589542e-26	7.77593438657e-26	True
RPS24-10	RPS24	766.236073065	1240.60278359	50.790120738	0.617632076278	8.76623419206e-26	4.37031967385e-25	True
POLA1-24	POLA1	1032.83799045	1564.23341372	60.7701003027	0.660283805084	1.8538109887e-22	9.17502105278e-22	True
RPL18A-5	RPL18A	421.739463439	709.71462612	33.881203051	0.594238089392	1.32804693697e-21	6.52558315071e-21	True
RPS27-9	RPS27	1489.12489061	2159.0643686	78.8332629391	0.689708427533	4.60086073293e-21	2.24456277185e-20	True
POLA1-18	POLA1	925.936488123	1331.68313232	53.6148072053	0.695312920657	7.30510596241e-17	3.53857260449e-16	True
RPL5-7	RPL5	1006.76445329	1432.88957163	56.7377941118	0.702611333925	1.39223117106e-16	6.69643584389e-16	True
RPS7-18	RPS7	677.911965961	1000.57899438	43.2619948761	0.677519685871	1.79404464706e-16	8.56875869888e-16	True
NUP98-4	NUP98	1173.96101028	1642.92768501	63.1765612014	0.714554280746	3.39446323119e-16	1.61001276868e-15	True
PSMC1-7	PSMC1	770.798942066	1114.33665136	46.8473320641	0.691711020296	6.81372135616e-16	3.20949771466e-15	True
RPS8-12	RPS8	1129.63599713	1572.68452159	61.0288508078	0.718285187921	1.69110476662e-15	7.91112709317e-15	True
RPS19-1	RPS19	663.245601313	965.31196833	42.1427830239	0.687079020123	3.41292066442e-15	1.58573116585e-14	True
POLR2A-7	POLR2A	552.107149201	819.605208227	37.4705095937	0.673625720846	4.14451550291e-15	1.91263789762e-14	True
RPL35A-14	RPL35A	834.027269661	1132.07833314	47.403467655	0.736722226056	8.09796261051e-12	3.71201910267e-11	True
RPL3-24	RPL3	1184.06450593	1562.133101	60.7057819945	0.75797926897	1.38673421999e-11	6.31426314836e-11	True
RPS8-15	RPS8	475.84205303	670.310077614	32.5763824344	0.709883483661	6.58655547793e-11	2.97921681552e-10	True
NUP54-2	NUP54	762.650961706	1023.47244411	43.9864515032	0.745160229858	1.12416863719e-10	5.05136302104e-10	True
RPL3-20	RPL3	1274.99596675	1646.49066462	63.2853658913	0.774371816462	1.88788984778e-10	8.42763899368e-10	True
RPL34-7	RPL34	1635.13669867	2072.45833134	76.2183624249	0.788984113187	5.5451882371e-10	2.45932699087e-09	True
COPS4-16	COPS4	1986.15169258	2487.81481632	88.7272319049	0.798351902863	1.01087608699e-09	4.45437656397e-09	True
RPL3-11	RPL3	1058.9115276	1297.25675289	52.5488411645	0.81626981339	9.36352696288e-07	4.0995441767e-06	True
PSMB3-2	PSMB3	1832.31782338	2195.06785143	79.9191688594	0.834743136613	1.00694979412e-06	4.38055228906e-06	True
RPS24-1	RPS24	1110.73268269	1349.92253298	54.1787788331	0.822812165553	1.84251444992e-06	7.94773939681e-06	True
NUP133-9	NUP133	1261.30735974	1524.76080849	59.5604833819	0.827216539615	1.85020580394e-06	7.94773939681e-06	True
NUP133-11	NUP133	903.122143114	1108.41180828	46.6614411708	0.814789355696	2.09617460591e-06	8.94804534897e-06	True
NUP54-12	NUP54	1440.23700845	1726.55314632	65.7270937622	0.834168940307	2.66840502419e-06	1.13200039225e-05	True
RPS19-6	RPS19	1458.81440367	1728.32598708	65.7810951909	0.84406206617	9.49245368621e-06	4.00206535042e-05	True
POLA1-8	POLA1	0.977757643213	11.5531038289	3.41602520263	0.0846315983733	1.01765163511e-05	4.26414764895e-05	True
NUP205-20	NUP205	454.657304094	572.373361805	29.2813860431	0.794336938847	1.24071322714e-05	5.16711667157e-05	True
NUP98-8	NUP98	1561.153037	1823.82607621	68.6861555593	0.855976925302	3.62595768267e-05	0.000150092672562	True
RPS19-11	RPS19	843.153007664	993.111945012	43.0253561395	0.849000973051	0.000156757318737	0.000644971377693	True
NUP98-6	NUP98	666.830712671	786.916228397	36.4096261633	0.847397332279	0.000308923318805	0.00126344087871	True
POLR2F-4	POLR2F	1328.1207987	1497.75385205	58.7318139044	0.88674170117	0.00153164633632	0.00622687171253	True
POLR2F-13	POLR2F	948.750833131	1078.55887303	45.7234749222	0.879646773908	0.00172942557225	0.00698933530085	True
RPS7-7	RPS7	1595.70047372	1770.87077297	67.0762134777	0.901082392954	0.0037131116487	0.0149179720945	False
COPA-10	COPA	5.54062664487	13.6088413353	3.71079079381	0.40713434071	0.00743400101534	0.0296925303712	False
NUP54-3	NUP54	800.783509791	889.54414685	39.7237464919	0.900217839246	0.0110963269732	0.0438571754648	False
POLR2F-6	POLR2F	2031.7803826	2211.98357902	80.4291455894	0.918533212394	0.0111087721163	0.0438571754648	False
PSMD7-19	PSMD7	1805.5924478	1950.61107873	72.532137463	0.925654769159	0.0210551171984	0.0826473853248	False
NUP54-5	NUP54	1054.02273938	1148.16074796	47.9069522818	0.918009731	0.0235178418396	0.0917867770084	False
POU4F2-15	POU4F2	937.995499056	1021.71245388	43.930812734	0.918062117667	0.0257938002596	0.100097531689	False
TAS2R13-10	TAS2R13	0.0	3.52260798952	1.87973503019	0.221111359268	0.0296818035564	0.11453486909	False
RPS7-10	RPS7	2.28143450083	5.94219270647	2.44395429181	0.383938154403	0.0650706973678	0.24968138372	False
PSMC1-2	PSMC1	541.025895911	585.359486576	29.7231539136	0.924262625478	0.0681554548549	0.260056847295	False
DMRTC2-13	DMRTC2	466.716315027	502.066169076	26.8583476837	0.929591244688	0.0911793902732	0.34597513087	False
LUZP4-8	LUZP4	862.708160528	906.983231234	40.2824088232	0.95118424555	0.134174830067	0.506306126718	False
NUP54-7	NUP54	1562.13079464	1630.16329748	62.7866642235	0.958266449168	0.140178387438	0.526054058353	False
PSMB2-9	PSMB2	11.4071725042	15.6900663342	3.98801262072	0.727031502686	0.144859050475	0.540648805873	False
RPS7-13	RPS7	858.471210741	899.666797153	40.0481707893	0.954210173653	0.151803482002	0.563487925039	False
RPS19-9	RPS19	15.6441222914	20.0701474615	4.51891561013	0.779472214711	0.155153140005	0.572808619584	False
RPL9-13	RPL9	808.279651723	846.097302886	38.3265324887	0.955303425464	0.163362112105	0.599872701976	False
TAS2R9-6	TAS2R9	0.0	1.42137284185	1.19295034711	0.412988856039	0.241594465398	0.882401175757	False
PSMD7-1	PSMD7	637.823902589	659.014945478	32.2003477293	0.967844366756	0.253971604834	0.922673436711	False
COPS8-2	COPS8	1074.22973068	1100.70576624	46.4195360827	0.975946309748	0.288618398579	1.0	False
COPA-11	COPA	971.891097354	994.920140547	43.0826757289	0.976853375206	0.295918087113	1.0	False
COPA-2	COPA	945.491640987	960.482342033	41.9891968899	0.984392528223	0.364087040476	1.0	False
RPL34-11	RPL34	2021.02504852	2036.9317013	75.1445038523	0.992190875732	0.422421899481	1.0	False
TPH2-9	TPH2	0.0	0.233173230408	0.482929117808	0.810916078408	0.792035090125	1.0	False
COPA-5	COPA	0.0	0.0	0.0	1.0	1.0	1.0	False
COPA-6	COPA	0.0	0.0	0.0	1.0	1.0	1.0	False
CYP7A1-1	CYP7A1	0.0	0.0	0.0	1.0	1.0	1.0	False
POLA1-1	POLA1	0.0	0.0	0.0	1.0	1.0	1.0	False
RPL27-16	RPL27	0.0	0.0	0.0	1.0	1.0	1.0	False
RPL35A-19	RPL35A	0.0	0.0	0.0	1.0	1.0	1.0	False
RPL35A-6	RPL35A	0.0	0.0	0.0	1.0	1.0	1.0	False
RPL35A-8	RPL35A	0.0	0.0	0.0	1.0	1.0	1.0	False
RPL36-13	RPL36	0.0	0.0	0.0	1.0	1.0	1.0	False
RPL36-7	RPL36	0.0	0.0	0.0	1.0	1.0	1.0	False
RPL9-15	RPL9	0.0	0.0	0.0	1.0	1.0	1.0	False
RPL9-24	RPL9	0.0	0.0	0.0	1.0	1.0	1.0	False
RPL9-26	RPL9	0.0	0.0	0.0	1.0	1.0	1.0	False
RPL9-7	RPL9	0.0	0.0	0.0	1.0	1.0	1.0	False
RPS19-15	RPS19	0.0	0.0	0.0	1.0	1.0	1.0	False
RPS24-13	RPS24	0.0	0.0	0.0	1.0	1.0	1.0	False
RPS24-15	RPS24	0.0	0.0	0.0	1.0	1.0	1.0	False
RPS24-20	RPS24	0.0	0.0	0.0	1.0	1.0	1.0	False
RPS24-3	RPS24	0.0	0.0	0.0	1.0	1.0	1.0	False
RPS24-9	RPS24	0.0	0.0	0.0	1.0	1.0	1.0	False
SPATA16-3	SPATA16	0.0	0.0	0.0	1.0	1.0	1.0	False
SPATA16-6	SPATA16	0.0	0.0	0.0	1.0	1.0	1.0	False
TAAR1-8	TAAR1	0.0	0.0	0.0	1.0	1.0	1.0	False
TAAR1-9	TAAR1	0.0	0.0	0.0	1.0	1.0	1.0	False
TPH2-3	TPH2	0.0	0.0	0.0	1.0	1.0	1.0	False
VN1R2-7	VN1R2	0.0	0.0	0.0	1.0	1.0	1.0	False
COPS2-8	COPS2	1031.20839438	1027.7546595	44.1217877257	1.00336046628	1.0	1.0	False
COPZ1-10	COPZ1	3077.98106083	3053.67645795	105.671659346	1.00795912835	1.0	1.0	False
POLR2D-8	POLR2D	2277.84938947	2250.80658903	81.5990691403	1.01201471533	1.0	1.0	False
RPS9-19	RPS9	2314.02642227	2283.32492602	82.5784675742	1.01344596027	1.0	1.0	False
RPL34-9	RPL34	2386.70640708	2354.29619389	84.7143962469	1.01376641277	1.0	1.0	False
RPL6-1	RPL6	1011.00140308	995.075156321	43.0875892347	1.01600506922	1.0	1.0	False
PSMD6-10	PSMD6	435.10215123	425.821362329	24.1573081136	1.02179502891	1.0	1.0	False
PSMC1-23	PSMC1	1813.41450895	1774.592659	67.1894398953	1.02187648515	1.0	1.0	False
MRGPRD-9	MRGPRD	1602.21885801	1565.59287583	60.8117287696	1.02339432093	1.0	1.0	False
RPL5-5	RPL5	520.167066189	507.326382896	27.0416437277	1.02531049779	1.0	1.0	False
NUP54-13	NUP54	2204.84348545	2148.74790205	78.5219858532	1.0261061725	1.0	1.0	False
RPS7-32	RPS7	1380.267873	1343.1403599	53.9691325192	1.02764231811	1.0	1.0	False
COPS8-23	COPS8	1687.60969219	1631.52685205	62.828322731	1.03437445119	1.0	1.0	False
PSMD6-25	PSMD6	1816.67370109	1751.1458668	66.4759536563	1.03741997485	1.0	1.0	False
RPL6-21	RPL6	1279.55883575	1224.53485353	50.2902326339	1.04493459869	1.0	1.0	False
RPS8-1	RPS8	1142.02092727	1091.25436973	46.1226386019	1.04652128683	1.0	1.0	False
RPS19-22	RPS19	796.22064079	759.455392664	35.5141551901	1.04841001655	1.0	1.0	False
RPL5-12	RPL5	1297.81031176	1229.90240729	50.457277881	1.05521405932	1.0	1.0	False
PSMC4-6	PSMC4	1577.77491693	1489.47485972	58.4776064631	1.05928267714	1.0	1.0	False
RNASE9-5	RNASE9	1325.51344498	1248.59423638	51.0385578393	1.06160464814	1.0	1.0	False
MAGEB3-1	MAGEB3	613.054042295	576.589971871	29.425009078	1.0632409029	1.0	1.0	False
DEFB129-2	DEFB129	1156.68729192	1086.847687	45.9841335864	1.06425887064	1.0	1.0	False
NPHS2-1	NPHS2	1002.20158429	936.110836138	41.2129429214	1.07060141342	1.0	1.0	False
RPS19-34	RPS19	822.294177942	766.554897297	35.7460540075	1.07271401023	1.0	1.0	False
