gene	aRRA	p_value	p_value (adj.)	significant	# sgRNAs	# signif. sgRNAs	avg. logFC
ABCG8	1.0	1.0	1.0	False	10	0	0.510816772343
CABP5	1.0	1.0	1.0	False	10	0	0.375299802872
KRT74	1.0	1.0	1.0	False	10	0	0.0909487764085
KRT77	1.0	1.0	1.0	False	10	0	0.328910672637
PIWIL3	1.0	1.0	1.0	False	10	0	0.290725749535
KRT9	1.0	1.0	1.0	False	10	0	0.308428197753
NLRP5	1.0	1.0	1.0	False	10	0	0.442790629476
CYP7A1	1.0	1.0	1.0	False	10	0	0.324330908847
IL1F10	1.0	1.0	1.0	False	10	0	0.322007396632
PLA2G2E	1.0	1.0	1.0	False	10	0	0.283656044982
OLIG2	1.0	1.0	1.0	False	10	0	0.453606471867
TAAR1	1.0	1.0	1.0	False	10	0	0.476401406793
TAAR8	1.0	1.0	1.0	False	10	0	0.487757191517
HTR3D	1.0	1.0	1.0	False	10	0	0.545218723354
OC90	1.0	1.0	1.0	False	10	0	0.456918750339
OR52E8	1.0	1.0	1.0	False	10	0	0.566974422824
LUZP4	1.0	1.0	1.0	False	10	0	0.518230756898
POU4F2	1.0	1.0	1.0	False	10	0	0.479342996948
NPSR1	1.0	1.0	1.0	False	10	0	0.533278573285
TAS2R13	1.0	1.0	1.0	False	10	0	0.3128599546
DEFB129	1.0	1.0	1.0	False	10	0	0.423273401982
