gene	aRRA	p_value	p_value (adj.)	significant	# sgRNAs	# signif. sgRNAs	avg. logFC
RPL18A	0.00044972755084	0.0208333333333	0.0717592592593	False	8	6	-0.879799430391
RPL3	0.000495166616894	0.0208333333333	0.0717592592593	False	11	7	-0.285822571762
NUP205	0.000525576037434	0.0208333333333	0.0717592592593	False	10	6	-0.721034252245
RPL34	0.000587058973562	0.0416666666667	0.125	False	7	5	-1.95251190414
COPS8	0.000625532581918	0.0416666666667	0.125	False	16	7	-0.044400039094
PSMA3	0.00065219623463	0.0416666666667	0.125	False	10	6	-0.652467458043
POLA1	0.000703551109429	0.0416666666667	0.125	False	10	5	-0.559758823942
COPS2	0.000820017245754	0.0520833333333	0.142463235294	False	10	5	-0.497661315205
COPS6	0.000963166417497	0.0520833333333	0.142463235294	False	10	6	-0.582053898255
NUP54	0.000982461283833	0.0520833333333	0.142463235294	False	11	6	-0.403589415478
NUP133	0.00102201838904	0.0625	0.166071428571	False	10	6	-0.610563594921
RPS11	0.00126469460969	0.104166666667	0.261824324324	False	10	5	-0.391253775654
RPL30	0.00128988693755	0.104166666667	0.261824324324	False	10	5	-0.275065437847
RPL5	0.00209977721284	0.208333333333	0.509868421053	False	10	5	-0.191540067307
PSMC4	0.00217584825068	0.21875	0.521634615385	False	10	5	-0.286890673362
PSMB3	0.00597820731743	0.416666666667	0.96875	False	10	4	0.0203846758052
RPS3A	0.00773545545137	0.479166666667	1.0	False	6	4	-0.590204640708
RPL27	0.0137369412582	0.635416666667	1.0	False	10	4	0.0237430105233
RPS24	0.0305612974691	0.75	1.0	False	13	2	0.249869207739
RPS27	0.0332433877533	0.760416666667	1.0	False	5	3	-0.383473261488
RPS7	0.0910645237087	0.916666666667	1.0	False	8	2	0.286741712283
RPL6	0.102719916494	0.927083333333	1.0	False	2	2	-1.39890811048
KRT25	0.112270321953	0.947916666667	1.0	False	10	2	0.130459449129
LYZL6	0.120071985369	0.947916666667	1.0	False	10	2	0.1264770151
MRGPRD	0.30593132154	0.96875	1.0	False	10	1	0.0982854568972
FCRL4	0.318418314256	0.96875	1.0	False	10	1	0.332398174045
RPTN	0.319458896982	0.96875	1.0	False	10	1	0.294435839342
ADH7	0.336108220604	0.96875	1.0	False	10	1	0.345629727329
CYP7A1	0.339229968783	0.96875	1.0	False	10	1	0.436600350676
IL1F10	0.34547346514	0.979166666667	1.0	False	10	1	0.210269525224
TGM6	1.0	1.0	1.0	False	14	0	0.411940306666
IL22	1.0	1.0	1.0	False	10	0	0.244964120484
FAM71B	1.0	1.0	1.0	False	10	0	0.651047474039
LHX5	1.0	1.0	1.0	False	10	0	0.306794783783
OR12D2	1.0	1.0	1.0	False	10	0	0.442316046724
RXFP2	1.0	1.0	1.0	False	10	0	0.468183462693
SAGE1	1.0	1.0	1.0	False	10	0	0.47506644503
RNASE9	1.0	1.0	1.0	False	11	0	0.299997077945
DMRTC2	1.0	1.0	1.0	False	10	0	0.161201553933
OR9Q2	1.0	1.0	1.0	False	10	0	0.322641103099
OTUD6A	1.0	1.0	1.0	False	10	0	0.292500833951
TAS2R9	1.0	1.0	1.0	False	10	0	0.549042943177
DMRTB1	1.0	1.0	1.0	False	10	0	0.338486904509
CRYGB	1.0	1.0	1.0	False	10	0	0.473400406852
VN1R2	1.0	1.0	1.0	False	10	0	0.331792365072
SPATA16	1.0	1.0	1.0	False	10	0	0.61658160865
NPHS2	1.0	1.0	1.0	False	10	0	0.317544727072
TRIM42	1.0	1.0	1.0	False	10	0	0.612767750308
MAGEB3	1.0	1.0	1.0	False	10	0	0.472092039449
ABCG8	1.0	1.0	1.0	False	10	0	0.606578345611
CABP5	1.0	1.0	1.0	False	10	0	0.343426866248
TPH2	1.0	1.0	1.0	False	10	0	0.288499779067
KRT74	1.0	1.0	1.0	False	10	0	0.170099640455
KRT77	1.0	1.0	1.0	False	10	0	0.146492933675
PIWIL3	1.0	1.0	1.0	False	10	0	0.202715830474
KRT9	1.0	1.0	1.0	False	10	0	0.201381312634
NLRP5	1.0	1.0	1.0	False	10	0	0.499538987845
PLA2G2E	1.0	1.0	1.0	False	10	0	0.21586055803
OLIG2	1.0	1.0	1.0	False	10	0	0.60799789184
TAAR1	1.0	1.0	1.0	False	10	0	0.384056980222
TAAR8	1.0	1.0	1.0	False	10	0	0.490991429886
HTR3D	1.0	1.0	1.0	False	10	0	0.618530413178
OC90	1.0	1.0	1.0	False	10	0	0.478580536393
OR52E8	1.0	1.0	1.0	False	10	0	0.519372129251
LUZP4	1.0	1.0	1.0	False	10	0	0.527772817127
POU4F2	1.0	1.0	1.0	False	10	0	0.572131813094
NPSR1	1.0	1.0	1.0	False	10	0	0.419678295682
TAS2R13	1.0	1.0	1.0	False	10	0	0.429850452008
DEFB129	1.0	1.0	1.0	False	10	0	0.483070891004
