sgrna,Gene,control_count,treatment_count,control_mean,treat_mean,LFC,control_var,adj_var,score,p.low,p.high,p.twosided,FDR,high_in_treatment
TRCN0000077973,MRGPRD,1567.5/1443.9/1346.2,12124/11645/11098,1449.7,11615,3.0012,12317,3749e3,5.2499,1,9.8449e-8,1.969e-7,7.1641e-6,True
TRCN0000151829,LYZL6,1824.8/2274.7/2319.6,15980/16535/17856,2127.4,16772,2.9783,75090,8321800,5.0765,1,2.4975e-7,4.9949e-7,1.6876e-5,True
TRCN0000060916,HTR3D,2657.8/2342/1354.6,17072/15356/15401,2035.4,15924,2.9672,472410,7590900,5.0408,1,3.0104e-7,6.0208e-7,1.8986e-5,True
TRCN0000115829,MAGEB3,2193.9/2390.2/2844.6,15978/19703/20900,2461.7,18738,2.9278,111720,11272e3,4.848,1,8.1149e-7,1.623e-6,4.798e-5,True
TRCN0000063067,OR9Q2,779.18/818.38/851.8,5951.9/5912.2/5956.5,815.91,5940.2,2.8625,1321.6,1134900,4.8102,1,9.6907e-7,1.9381e-6,5.3926e-5,True
TRCN0000115827,MAGEB3,1972.1/2271.6/2514.2,14609/16822/19172,2241.6,16764,2.9023,73913,9277200,4.7681,1,1.2091e-6,2.4182e-6,6.3544e-5,True
TRCN0000014036,TAS2R13,1303.5/1432.2/1635.4,9191.9/11361/11065,1450.7,10494,2.8538,28058,3754300,4.6671,1,1.9759e-6,3.9519e-6,9.5481e-5,True
TRCN0000117775,RPL27,998.58/1106.4/1256.3,7750.5/7927.5/8271.4,1115.5,7980.2,2.8376,16788,2174100,4.6557,1,2.0826e-6,4.1653e-6,9.5481e-5,True
TRCN0000019571,POU4F2,3588.5/3878.7/4293.4,26424/29199/32184,3909.6,29174,2.8993,125670,29494e3,4.6521,1,2.1496e-6,4.2993e-6,9.5481e-5,True
TRCN0000134304,OTUD6A,1232.6/1269/1089.2,8673.6/9344.4/7694.4,1194.4,8543.6,2.8376,9045.6,2505900,4.6426,1,2.2205e-6,4.441e-6,9.5481e-5,True
TRCN0000117135,KRT9,1032.2/938.91/759.27,6880/6197.5/5820.1,902.81,6284.1,2.7979,19323,1400600,4.5471,1,3.4986e-6,6.9973e-6,1.439e-4,True
TRCN0000142913,PSMD6,845.18/996.4/1217.7,6787.8/7043.7/7226.3,1008.4,7017,2.7975,35293,1762700,4.5256,1,3.8787e-6,7.7575e-6,1.5289e-4,True
TRCN0000151618,NLRP5,2699.9/2777.8/2919.2,18868/22106/19421,2797.5,20083,2.8433,12356,14706e3,4.5076,1,4.2733e-6,8.5465e-6,1.617e-4,True
TRCN0000009303,OR12D2,2005.1/2164/2687.6,13916/16726/17222,2267.7,15885,2.8078,128010,9503700,4.4173,0.99999,6.4989e-6,1.2998e-5,2.3646e-4,True
TRCN0000052955,POLA1,5707.3/6405.5/7453.1,41490/47537/51791,6483,46746,2.8499,774460,84419e3,4.3822,0.99999,7.7332e-6,1.5466e-5,2.7095e-4,True
TRCN0000151634,PIWIL3,12108/12985/15763,90659/99920/1.0855e+05,13533,99440,2.8773,3651200,38998e4,4.3502,0.99999,9.0277e-6,1.8055e-5,3.0501e-4,True
TRCN0000135976,DEFB129,992.46/1078.6/1192.8,6620/7769.3/7421.5,1084.9,7254,2.7401,10118,2052e3,4.3066,0.99999,1.0689e-5,2.1377e-5,3.4867e-4,True
TRCN0000009001,RXFP2,3580.6/3714.2/4389.6,22167/26621/28162,3879.3,25519,2.7174,188450,2902e4,4.017,0.99996,3.8554e-5,7.7109e-5,0.0012157,True
TRCN0000051555,PLA2G2E,666.74/498.82/288.16,2998.2/2657.7/2650,457.63,2764,2.5919,37070,341200,3.9484,0.99995,5.0212e-5,1.0042e-4,0.0015323,True
TRCN0000115742,LUZP4,2497.7/2928.6/3144.4,16000/18452/19671,2843.9,17975,2.6596,108690,15217e3,3.8788,0.99993,6.8426e-5,1.3685e-4,0.0019615,True
TRCN0000117562,RPL9,968.63/1079.8/1218.2,6455.4/6282.3/7101.9,1084.1,6604,2.6057,15669,2049e3,3.8562,0.99993,7.4252e-5,1.485e-4,0.0020659,True
TRCN0000026463,ADH7,2335.1/2326.6/2415.8,14020/14688/15216,2358.8,14633,2.6326,2425.6,10315e3,3.8217,0.99991,8.6204e-5,1.7241e-4,0.00233,True
TRCN0000014257,VN1R2,3260.3/3583.8/4308.2,21272/24254/24146,3692.3,23181,2.65,288830,26188e3,3.8084,0.99991,9.1454e-5,1.8291e-4,0.0024032,True
TRCN0000011512,TAAR8,2329/2478.6/3022.3,14367/16748/16472,2593.6,15826,2.6088,133500,12565e3,3.733,0.99988,1.2322e-4,2.4645e-4,0.0031505,True
TRCN0000019520,DMRTB1,1362.2/1484.1/1162.7,8313.2/7283.4/7758.4,1329.6,7773.7,2.5467,26392,3132e3,3.6412,0.99982,1.7534e-4,3.5068e-4,0.004365,True
TRCN0000134360,OTUD6A,1189.9/1160.2/1150,6700.6/7260.6/6340,1166.6,6756.6,2.533,428.52,2386200,3.6187,0.99981,1.9101e-4,3.8202e-4,0.0046333,True
TRCN0000014255,VN1R2,8921.8/10008/11417,55721/64321/66071,10065,61867,2.6198,1569200,21069e4,3.5689,0.99976,2.3711e-4,4.7422e-4,0.0054709,True
TRCN0000137295,SPATA16,817.68/751.01/663.04,4383.7/4097.4/4051.1,741.18,4174.8,2.4922,6027.4,929440,3.5616,0.99976,2.3656e-4,4.7313e-4,0.0054709,True
TRCN0000072559,COPS6,1161.1/1230.7/1477.3,6174/8397.1/7545.9,1282.8,7313.7,2.5104,27676,2907200,3.537,0.99974,2.6136e-4,5.2271e-4,0.0056574,True
TRCN0000135872,OTUD6A,745.57/550.12/468.99,3738.6/2802.8/3138.9,577.26,3204,2.4705,20393,552840,3.5328,0.99974,2.6313e-4,5.2627e-4,0.0056574,True
TRCN0000019523,DMRTB1,262.78/194.71/188.23,1204.5/1012.5/1226.5,212.76,1143.7,2.4209,1714.9,69514,3.5308,0.99974,2.6215e-4,5.2431e-4,0.0056574,True
TRCN0000005063,LHX5,6950.9/7357.4/7500.7,42606/47395/41533,7265.9,43773,2.5906,81365,107e6,3.5291,0.99973,2.7472e-4,5.4944e-4,0.0057565,True
TRCN0000026491,ADH7,2319.2/2566.4/2760.6,14599/14996/14706,2542.3,14766,2.5376,48994,12053e3,3.521,0.99972,2.7992e-4,5.5983e-4,0.0057565,True
TRCN0000121666,FAM71B,2550.2/3001.6/3088.4,15531/17163/17277,2870,16637,2.5349,83628,15509e3,3.4958,0.99969,3.0812e-4,6.1625e-4,0.0060726,True
TRCN0000151784,LYZL6,850.07/1056.4/1246.8,4846.1/6225.2/6540.4,1038.4,5821.7,2.486,39606,1873300,3.4949,0.99969,3.0562e-4,6.1124e-4,0.0060726,True
TRCN0000053863,RPTN,708.29/808.49/855.5,4276.7/4172.4/4667.8,788.32,4367.2,2.4684,5662.5,1056500,3.4818,0.99968,3.1988e-4,6.3976e-4,0.0061756,True
TRCN0000115828,MAGEB3,1559/1703.5/2112.3,8747.6/10662/10768,1776.8,10014,2.494,82694,5723100,3.4433,0.99963,3.7262e-4,7.4524e-4,0.00705,True
TRCN0000060816,OR52E8,1794.9/1827.1/2005.5,10528/10311/10782,1873.6,10539,2.4912,12879,6390100,3.4278,0.99961,3.948e-4,7.8961e-4,0.0073232,True
TRCN0000116929,KRT74,4158.7/4617.3/5165.3,24280/27053/27727,4628.9,26310,2.5066,254460,41903e3,3.3493,0.99947,0.00053101000000000005,0.001062,0.009478,True
TRCN0000056675,TPH2,1546.1/1678.8/2081.7,8477.8/9835.2/9981.7,1754.8,9406.4,2.4217,78076,5576200,3.2403,0.99923,7.741e-4,0.0015482,0.013077,True
TRCN0000063066,OR9Q2,2022.8/2295.7/2366.6,11191/12565/12181,2223.3,11965,2.4275,32989,9120900,3.2255,0.99918,8.1734e-4,0.0016347,0.013565,True
TRCN0000056294,TGM6,1371.4/1557/1841.6,7668.2/8441.1/8629,1578.4,8235.4,2.3826,56300,4474e3,3.1473,0.99893,0.0010671,0.0021342,0.01711,True
TRCN0000049816,RNASE9,2431.7/2664.1/2882.2,12072/15354/14941,2652.9,14043,2.4038,50818,13169e3,3.1387,0.99889,0.0011053,0.0022106,0.017427,True
TRCN0000026419,ADH7,2363.8/2617.1/2778,13405/13675/13350,2580.6,13476,2.3841,43646,12434e3,3.0898,0.9987,0.0013041,0.0026083,0.019898,True
TRCN0000059960,NUP93,3880/4507.3/5144.7,20335/23429/25600,4480.9,23019,2.3607,401160,39165e3,2.9622,0.998,0.0020019,0.0040038,0.028265,True
TRCN0000049814,RNASE9,2005.7/2162.2/2468.7,10158/10817/12269,2204,11047,2.3249,55567,8956800,2.9547,0.99797,0.0020343,0.0040685,0.0283,True
TRCN0000009002,RXFP2,1475.3/1568.8/1629.1,7618.8/7906.3/7373.1,1556.4,7629.6,2.2927,6008.2,4345300,2.9135,0.99769,0.002314,0.004628,0.031726,True
TRCN0000060914,HTR3D,2446.3/2819.8/3413.6,12527/14539/15626,2866.3,14171,2.3053,239020,15467e3,2.8746,0.99736,0.0026377,0.0052754,0.035647,True
TRCN0000060813,OR52E8,1698.3/1678.8/2012.4,7768.6/9085.1/9263,1790.2,8679.1,2.2768,35111,5813100,2.8572,0.99723,0.0027711,0.0055422,0.036409,True
TRCN0000138784,OTUD6A,1194.7/1062.5/702.17,5084.7/4304.5/4197.9,962.4,4512.4,2.228,65866,1599600,2.8069,0.99678,0.0032205,0.0064411,0.041171,True
TRCN0000063028,FCRL4,2088.8/2217.8/2827.2,9814/12638/11642,2357.2,11303,2.261,156170,103e5,2.7873,0.99654,0.0034569,0.0069138,0.042471,True
TRCN0000018160,OLIG2,412.51/254.66/74.553,1207.8/559.26/1017.5,198.62,882.52,2.146,32141,60265,2.7859,0.99662,0.0033756,0.0067512,0.042377,True
TRCN0000135470,DEFB129,2736/2790.2/3340.1,12613/14751/15137,2943.3,14122,2.262,111920,16344e3,2.7651,0.99629,0.0037113,0.0074227,0.045012,True
TRCN0000019586,DMRTC2,1678.8/1750.5/1862.8,8203/7697.6/8585.8,1762.4,8154,2.2093,8604.8,5626700,2.6945,0.99543,0.0045698,0.0091397,0.052085,True
TRCN0000137396,SPATA16,1510.7/1658.4/1878.1,7413.1/7534.5/8250.7,1675.7,7724.1,2.2039,34244,5066500,2.6871,0.99533,0.0046694,0.0093388,0.052586,True
TRCN0000077975,MRGPRD,924.63/1142.3/1308.6,4359/5036.6/5472.8,1113.9,4934.5,2.1463,37274,2167800,2.5949,0.9939,0.006101,0.012202,0.065586,True
TRCN0000060027,NUP205,1029.7/1017.4/1284.8,4194.5/5002.4/5300.1,1104.1,4808.9,2.1218,22855,2128400,2.5394,0.99284,0.0071603,0.014321,0.074076,True
TRCN0000134038,OTUD6A,1812/2115.8/2456.5,7809.7/10412/10108,2111.8,9367.3,2.1486,104370,8195400,2.5344,0.99268,0.0073169,0.014634,0.074076,True
TRCN0000059649,ABCG8,2525.2/2532.4/3007,10484/12543/12943,2679.1,11939,2.1555,76352,13441e3,2.5259,0.99248,0.0075173,0.015035,0.074076,True
TRCN0000115756,SAGE1,2201.9/2205.4/1994.9,8395.5/10406/9176.7,2131.8,9289.7,2.1231,14531,8357400,2.476,0.99137,0.0086319,0.017264,0.081527,True
TRCN0000059651,ABCG8,1839.5/1704.8/1474.7,8107.5/7125.3/6429.9,1666,7188.4,2.1086,34104,5005900,2.4682,0.9912,0.0087977,0.017595,0.081595,True
TRCN0000019573,POU4F2,1573.6/1588.6/1579.9,6524.5/7376.4/6461,1580.7,6774.8,2.0989,56.052,4487500,2.452,0.9908,0.0091997,0.018399,0.083682,True
TRCN0000018158,OLIG2,1813.8/1849.4/2156.2,7472.4/8530.8/8883,1933.9,8273.1,2.0963,35491,6825300,2.4265,0.9901,0.009895,0.01979,0.0856,True
TRCN0000054165,OC90,6133.8/6685.5/7923.2,27796/31578/32293,6874.7,30490,2.1488,841990,95374e3,2.4181,0.98973,0.010273,0.020547,0.0856,True
TRCN0000064258,CYP7A1,1862.1/2053.4/2615.7,8314.9/9331.3/9501.4,2154.5,9033.6,2.0674,154210,8544e3,2.3534,0.98791,0.012087,0.024174,0.095284,True
TRCN0000053867,RPTN,144.23/78.5/43.886,309.36/282.08/305.77,79.216,298.82,1.9021,2737.5,8960.8,2.3199,0.98726,0.012738,0.025476,0.098771,True
TRCN0000003881,PSMA3,810.96/814.67/952.26,3045.9/3725.7/3443,856.87,3393.3,1.9843,6494.1,1256500,2.2628,0.98479,0.015205,0.030411,0.11326,True
TRCN0000064259,CYP7A1,2247.7/2427.3/2752.6,8370.8/10311/11592,2467.2,10002,2.0189,65617,11325e3,2.2389,0.98363,0.016374,0.032749,0.1169,True
TRCN0000139275,FAM71B,1343.9/1359.2/1617.9,5343/5752.4/6072.3,1435.1,5714.7,1.9928,23758,3670600,2.2338,0.98351,0.01649,0.032981,0.1169,True
TRCN0000117672,RPL36,797.52/935.82/980.29,3348.7/3494.2/3764.3,901.08,3531.6,1.9694,9103.2,1395e3,2.2271,0.98331,0.016686,0.033372,0.1169,True
TRCN0000005065,LHX5,1716.6/1612/1098.7,7008.3/5860/4583.1,1448.7,5730.9,1.9833,110480,3743600,2.2132,0.98261,0.017388,0.034776,0.1192,True
TRCN0000073252,TRIM42,2054.6/2257.3/2792.3,8175/9933/10137,2348.3,9371.9,1.9962,145830,1022e4,2.197,0.98178,0.018224,0.036449,0.12141,True
TRCN0000136332,OTUD6A,2453.7/2620.8/2909.7,9424/10838/11241,2654.8,10471,1.9793,53285,13189e3,2.1523,0.97956,0.020435,0.04087,0.13241,True
TRCN0000063065,OR9Q2,3117.3/3374.3/3830.2,13074/13587/13654,3428.2,13436,1.9703,130580,22442e3,2.1125,0.97737,0.022631,0.045262,0.14085,True
TRCN0000116494,KRT25,2557.6/2663.4/3412,9094.9/11973/12324,2853.8,11030,1.9501,217770,15328e3,2.0884,0.97604,0.023963,0.047926,0.14541,True
TRCN0000143767,FAM71B,1871.9/1982.3/2114.4,7334.1/7291.6/8041.7,1987.1,7548.1,1.9249,14758,7221100,2.0695,0.975,0.024996,0.049992,0.14687,True
TRCN0000009003,RXFP2,1289.5/1424.1/1723.7,4780.3/5304/6385,1468.3,5450.1,1.8914,49580,3849400,2.0295,0.97256,0.027436,0.054872,0.15267,True
TRCN0000018159,OLIG2,230.39/115.59/43.357,483.79/226.64/412.88,104.93,356.41,1.7544,9822.6,16042,1.9854,0.97043,0.029571,0.059142,0.16359,True
TRCN0000058439,IL1F10,2393.8/2886/2970.5,9738.3/10249/10458,2737.8,10144,1.8892,97223,1406e4,1.9752,0.96856,0.031439,0.062878,0.16974,True
TRCN0000019585,DMRTC2,3681.4/4187.1/4697.9,15435/14807/16588,4168.1,15593,1.9031,258940,33694e3,1.9681,0.96788,0.032118,0.064235,0.16974,True
TRCN0000138134,SPATA16,1374.4/1393.2/1313.4,5096.2/4800.2/4871.6,1359.9,4921.1,1.8547,1742.1,3282300,1.9656,0.96811,0.031891,0.063782,0.16974,True
TRCN0000059652,ABCG8,2440.2/3000.3/3183,9478.3/10869/11310,2856.4,10523,1.8809,150310,15356e3,1.9564,0.96713,0.032872,0.065743,0.17086,True
TRCN0000019584,DMRTC2,1367.7/1468.6/1456.7,5808.7/5023.6/4645.3,1430.3,5136.9,1.8439,3042.6,3645200,1.9414,0.96623,0.033765,0.06753,0.17325,True
TRCN0000003903,PSMB2,663.68/704.65/617.57,2321.8/2069.1/2584.4,661.01,2315.6,1.8071,1899.3,732620,1.933,0.96588,0.034121,0.068242,0.17354,True
TRCN0000019519,DMRTB1,1399.5/1488.4/1442.9,4612.4/5547/5098,1443.2,5071.4,1.8124,1978.4,3713700,1.8827,0.96136,0.038638,0.077275,0.18841,True
TRCN0000056677,TPH2,3237.7/3630.8/4413.9,12460/13290/14110,3729.8,13270,1.8307,359980,26744e3,1.8447,0.95745,0.042555,0.08511,0.20539,True
TRCN0000018161,OLIG2,1031/1034.1/1359.4,3835.7/3645.8/4125.4,1131.7,3864,1.7707,35760,2240200,1.8255,0.95619,0.04381,0.087619,0.20993,True
TRCN0000014034,TAS2R13,2700.6/3175.9/3734,9955.5/11652/11942,3175.6,11148,1.8113,268720,19141e3,1.8221,0.95533,0.044668,0.089335,0.21177,True
TRCN0000026500,ADH7,1300.5/1036.6/650.35,3677.8/3146.9/2936.8,957.09,3239.3,1.7579,109160,1581300,1.8148,0.95523,0.044771,0.089541,0.21177,True
TRCN0000009004,RXFP2,2069.3/2281.5/2808.1,7743.9/7854.1/8971.1,2366.7,8171.5,1.7873000000000001,145300,10387e3,1.8011,0.95337,0.046632,0.093265,0.21731,True
TRCN0000051554,PLA2G2E,290.89/201.5/118.44,888.59/428.82/564.9,190.77,599.31,1.6463,7685.9,55429,1.7353,0.94774,0.052264,0.10453,0.22996,True
TRCN0000116493,KRT25,5323.5/5660.7/6476.6,17247/21055/21319,5800.6,19782,1.7698,352060,66988e3,1.7083,0.94244000000000006,0.057563,0.11513,0.24419,True
TRCN0000074708,RPS3A,934.41/894.41/1127.3,2883/3438.7/3242.6,980.32,3179.6,1.6965,15542,1662100,1.7059,0.94332,0.056684,0.11337,0.24154,True
TRCN0000115831,MAGEB3,2633.9/2894/3266,9519.4/9024.8/10066,2920,9527.4,1.7058,101120,16076e3,1.648,0.93521,0.064791,0.12958,0.26649,True
TRCN0000135246,DEFB129,2568.6/2852/2969.4,8260.6/8847.1/9827.9,2791.5,8955.5,1.6814,42508,1464e4,1.611,0.93015,0.069853,0.13971,0.2824,True
TRCN0000115744,LUZP4,6220/7017.4/7698.5,21119/22002/23634,6952.2,22228,1.6767,548640,97623e3,1.546,0.91958,0.080418,0.16084,0.3111,True
TRCN0000116785,KRT77,2582/2746.3/3539.9,8864.5/8323.7/9985.1,2928,9031.8,1.6248,263600,16167e3,1.518,0.91588,0.084124,0.16825,0.31832,True
TRCN0000151260,PIWIL3,2105.9/2360/2745.2,6463.6/8017.2/7438.8,2389.5,7277.8,1.6064,103910,10596e3,1.5017,0.91336,0.086637,0.17327,0.32523,True
TRCN0000073248,TRIM42,2577.1/2788.3/3141.8,8240.8/7875.3/9226.8,2826.3,8428.7,1.5761,81535,15022e3,1.4455,0.90332,0.096681,0.19336,0.34857,True
TRCN0000052956,POLA1,1689.1/1754.8/2113.9,4964.6/5662.7/5711.2,1843.6,5435.2,1.5593,52403,6179100,1.4449,0.90368,0.096322,0.19264,0.34857,True
TRCN0000116492,KRT25,1967.8/2043.5/2669.1,6137.8/6525.2/6944.7,2205.8,6527.6,1.5648,148810,8972500,1.4428,0.9031,0.096896,0.19379,0.34857,True
TRCN0000051557,PLA2G2E,805.46/718.87/453.66,2303.7/1690.8/1566.9,640.44,1827.5,1.5113,34135,686030,1.4332,0.90273,0.097274,0.19455,0.34857,True
TRCN0000118889,NPHS2,2894.3/2716.6/2119.2,9219.9/6862.8/6763.3,2554.1,7535.8,1.5605,165630,1217e4,1.428,0.90019,0.09981,0.19962,0.35476,True
TRCN0000152548,PIWIL3,1315.7/1276.4/1128.9,3863.7/3658.8/3201.1,1237.7,3563.6,1.5249,9717.8,2698500,1.4159,0.89876,0.10124,0.20249,0.35476,True
TRCN0000137516,DEFB129,587.9/642.22/505.48,1587.9/1641.9/1644.6,575.74,1624.6,1.495,4752.1,549830,1.4145,0.89939,0.10061,0.20123,0.35476,True
TRCN0000144219,FAM71B,2743.9/2934.8/3472.8,7701.1/9269.4/9313.1,3035.4,8727.7,1.5234,143180,17425e3,1.3637,0.88735,0.11265,0.2253,0.39035,True
TRCN0000063032,FCRL4,2089.4/2120.1/2640.5,6075.3/6562.7/6699.4,2270,6440.2,1.504,96181,9523700,1.3513,0.88517,0.11483,0.22965,0.395,True
TRCN0000153271,PIWIL3,2437.2/2711/2877.9,6590.4/8682.4/7651.2,2669.1,7593.2,1.508,49584,13337e3,1.3483,0.88434,0.11566,0.23131,0.39642,True
TRCN0000056296,TGM6,1158.7/1280.7/1402.2,3070.6/3825.1/3709,1276.7,3518.6,1.4619,14850,2878400,1.3215,0.87964,0.12036,0.24072,0.40664,True
TRCN0000053866,RPTN,7076.8/7776.5/9058.9,18802/25313/24780,7929.3,22762,1.5213,1013100,12832e4,1.3094,0.87442,0.12558,0.25117,0.41685,True
TRCN0000153144,PIWIL3,3646/3807/4704.2,10243/11821/11882,4026.8,11289,1.487,326130,31362e3,1.2968,0.87257,0.12743,0.25485,0.42001,True
TRCN0000007620,COPS8,4451.4/4727.9/5530.6,12346/12969/15280,4882.6,13475,1.4644,314890,46819e3,1.2557,0.86277,0.13723,0.27447,0.44766,True
TRCN0000011511,TAAR8,1760.6/2057.7/2529.5,5002.4/5868.2/5814.9,2092.6,5547.2,1.406,151140,8041700,1.2182,0.85505,0.14495,0.28991,0.4617,True
TRCN0000151560,PIWIL3,2409.7/2651.1/3085.7,6277.7/7174.2/8019.2,2701.3,7121.4,1.3982,117680,13674e3,1.1953,0.84888,0.15112,0.30224,0.47182,True
TRCN0000009302,OR12D2,3176/3267.3/3264.4,7998.9/9103.1/8426.9,3235.7,8497.6,1.3927,2695.6,19901e3,1.1795,0.8445,0.1555,0.311,0.48058,True
TRCN0000058957,IL22,2206.2/2372.3/2198.5,5989.7/5445.9/6060.2,2257.6,5825.3,1.3672,9649.3,9415800,1.1627,0.84074,0.15926,0.31852,0.48599,True
TRCN0000007172,RPS13,1979.4/2065.1/2124,4737.5/5530.6/5650.8,2055.3,5290.3,1.3636,5283.1,7746200,1.1623000000000001,0.84082,0.15918,0.31837,0.48599,True
TRCN0000074766,RPS7,937.46/965.49/1114.1,2440.3/2630/2428.9,1002.8,2498.1,1.316,9019.8,1742300,1.1328,0.83429,0.16571,0.33143,0.50245,True
TRCN0000052039,PSMC4,193.73/133.51/60.805,378.47/202.18/269.5,116.3,274.23,1.2304,4685.2,19855,1.1208,0.83507,0.16493,0.32987,0.5017,True
TRCN0000118890,NPHS2,3426/3623.4/4324.6,7681.3/10504/10882,3772.4,9575.4,1.3436,223570,27382e3,1.109,0.8251,0.1749,0.34981,0.51545,True
TRCN0000117657,RPL35A,887.96/953.75/1186.5,2425.5/2576.2/2390.9,1001.6,2462.9,1.2972,24695,1738100,1.1084,0.82759,0.17241,0.34482,0.51452,True
TRCN0000059904,NUP54,1782.6/1953.2/2153.6,4813.2/4955.1/4869.9,1957.3,4879,1.3173,34520,6998e3,1.1045,0.82514,0.17486,0.34971,0.51545,True
TRCN0000074915,RPS19,312.9/170.6/72.438,441/330.99/340.32,156.98,367.61,1.2224,15822,36981,1.0953,0.82759,0.17241,0.34482,0.51452,True
TRCN0000049817,RNASE9,1639.6/2000.2/2091.2,4429.8/5136.1/4560.7,1899.9,4699.1,1.306,57189,6578300,1.0914,0.82149,0.17851,0.35702,0.52281,True
TRCN0000063064,OR9Q2,1605.4/1643.6/1843.7,4080.9/4283.3/3916.3,1694.4,4090.8,1.2711,16399,5185e3,1.0524,0.81038,0.18962,0.37924,0.54856,True
TRCN0000049813,RNASE9,2869.2/3095.5/3644.1,7141.6/7192.1/8499.5,3186.9,7586,1.251,159150,19282e3,1.0018,0.79346,0.20654,0.41308,0.5957,True
TRCN0000116928,KRT74,2121.2/2165.9/2288.9,4569.6/5481.7/5391.6,2190.9,5130.7,1.2273,7546,8846300,0.98841,0.7901,0.2099,0.41979,0.59657,True
TRCN0000151998,NLRP5,1761.3/2028/2214.4,4373.8/4521.4/5053,1992.4,4640.5,1.2193,51983,7261600,0.98267,0.78851,0.21149,0.42299,0.59724,True
TRCN0000155835,NLRP5,1844.4/1942.1/2335.5,4250.4/4775.7/5108.3,2030,4698,1.2102,67741,7549300,0.97104,0.78472,0.21528,0.43056,0.601,True
TRCN0000056674,TPH2,3123.5/3035.6/2948.8,7034.6/7213.3/6689,3035.1,6975.6,1.2003,7627.7,17422e3,0.94407,0.77484,0.22516,0.45031,0.6228,True
TRCN0000137126,SPATA16,1530.9/1667.1/1691.4,3704.1/3642.5/3467.2,1628.2,3603.2,1.1455,7491.6,4772700,0.90402,0.76295,0.23705,0.4741,0.64812,True
TRCN0000060815,OR52E8,5285.6/5841.2/5947.8,14010/11890/12950,5684,12921,1.1846,126510,64219e3,0.90306,0.75918,0.24082,0.48164,0.65653,True
TRCN0000115755,SAGE1,2440.2/2537.4/2696.1,6001.3/5591/5395.1,2555.7,5656.9,1.146,16686,12186e3,0.88837,0.75627,0.24373,0.48745,0.66064,True
TRCN0000121583,NUP133,1051.7/1079.8/1276.4,2249.4/2493/2637.9,1131.8,2454.8,1.1164,15007,2240500,0.88392,0.75701,0.24299,0.48599,0.66055,True
TRCN0000117571,RPL30,4270.5/5067.3/5852.6,9802.4/11749/12096,5021.9,11169,1.153,628370,4964e4,0.87242,0.7487,0.2513,0.50259,0.66886,True
TRCN0000065000,COPZ1,1188/1315.3/1436.1,2680.6/2517.5/3344.5,1309.2,2826,1.1095,15407,3033e3,0.87095,0.75205,0.24795,0.49591,0.66827,True
TRCN0000059650,ABCG8,2512.3/2837.1/3261.8,5507.6/6613.3/6735.7,2854.1,6260.2,1.1329,141660,15331e3,0.86989,0.74943,0.25057,0.50114,0.66886,True
TRCN0000014165,TAS2R9,326.95/279.39/319.36,457.46/727.2/773.94,307.84,636.17,1.0448,653.76,149710,0.84857,0.74829,0.25171,0.50341,0.66886,True
