gene	aRRA	p_value	p_value (adj.)	significant	# sgRNAs	# signif. sgRNAs	avg. logFC
NLRP5	1.0	1.0	1.0	False	10	0	0.606639056837
CYP7A1	1.0	1.0	1.0	False	10	0	0.417780821281
IL1F10	1.0	1.0	1.0	False	10	0	0.209100740236
PLA2G2E	1.0	1.0	1.0	False	10	0	0.450595039723
OLIG2	1.0	1.0	1.0	False	10	0	0.526854953139
ADH7	1.0	1.0	1.0	False	10	0	0.53626421774
TAAR8	1.0	1.0	1.0	False	10	0	0.556995884039
HTR3D	1.0	1.0	1.0	False	10	0	0.337187225685
OC90	1.0	1.0	1.0	False	10	0	0.3300965094
MRGPRD	1.0	1.0	1.0	False	10	0	0.300678398653
OR52E8	1.0	1.0	1.0	False	10	0	0.619097966499
LUZP4	1.0	1.0	1.0	False	10	0	0.474309145652
POU4F2	1.0	1.0	1.0	False	10	0	0.596284068004
NPSR1	1.0	1.0	1.0	False	10	0	0.463205487178
TAS2R13	1.0	1.0	1.0	False	10	0	0.520981844714
DEFB129	1.0	1.0	1.0	False	10	0	0.555804232678
