gene	aRRA	p_value	p_value (adj.)	significant	# sgRNAs	# signif. sgRNAs	avg. logFC
NPHS2	1.0	1.0	1.0	False	10	0	0.469775228318
TRIM42	1.0	1.0	1.0	False	10	0	0.47721316098
MAGEB3	1.0	1.0	1.0	False	10	0	0.462080327635
ABCG8	1.0	1.0	1.0	False	10	0	0.466929728431
CABP5	1.0	1.0	1.0	False	10	0	0.536630762594
POU4F2	1.0	1.0	1.0	False	10	0	0.623024106737
KRT74	1.0	1.0	1.0	False	10	0	0.451855311814
KRT77	1.0	1.0	1.0	False	10	0	0.458610429523
PIWIL3	1.0	1.0	1.0	False	10	0	0.402887575597
CRYGB	1.0	1.0	1.0	False	10	0	0.532796839583
NLRP5	1.0	1.0	1.0	False	10	0	0.629938920166
CYP7A1	1.0	1.0	1.0	False	10	0	0.413704427877
PLA2G2E	1.0	1.0	1.0	False	10	0	0.496839192624
OLIG2	1.0	1.0	1.0	False	10	0	0.449778221077
TAAR1	1.0	1.0	1.0	False	10	0	0.541401350047
TAAR8	1.0	1.0	1.0	False	10	0	0.573947306518
HTR3D	1.0	1.0	1.0	False	10	0	0.383231825313
IL1F10	1.0	1.0	1.0	False	10	0	0.248813505796
OC90	1.0	1.0	1.0	False	10	0	0.355316506112
MRGPRD	1.0	1.0	1.0	False	10	0	0.335032051018
OR52E8	1.0	1.0	1.0	False	10	0	0.651126704734
LUZP4	1.0	1.0	1.0	False	10	0	0.475990547885
TPH2	1.0	1.0	1.0	False	10	0	0.431386149063
NPSR1	1.0	1.0	1.0	False	10	0	0.507715301657
TAS2R13	1.0	1.0	1.0	False	10	0	0.49767587827
DEFB129	1.0	1.0	1.0	False	10	0	0.483784195043
