sgrna,Gene,control_count,treatment_count,control_mean,treat_mean,LFC,control_var,adj_var,score,p.low,p.high,p.twosided,FDR,high_in_treatment
TRCN0000019523,DMRTB1,58.796/0/118.25,91.236/134/526.55,8.7665,186.05,4.2594,7283.1,33.026,30.849,1,3.0924e-209,6.1848e-209,7.5011e-208,True
TRCN0000014257,VN1R2,15237/12185/12475,46368/41470/44286,13231,43995,1.7334,2845800,1007500,30.649,1,1.3501e-206,2.7001e-206,3.1929e-205,True
TRCN0000011509,TAAR8,8493.6/5903.6/6264.5,28046/23883/25273,6797.7,25677,1.9172,1979800,385090,30.423,1,1.3814e-203,2.7627e-203,3.1872e-202,True
TRCN0000142913,PSMD6,5966.7/5348.6/6603.8,21920/25764/21444,5951,22964,1.948,394630,317840,30.178,1,2.3082e-200,4.6164e-200,5.199e-199,True
TRCN0000136332,OTUD6A,8400.1/6479.2/6341.8,23262/24878/30023,7014.6,25900,1.8844,1329400,402950,29.752,1,8.288e-195,1.6576e-194,1.8234e-193,True
TRCN0000014255,VN1R2,33573/30592/28144,78660/86043/90870,30690,85041,1.4704,7402600,3401600,29.469,1,3.5782e-191,7.1564e-191,7.6931e-190,True
TRCN0000117547,RPS24,14785/13665/12686,39371/43425/49645,13685,43947,1.6831,1103600,1057900,29.421,1,1.4647e-190,2.9293e-190,3.079e-189,True
TRCN0000115829,MAGEB3,6521.4/6812.6/6120.1,25027/24272/23004,6478.4,24086,1.8943,120970,359260,29.377,1,5.4519e-190,1.0904e-189,1.1212e-188,True
TRCN0000151829,LYZL6,8215.9/7999.6/6862.5,26520/23422/33678,7668.9,27554,1.845,529420,458300,29.373,1,6.0957e-190,1.2191e-189,1.2269e-188,True
TRCN0000115745,LUZP4,25418/22866/20471,72990/58990/63380,22829,64863,1.5065,6134100,2217e3,28.23,1,1.2492e-175,2.4983e-175,2.4619e-174,True
TRCN0000060914,HTR3D,11248/11285/10493,42921/30107/34524,11002,35466,1.6886,199930,771810,27.847,1,5.9204e-171,1.1841e-170,1.143e-169,True
TRCN0000053866,RPTN,27043/27421/28306,76431/76464/69636,27585,74106,1.4257,420390,2915100,27.247,1,8.9713e-164,1.7943e-163,1.6974e-162,True
TRCN0000056677,TPH2,14317/12625/12094,39444/35444/44107,12978,39507,1.6059,1349400,979870,26.8,1,1.6275e-158,3.255e-158,3.0189e-157,True
TRCN0000135470,DEFB129,11678/10000/10034,34824/34842/29213,10543,32848,1.6395,920600,725670,26.185,1,1.9881e-151,3.9762e-151,3.6168e-150,True
TRCN0000115754,SAGE1,8694/8075.6/7478.6,28003/22491/29357,8067.5,26443,1.7126,369710,493080,26.168,1,3.047e-151,6.094e-151,5.4386e-150,True
TRCN0000058953,IL22,4897.8/4691.6/4722.6,19971/17857/14116,4769.8,17138,1.845,12363,231e3,25.734,1,2.4376e-146,4.8752e-146,4.2703e-145,True
TRCN0000011512,TAAR8,15789/13513/13011,42667/41799/38620,14054,40991,1.5442,2194600,1099400,25.691,1,7.4248e-146,1.485e-145,1.2771e-144,True
TRCN0000007620,COPS8,36972/33804/31153,82738/78012/92337,33893,84155,1.312,8499200,3927200,25.363,1,3.2457e-142,6.4914e-142,5.4829e-141,True
TRCN0000009001,RXFP2,25607/25891/23553,70844/61426/63965,24995,65293,1.3853,1627800,2527600,25.347,1,4.8096e-142,9.6191e-142,7.9822e-141,True
TRCN0000077975,MRGPRD,8977.4/6963.5/6839,24814/26778/22016,7533.4,24457,1.6988,1446e3,446660,25.323,1,8.9828e-142,1.7966e-141,1.4651e-140,True
TRCN0000117562,RPL9,14763/12785/12243,41952/31875/42014,13220,38300,1.5345,1762300,1006400,25,1,3.061e-138,6.122e-138,4.908e-137,True
TRCN0000009003,RXFP2,10665/8605.6/6046.8,25047/25957/26450,8217.8,25811,1.6511,5425600,506390,24.723,1,2.9905e-135,5.9811e-135,4.7151e-134,True
TRCN0000060816,OR52E8,8910.1/9277.8/7200.4,24438/28327/26185,8411.9,26269,1.6427,1232800,523760,24.674,1,1.0192e-134,2.0383e-134,1.5805e-133,True
TRCN0000049813,RNASE9,11936/10740/8956.7,30020/28690/35359,10471,31228,1.5763,2256100,718590,24.486,1,1.0427e-132,2.0854e-132,1.5909e-131,True
TRCN0000063359,NPSR1,9780/9141/7954.3,24513/28602/29293,8925.7,27385,1.6172,859910,570570,24.438,1,3.4037e-132,6.8073e-132,5.1109e-131,True
TRCN0000154096,PIWIL3,6714.1/6836.5/5899,22316/20780/20030,6469.4,21021,1.7,259970,358540,24.302,1,9.3734e-131,1.8747e-130,1.3855e-129,True
TRCN0000046915,NUP98,12605/10436/8743.7,27406/30332/35628,10477,30939,1.5621,3767100,719190,24.128,1,6.3272e-129,1.2654e-128,9.2084e-128,True
TRCN0000137126,SPATA16,8534.6/6732.2/7291.1,26006/19695/24127,7482.5,23119,1.6274,853270,442310,23.512,1,1.5467e-122,3.0933e-122,2.2169e-121,True
TRCN0000077924,RPL34,29071/23419/23614,66459/55068/66989,25239,62588,1.3102,1032e4,2563400,23.328,1,1.1654e-120,2.3308e-120,1.6455e-119,True
TRCN0000115827,MAGEB3,10939/10665/9687,27628/32446/30466,10416,30114,1.5316,433340,713120,23.326,1,1.1966e-120,2.3932e-120,1.6647e-119,True
TRCN0000074766,RPS7,12586/9963.1/9609.8,28791/29918/33081,10641,30544,1.5211,2652700,735510,23.206,1,1.96e-119,3.9201e-119,2.6872e-118,True
TRCN0000014164,TAS2R9,11188/9339.8/7723.2,31082/26237/24691,9310.1,27205,1.5469,3022e3,606390,22.981,1,3.6404e-117,7.2807e-117,4.9197e-116,True
TRCN0000137516,DEFB129,3541.9/3072.3/2555.1,9609.6/12019/10923,3029.5,10805,1.8342,244730,120120,22.436,1,8.7823e-112,1.7565e-111,1.1702e-110,True
TRCN0000118891,NPHS2,6224.6/7981.1/6380.1,23439/20127/18748,6818.2,20681,1.6007,948380,386760,22.29,1,2.2966e-110,4.5932e-110,3.0175e-109,True
TRCN0000019586,DMRTC2,5285.3/4816.5/4666.1,16864/15286/15443,4915.7,15849,1.6887,104350,241260,22.259,1,4.646e-110,9.2921e-110,6.0208e-109,True
TRCN0000014006,TAAR1,11168/9597.1/10194,26321/28956/31501,10300,28848,1.4858,629690,701650,22.144,1,5.9971e-109,1.1994e-108,7.6665e-108,True
TRCN0000117569,RPL30,3986.8/4312.6/4340.3,11988/15884/14075,4210.1,13891,1.7219,38656,192970,22.037,1,6.3601e-108,1.272e-107,8.0223e-107,True
TRCN0000150723,NLRP5,7535.1/7424/6897.4,20415/23478/20204,7280.1,21315,1.5497,116090,425140,21.525,1,4.5406e-103,9.0811e-103,5.6518e-102,True
TRCN0000065000,COPZ1,9303.2/8419.9/8215,24523/23449/24620,8633.4,24191,1.4864,334680,543790,21.098,1,4.163e-99,8.326e-99,5.1145e-98,True
TRCN0000019573,POU4F2,4122.1/4606.9/4749.5,13445/15382/13577,4484.6,14108,1.6532,108250,211360,20.932,1,1.3687e-97,2.7374e-97,1.66e-96,True
TRCN0000060027,NUP205,6366.3/9297.4/6705.9,21714/19561/21377,7349.1,20862,1.5051,2587700,430970,20.584,1,1.8955e-94,3.791e-94,2.2698e-93,True
TRCN0000117136,KRT9,6996.7/7034.1/5648.4,21643/18004/17382,6526.5,18920,1.5354,624930,363110,20.568,1,2.6749e-94,5.3498e-94,3.1631e-93,True
TRCN0000117712,RPL11,65125/58796/55361,53.083/450.61/0.93031,59625,29.021,-10.956,24559e3,8896400,19.981,7.1669e-90,1,1.4334e-89,8.3703e-89,False
TRCN0000153144,PIWIL3,11369/10694/8617.4,22943/28465/29189,10157,26714,1.3951,2063800,687600,19.967,1,5.3115e-89,1.0623e-88,6.1276e-88,True
TRCN0000077976,MRGPRD,9447/6490/6905.5,19916/19095/23687,7509,20807,1.4703,2579300,444570,19.944,1,8.4016e-89,1.6803e-88,9.5758e-88,True
TRCN0000064261,CYP7A1,7525.9/7255.7/7411.4,18450/22929/20273,7396.8,20469,1.4683,18397,435020,19.82,1,1.0076e-87,2.0151e-87,1.1347e-86,True
TRCN0000073252,TRIM42,13147/11295/10026,26435/30599/30809,11419,29209,1.355,2470500,814360,19.714,1,8.0979e-87,1.6196e-86,9.0125e-86,True
TRCN0000059960,NUP93,9573.1/7375.1/8149.8,20102/21329/26267,8317.5,22415,1.4301,1246400,515290,19.639,1,3.5809e-86,7.1618e-86,3.939e-85,True
TRCN0000021837,POLR2F,5162.7/6247.9/4609,15366/15269/15637,5297.5,15423,1.5415,697660,268740,19.532,1,2.9518e-85,5.9035e-85,3.2096e-84,True
TRCN0000060817,OR52E8,6121.9/5747.2/5276.2,18348/16995/13970,5704.5,16332,1.5174,179730,299020,19.435,1,1.9549e-84,3.9098e-84,2.1015e-83,True
TRCN0000021287,POLR2A,9680.1/7226.4/7977.1,20788/26906/18785,8232.8,21902,1.4115,1586500,507730,19.184,1,2.5174e-82,5.0348e-82,2.6758e-81,True
TRCN0000121666,FAM71B,11571/11588/9494.2,31302/25361/25581,10838,27282,1.3318,1453e3,755220,18.923,1,3.7089e-80,7.4179e-80,3.8985e-79,True
TRCN0000003881,PSMA3,9214.7/10090/8877.4,26891/21885/23319,9380.4,23942,1.3517,392120,613020,18.598,1,1.662e-77,3.3239e-77,1.7277e-76,True
TRCN0000007185,PSMC2,20769/21472/21357,47481/47551/46586,21197,47204,1.155,141990,1991500,18.429,1,3.8475e-76,7.6949e-76,3.9562e-75,True
TRCN0000019520,DMRTB1,5167/5183.6/5973.6,15996/15104/14344,5428.8,15133,1.4788,212750,278400,18.392,1,7.5904e-76,1.5181e-75,7.7209e-75,True
TRCN0000063066,OR9Q2,9636.2/9046.5/7699,25130/21622/20770,8755.3,22431,1.3571,988300,554910,18.358,1,1.4264e-75,2.8527e-75,1.4355e-74,True
TRCN0000065270,COPA,6667.3/6849.5/7909.9,15445/23894/18202,7121.9,18869,1.4055,450910,411870,18.304,1,3.8754e-75,7.7508e-75,3.8591e-74,True
TRCN0000058442,IL1F10,10017/10047/8638.2,20188/26844/25586,9543.8,24024,1.3318,648260,628500,18.265,1,7.795e-75,1.559e-74,7.6813e-74,True
TRCN0000063067,OR9Q2,5560.8/5538.7/6420.4,13923/15730/18414,5826,15917,1.4499,253080,308250,18.176,1,4.0109e-74,8.0218e-74,3.9117e-73,True
TRCN0000152512,NLRP5,6202.6/6102.3/6288,17116/16988/15998,6197.2,16693,1.4294,8640.3,336980,18.08,1,2.273e-73,4.5459e-73,2.1941e-72,True
TRCN0000003946,PSMD11,43972/44683/36664,451.2/1187/285.6,41609,534.82,-6.279,19744e3,5284500,17.868,1.0382e-71,1,2.0764e-71,9.9208e-71,False
TRCN0000049817,RNASE9,7636.4/7508.7/6452.6,17068/20414/18734,7179,18689,1.3802,422770,416650,17.831,1,2.0214e-71,4.0428e-71,1.9122e-70,True
TRCN0000117657,RPL35A,9836/8634.9/8668.5,19538/24340/23854,9029.7,22469,1.3151,468190,580190,17.644,1,5.6705e-70,1.1341e-69,5.3112e-69,True
TRCN0000115742,LUZP4,10729/10193/10597,24338/26406/25574,10504,25425,1.2753,77755,721800,17.563,1,2.3619e-69,4.7238e-69,2.1905e-68,True
TRCN0000074980,RPS11,2477.9/2202.4/2133.9,8589.4/6500.6/6678.7,2266.7,7197.9,1.6666,33199,79126,17.53,1,4.1981e-69,8.3962e-69,3.8557e-68,True
TRCN0000115830,MAGEB3,10138/9091.1/8167.9,19924/29366/19427,9096.8,22484,1.3054,973170,586430,17.482,1,9.9054e-69,1.9811e-68,9.0101e-68,True
TRCN0000115756,SAGE1,9330.2/9339.8/8372.9,22200/24906/19268,9002.6,22004,1.2892,308780,577680,17.105,1,6.7529e-66,1.3506e-65,6.084e-65,True
TRCN0000056337,CABP5,4349.5/3469.8/3714.8,10910/10970/10613,3827.3,10830,1.5004,206570,168200,17.074,1,1.1503e-65,2.3005e-65,1.0265e-64,True
TRCN0000117715,RPL11,35120/36127/33327,615.43/463.65/128.38,34839,332.15,-6.7085,2012e3,4086800,17.069,1.1819e-65,1,2.3638e-65,1.045e-64,False
TRCN0000058106,PSMD1,32518/28901/27121,184.13/397.25/53.027,29430,157.16,-7.5398,7574200,3201400,16.36,1.4041e-60,1,2.8083e-60,1.2299e-59,False
TRCN0000007623,COPS8,34637/34977/32615,1338.7/2535.3/2516.5,34060,2044.1,-4.0579,1631600,3955200,16.098,1.3092e-58,1,2.6185e-58,1.1363e-57,False
TRCN0000053863,RPTN,3107/3518.7/3913,8886.4/10410/9794.3,3497.4,9676.5,1.468,162790,147710,16.077,1,1.8365e-58,3.6731e-58,1.5794e-57,True
TRCN0000003903,PSMB2,7255.3/5791.7/7322,18866/17257/14183,6751,16652,1.3024,750310,381270,16.035,1,3.6172e-58,7.2344e-58,3.0828e-57,True
TRCN0000021365,POLR2D,26088/26273/26554,139.34/568.01/200.02,26305,251.11,-6.7052,55044,2721400,15.793,1.5832e-56,1,3.1665e-56,1.3373e-55,False
TRCN0000117676,RPL36,26728/26988/25337,633.67/575.12/119.08,26341,351.45,-6.2238,788050,2726900,15.739,3.9789e-56,1,7.9577e-56,3.331e-55,False
TRCN0000063031,FCRL4,8367.5/7900.8/8068.5,19926/21783/16270,8110,19186,1.2422,55893,496830,15.713,1,6.1247e-56,1.2249e-55,5.0824e-55,True
TRCN0000054166,OC90,10936/9909.9/8163.9,15036/25915/26971,9600.1,21904,1.19,1971700,633860,15.454,1,3.5295e-54,7.0589e-54,2.9034e-53,True
TRCN0000026463,ADH7,10962/11006/9302.7,24718/23172/22146,10392,23322,1.1661,944170,710760,15.336,1,2.195e-53,4.39e-53,1.7901e-52,True
TRCN0000014036,TAS2R13,4584.7/4938.1/4308,11779/12529/11060,4603.1,11774,1.3548,99821,219460,15.308,1,3.3653e-53,6.7306e-53,2.721e-52,True
TRCN0000019588,DMRTC2,9925.2/9698.1/8799.5,22791/24442/17826,9461.5,21494,1.1837,354640,620690,15.273,1,5.8292e-53,1.1658e-52,4.6732e-52,True
TRCN0000007621,COPS8,20567/18050/16669,38259/38720/36247,18359,37727,1.0391,3912500,1617700,15.228,1,1.1583e-52,2.3165e-52,9.2078e-52,True
TRCN0000072562,COPS6,33774/31796/28875,2363.8/2760.6/3574.2,31417,2857.2,-3.4584,6080100,3518800,15.225,1.2097e-52,1,2.4193e-52,9.5361e-52,False
TRCN0000056333,CABP5,4236.2/5512.6/5547.6,9690.9/17862/11764,5059.9,12675,1.3246,560700,251540,15.183,1,2.2776e-52,4.5553e-52,1.7807e-51,True
TRCN0000060917,HTR3D,10822/11577/8489.1,18474/25204/25421,10208,22790,1.1587,2603e3,692590,15.119,1,6.0509e-52,1.2102e-51,4.692e-51,True
TRCN0000052957,POLA1,31671/31597/32080,3165.1/3232.5/3789.1,31782,3384.4,-3.2308,67742,3578100,15.012,3.0485e-51,1,6.0969e-51,2.3446e-50,False
TRCN0000116929,KRT74,13773/11953/9713.2,30073/22354/24253,11694,25357,1.1166,4156700,842860,14.882,1,2.1418e-50,4.2836e-50,1.634e-49,True
TRCN0000147503,CRYGB,9570.3/8327.6/8490.4,19490/21282/18957,8779.3,19885,1.1794,456590,557100,14.879,1,2.2474e-50,4.4948e-50,1.7008e-49,True
TRCN0000053865,RPTN,4231.9/4345.2/3681.2,10751/11636/8968.1,4075.5,10391,1.3501,126330,184140,14.718,1,2.4823e-49,4.9646e-49,1.8637e-48,True
TRCN0000074778,RPS8,20613/22460/21630,831.08/458.91/472.6,21554,564.88,-5.2514,856280,2040200,14.695,3.4776e-49,1,6.9551e-49,2.5904e-48,False
TRCN0000019584,DMRTC2,4086/3226.6/3048.9,12257/6861.1/8590.4,3425.5,8972.9,1.389,308790,143360,14.651,1,6.6369e-49,1.3274e-48,4.8671e-48,True
TRCN0000003947,PSMD11,30911/26877/24603,2063.6/3261/2451.4,27342,2545.6,-3.4245,1023e4,2878e3,14.616,1.1071e-48,1,2.2141e-48,7.9944e-48,False
TRCN0000117714,RPL11,19619/19683/17624,0/156.53/685.64,18951,21.964,-9.6888,1372e3,1693700,14.545,6.8844e-49,1,1.3769e-48,5.0098e-48,False
TRCN0000077923,RPL34,10121/10874/10850,22409/21071/25693,10609,22978,1.1149,183450,732290,14.454,1,1.1886e-47,2.3771e-47,8.5181e-47,True
TRCN0000060815,OR52E8,16814/17337/17795,31183/41206/33046,17311,34887,1.011,241280,1485900,14.419,1,1.9596e-47,3.9191e-47,1.3881e-46,True
TRCN0000117713,RPL11,20635/18355/19899,519.21/346.26/294.91,19606,375.68,-5.7019,1354600,1779e3,14.418,1.9662e-47,1,3.9323e-47,1.3881e-46,False
TRCN0000007174,RPS13,20297/19826/15059,0/349.82/0,18232,1.4182,-12.88,8437e3,1601500,14.405,3.8479e-49,1,7.6959e-49,2.8439e-48,False
TRCN0000058105,PSMD1,21854/22873/21584,988.66/1239.2/1272.7,22096,1159.6,-4.251,462060,2114900,14.397,2.7034e-47,1,5.4069e-47,1.8944e-46,False
TRCN0000058104,PSMD1,9126.1/7734.6/7431.6,19466/16631/18517,8065,18166,1.1714,818220,492860,14.388,1,3.0747e-47,6.1494e-47,2.1387e-46,True
TRCN0000073251,TRIM42,14151/11030/10040,24544/27577/22218,11615,24683,1.0875,4627e3,834680,14.304,1,1.0312e-46,2.0624e-46,7.1207e-46,True
TRCN0000063064,OR9Q2,9749.5/9931.6/8694,21968/19534/20646,9442.2,20692,1.1318,446890,618860,14.301,1,1.0838e-46,2.1676e-46,7.4294e-46,True
TRCN0000143344,NUP133,5736.5/7100.4/6691.2,15255/16795/13316,6483.5,15054,1.2152,490830,359670,14.291,1,1.249e-46,2.498e-46,8.5002e-46,True
TRCN0000059650,ABCG8,12635/9956.6/8895.6,23131/21866/22250,10382,22410,1.1099,3734200,709780,14.276,1,1.5445e-46,3.089e-46,1.0436e-45,True
TRCN0000151618,NLRP5,6561.1/6107.8/6099.9,14628/17340/12220,6252.6,14580,1.2214,69725,341330,14.254,1,2.1085e-46,4.217e-46,1.4146e-45,True
TRCN0000003907,PSMB2,20484/18017/16962,364.94/419.78/136.75,18430,275.69,-6.0577,3273e3,1626800,14.234,2.7065e-46,1,5.413e-46,1.8031e-45,False
TRCN0000014005,TAAR1,1584.7/1675.7/1246.3,4361.1/4432.6/4564.1,1490.2,4451.8,1.5782,51409,43313,14.23,1,2.9779e-46,5.9558e-46,1.97e-45,True
TRCN0000117772,RPL27,19850/18295/16455,121.09/441.12/221.41,18147,227.85,-6.3092,2891300,1590800,14.207,3.822e-46,1,7.644e-46,2.5108e-45,False
TRCN0000137396,SPATA16,9340.8/10245/9562.1,22122/18869/22291,9708.6,21033,1.1152,222510,644230,14.109,1,1.673e-45,3.3459e-45,1.0915e-44,True
TRCN0000077973,MRGPRD,7050.6/5911.2/7035.8,15759/15898/13928,6643.6,15168,1.1908,427940,372560,13.965,1,1.2713e-44,2.5427e-44,8.2376e-44,True
TRCN0000074782,RPS8,17047/15120/14743,0/182.62/129.31,15605,13.222,-10.1,1529700,1278900,13.787,2.2864e-44,1,4.5729e-44,1.4714e-43,False
TRCN0000007172,RPS13,7602.4/7217.7/7545.8,13398/20021/16982,7453.3,16577,1.1531,43152,439820,13.757,1,2.2973e-43,4.5946e-43,1.4488e-42,True
TRCN0000151585,COPB1,16244/15130/13839,16.588/93.679/0,15039,5.289,-11.224,1450800,1212400,13.653,6.1677e-44,1,1.2335e-43,3.9423e-43,False
TRCN0000058107,PSMD1,17112/13960/14238,0/37.946/98.612,15039,7.1148,-10.856,3053400,1212400,13.651,8.3952e-44,1,1.679e-43,5.3301e-43,False
TRCN0000151483,COPB1,18284/13006/15785,96.212/174.31/271.65,15541,165.79,-6.5421,7004800,1271400,13.636,1.062e-42,1,2.124e-42,6.6095e-42,False
TRCN0000021368,POLR2D,14036/15008/15375,0/180.24/293.98,14795,17.339,-9.6561,478910,1184200,13.58,5.1206e-43,1,1.0241e-42,3.208e-42,False
TRCN0000063358,NPSR1,9893.3/8835.8/7896.5,19783/20742/16467,8837.7,18906,1.097,1000100,562470,13.424,1,2.1783e-41,4.3566e-41,1.3469e-40,True
TRCN0000049814,RNASE9,11178/8939/7623.7,18405/18722/21148,9133,19387,1.0859,3249500,589800,13.352,1,5.7642e-41,1.1528e-40,3.518e-40,True
TRCN0000011511,TAAR8,10589/10310/9413.6,20974/19909/22465,10091,21090,1.0634,377310,681230,13.326,1,8.1859e-41,1.6372e-40,4.964e-40,True
TRCN0000117564,RPL9,15626/13373/12184,21.565/200.4/0.93031,13655,16.38,-9.6179,3062700,1054500,13.281,2.8535e-41,1,5.707e-41,1.7529e-40,False
TRCN0000058439,IL1F10,13889/12853/12023,27250/25825/24520,12899,25841,1.0023,875e3,971250,13.132,1,1.0856e-39,2.1711e-39,6.4997e-39,True
TRCN0000058955,IL22,6424.4/6934.2/8655,15225/17658/14546,7278.3,15755,1.114,1371500,424990,13.002,1,5.9222e-39,1.1844e-38,3.5015e-38,True
TRCN0000118346,COPS4,14171/12226/11890,3.3177/166.01/229.79,12724,50.624,-7.9454,1518800,952250,12.987,3.5531e-39,1,7.1063e-39,2.114e-38,False
TRCN0000117775,RPL27,10624/9963.1/7692.2,16704/19509/22623,9337.9,19463,1.0595,2377100,609010,12.974,1,8.5697e-39,1.7139e-38,4.9736e-38,True
TRCN0000074997,RPL5,13384/13962/11696,29.859/182.62/487.48,12977,138.61,-6.5385,1388400,979760,12.971,7.5322e-39,1,1.5064e-38,4.3984e-38,False
TRCN0000074978,RPS11,15192/12547/10813,275.37/97.237/15.815,12726,75.187,-7.3842,4886300,952470,12.963,6.3084e-39,1,1.2617e-38,3.7067e-38,False
