gene,nSGRNA,nSGRNA.good,beta,zstat,pval,FDR,bsta
OTUD6A,7,7,0.3873300473159591,1.4254089827539542,0.15403901296879127,0.2754928501172613,0.2638089310994831
CYP7A1,5,5,0.4001717188224125,1.0082625071625095,0.3133284570917019,0.4856591084921379,0.38578002550174995
ABCG8,5,5,0.4648915853133445,1.5976278546236902,0.11012582351459856,0.2133687830595347,0.27663460403475176
PIWIL3,10,10,0.5003749451161034,1.6131122500518023,0.10672012292503613,0.21116960493677364,0.3028409390746923
DMRTB1,5,5,0.509369638084337,0.8629590960036463,0.38815995692126126,0.5498176062771385,0.5759724766020989
LYZL6,6,6,0.5321831805527021,1.6203941128085493,0.10514764371130571,0.21116960493677364,0.31489858904735113
HTR3D,5,5,0.6243071785514297,3.005861400014811,0.002648296800389033,0.013682866802010004,0.17918497982115336
LUZP4,5,5,0.6546982897938288,3.262942995097373,0.0011026169617972044,0.007887952111318463,0.16883200514363447
OR52E8,5,5,0.6876286519715209,1.4095131709770317,0.15868348166664364,0.27844459990562,0.46760634157983094
TAAR1,5,5,0.7008680219735495,2.1205654834226295,0.03395838540247905,0.08772582895640423,0.3053665317642268
TAS2R9,5,5,0.7090597622687246,1.3233683700085057,0.18571290510668229,0.3142681282042021,0.5153187729895555
OR9Q2,5,5,0.7693783206066236,1.7808391705649356,0.07493872831027669,0.1659357555441841,0.4070275124370307
TAAR8,5,5,0.7835635770461156,3.018488490574044,0.0025403905110480173,0.013682866802010004,0.22369079894996713
SAGE1,5,5,0.8053283541092245,3.3309302085840025,8.655630052159973e-4,0.006708113290423979,0.20201644905083915
MAGEB3,5,5,0.8160841066534666,3.063617652574074,0.0021867819887898057,0.012710670309840745,0.22857309075695328
OR12D2,5,5,0.9458130877597449,2.2303135683279143,0.02572663302973125,0.07036990799308843,0.3890448508785406
DEFB129,5,5,1.2031939901115087,4.619613715099582,3.844551292106504e-6,1.1918109005530162e-4,0.184135121778192
